type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,ITP - SP1 Construction Works,itp,,,,,ITP - SP1 Construction Works,
section,Details,,,,,,,
checkpoint,1 - Earthworks (Confluence upstream of Pump Station),,,,,,,
label,ACTIVITY TASK - Stripped Surface,,,,,,,
label,ACCEPTANCE CRITERIA - Visual Inspection,,,,,,,
label,FREQUENCY - At the completion of surface stripping prior to further construction,,,,,,,
label,Hold Point - W,,,,,,,
label,"CERTIFYING DOCUMENTATION, RECORD OR CHECKSHEET - N/A",,,,,,,
label,VERIFICATION SIGN OFFS: CRITICAL HOLD POINT AUTHORITY - Not Required,,,,,,,
checkpoint,2 - Earthworks (Confluence upstream of Pump Station),,,,,,,
label,ACTIVITY TASK - Install Bunds,,,,,,,
label,ACCEPTANCE CRITERIA - Visual Inspection,,,,,,,
label,FREQUENCY - At the completion of bund construction,,,,,,,
label,Hold Point - W,,,,,,,
label,"CERTIFYING DOCUMENTATION, RECORD OR CHECKSHEET - As per approved EMP",,,,,,,
label,VERIFICATION SIGN OFFS: CRITICAL HOLD POINT AUTHORITY - Not Required,,,,,,,
checkpoint,3 - Earthworks (Confluence upstream of Pump Station),,,,,,,
label,ACTIVITY TASK - Install Silt Control,,,,,,,
label,ACCEPTANCE CRITERIA - Visual Inspection,,,,,,,
label,FREQUENCY - At the completion of silt control install,,,,,,,
label,Hold Point - W,,,,,,,
label,"CERTIFYING DOCUMENTATION, RECORD OR CHECKSHEET - As per approved EMP",,,,,,,
label,VERIFICATION SIGN OFFS: CRITICAL HOLD POINT AUTHORITY - Not Required,,,,,,,
checkpoint,4 - Downstream Stilling Station,,,,,,,
label,ACTIVITY TASK - Stripped Surface,,,,,,,
label,ACCEPTANCE CRITERIA - Visual Inspection,,,,,,,
label,FREQUENCY - At the completion of surface stripping prior to further construction,,,,,,,
label,Hold Point - W,,,,,,,
label,"CERTIFYING DOCUMENTATION, RECORD OR CHECKSHEET - N/A",,,,,,,
label,VERIFICATION SIGN OFFS: CRITICAL HOLD POINT AUTHORITY - Not Required,,,,,,,
checkpoint,5 - Downstream Stilling Station,,,,,,,
label,ACTIVITY TASK - Supply and place Geotextile and Reno Mattress,,,,,,,
label,ACCEPTANCE CRITERIA - Visual Inspection,,,,,,,
label,FREQUENCY - At the completion of placement of Geotextile and Reno Mattress,,,,,,,
label,Hold Point - W,,,,,,,
label,"CERTIFYING DOCUMENTATION, RECORD OR CHECKSHEET - As per approved EMP",,,,,,,
label,VERIFICATION SIGN OFFS: CRITICAL HOLD POINT AUTHORITY - Not Required,,,,,,,
checkpoint,6 - Pump Station,,,,,,,
label,ACTIVITY TASK - Stripped Surface,,,,,,,
label,ACCEPTANCE CRITERIA - Visual Inspection,,,,,,,
label,FREQUENCY - At the completion of surface stripping prior to further construction,,,,,,,
label,Hold Point - W,,,,,,,
label,"CERTIFYING DOCUMENTATION, RECORD OR CHECKSHEET - N/A",,,,,,,
label,VERIFICATION SIGN OFFS: CRITICAL HOLD POINT AUTHORITY - Not Required,,,,,,,
checkpoint,7 - Pump Station,,,,,,,
label,ACTIVITY TASK - Hardfill against Walls,,,,,,,
label,ACCEPTANCE CRITERIA - 95% compaction required,,,,,,,
label,"FREQUENCY - Each layer, Max layer thickness 200mm",,,,,,,
label,Hold Point - H,,,,,,,
label,"CERTIFYING DOCUMENTATION, RECORD OR CHECKSHEET - Test Certificates required",,,,,,,
label,VERIFICATION SIGN OFFS: CRITICAL HOLD POINT AUTHORITY - Not Required,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,8 - Pump Station,,,,,,,
label,ACTIVITY TASK - Outlet and Discharge,,,,,,,
label,ACCEPTANCE CRITERIA - As per IFC drawings or Engineers instruction,,,,,,,
label,FREQUENCY - Prior to construction,,,,,,,
label,Hold Point - H,,,,,,,
label,"CERTIFYING DOCUMENTATION, RECORD OR CHECKSHEET - Check against IFC drawings specification",,,,,,,
label,VERIFICATION SIGN OFFS: CRITICAL HOLD POINT AUTHORITY - Not Required,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,9 - Pile driving,,,,,,,
label,ACTIVITY TASK - Delivery inspection of piles,,,,,,,
label,ACCEPTANCE CRITERIA - 10M 300 SED H5,,,,,,,
label,FREQUENCY - Prior to pile driving,,,,,,,
label,Hold Point - H,,,,,,,
label,"CERTIFYING DOCUMENTATION, RECORD OR CHECKSHEET - Check pile tags",,,,,,,
label,VERIFICATION SIGN OFFS: CRITICAL HOLD POINT AUTHORITY - Not Required,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,10 - Pile driving,,,,,,,
label,ACTIVITY TASK - Driving of timber piles,,,,,,,
label,ACCEPTANCE CRITERIA - As per IFC drawings,,,,,,,
label,FREQUENCY - Prior to backfill,,,,,,,
label,Hold Point - H,,,,,,,
label,"CERTIFYING DOCUMENTATION, RECORD OR CHECKSHEET - Piles driven to 10M depth top of pile RL-2800",,,,,,,
label,VERIFICATION SIGN OFFS: CRITICAL HOLD POINT AUTHORITY - Not Required,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,11 - Pile driving,,,,,,,
label,ACTIVITY TASK - Piling card,,,,,,,
