Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,
e3e9cc13-1b55-5044-9bdb-b29c74fcf876,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Ground,Rainwater,,,
a2d9fd3b-9fe6-5bf4-8aa7-a9de981daa88,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 1,Rainwater,,,
2775d569-3b89-5e2f-924c-355413dacd1c,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 2,Rainwater,,,
575a1dc4-313d-5920-bcc1-7a2314b5a59f,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 3,301,Rainwater,,
bb813ce7-54a3-539c-a491-3868af83d391,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 3,302,Rainwater,,
466fd7de-a16f-5ff7-a23b-7cfd6e0e3d23,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 3,303,Rainwater,,
5cf2e694-79b8-5889-992b-30f31c97ac45,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 3,304,Rainwater,,
8701374c-4d3f-54dc-ba87-d8d03ce776e5,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 3,305,Rainwater,,
0ebf6b75-bed3-57cb-97db-e4b57a68a226,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 3,306,Rainwater,,
52109eaa-e224-5287-8b9d-48571293e720,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 3,Gym Amenities,Rainwater,,
3585c268-e6d9-56ca-a03b-45d302e44d0f,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 4,401,Rainwater,,
8579af47-6019-5e48-9cd7-486443c00064,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 4,402,Rainwater,,
7514b5ee-2e22-5056-8b09-dd3e446b1589,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 4,403,Rainwater,,
7e1a8b7b-8888-5a1e-866f-be59e554ae4f,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 4,404,Rainwater,,
aa5e9683-194e-5473-ae2f-3b6ee40cc157,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 4,405,Rainwater,,
8d3e45b5-7970-5a1d-bcf6-045c22fd2fe8,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 4,406,Rainwater,,
d43f15b2-801f-553b-8203-4cc307f8ff2e,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 4,407,Rainwater,,
273e96e5-9c52-50d7-8ff1-62dd7dd511b7,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 4,408,Rainwater,,
158223c2-9444-52b5-8e59-ec4040582ffa,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 5,501,Rainwater,,
c4ab27c2-90d3-56e8-b989-7a70c0cd22ca,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 5,502,Rainwater,,
0468c639-0703-566e-a0e3-21ac7c5a16b3,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 5,503,Rainwater,,
9a7f0b13-2c4f-5ad0-b36b-1a0ff78845fc,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 5,504,Rainwater,,
6c1bc234-5b64-5f9a-95a4-84065e9a669f,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 5,505,Rainwater,,
95f5be45-27c4-5d99-83ca-2e08fed80354,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Corridor,Level 5,506,Rainwater,,
