type,name,values,prefix,postfix,usage count,user addable,template name
checklist,Penetrations,,,,,,
section,Details,,,,,,
checkpoint,Set Out,,,,,,
checkpoint,Fire Collar Installation,,,,,,
checkpoint,Scanning,,,,,,
,,,,,,,
checklist,Inground Works,,,,,,
section,Details,,,,,,
checkpoint,Top of pits installed to correct height ,,,,,,
checkpoint,Testing of drains ,,,,,,
checkpoint,Correct loactions of all pits / drainage points,,,,,,
checkpoint,Fire Hydrant Supply,,,,,,
checkpoint,Cold Water Supply,,,,,,
,,,,,,,
checklist,Drains,,,,,,
section,Details,,,,,,
checkpoint,Drains ,,,,,,
checkpoint,Smoke Seal Penetrations,,,,,,
checkpoint,Fire Collar,,,,,,
checkpoint,Acoustic Lagging,,,,,,
checkpoint,Testing (Water/Air),,,,,,
,,,,,,,
checklist,Rough In,,,,,,
section,Details,,,,,,
checkpoint,High Level Rough In,,,,,,
checkpoint,Noggins Marked,,,,,,
checkpoint,Wall Set Out,,,,,,
checkpoint,In-Wall TMV,,,,,,
checkpoint,In-Wall RPZD,,,,,,
checkpoint,Wall Rough In,,,,,,
checkpoint,Waste Rollovers,,,,,,
checkpoint,Test Water,,,,,,
,,,,,,,
checklist,Corridor,,,,,,
section,Details,,,,,,
checkpoint,Hose Reel Line,,,,,,
checkpoint,Hot Water,,,,,,
checkpoint,Hot Water Lagged,,,,,,
checkpoint,Cold Water,,,,,,
checkpoint,Test Hot Water,,,,,,
checkpoint,Test Cold Water,,,,,,
checkpoint,Fire Caulking (Corridor),,,,,,
,,,,,,,
checklist,Fit Off,,,,,,
section,Details,,,,,,
checkpoint,Vinyl Floor Waste,,,,,,
checkpoint,Hand Basin,,,,,,
checkpoint,Shroud installed,,,,,,
checkpoint,Scrub Trough,,,,,,
checkpoint,Ministops/ Ball Valve,,,,,,
checkpoint,Fixture Waste,,,,,,
checkpoint,Mixer installed,,,,,,
checkpoint,Dishwasher,,,,,,
checkpoint,Sink,,,,,,
checkpoint,Trough ,,,,,,
checkpoint,Fire hose Reels,,,,,,
checkpoint,Bathroom Shower Mixer,,,,,,
checkpoint,Bathroom Shower Rail/Rose,,,,,,
checkpoint,Bathroom Basin,,,,,,
checkpoint,Bathroom Basin Mixer,,,,,,
checkpoint,Bathroom Bottle Trap,,,,,,
checkpoint,Bathroom Toilet,,,,,,
,,,,,,,
checklist,Commisioning,,,,,,
section,Details,,,,,,
checkpoint,Bulk Hot Water,,,,,,
checkpoint,Test RPZD,,,,,,
checkpoint,Test Hot Water Temperature,,,,,,
checkpoint,Test Waste for leaks,,,,,,
,,,,,,,
checklist,Plant and Equipment,,,,,,
section,Details,,,,,,
checkpoint,Hot water system,,,,,,
checkpoint,Heat pumps,,,,,,
