"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4a28ee92-0975-4580-99ec-8398bba68866","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"26d3969e-6906-4a81-aa0d-443c58245727","","work-in-progress","","folder","TRUE","FALSE","Site QA","Drains."
"8dee3968-ad92-4f6c-b017-6d0a34fac563","","not-started","","folder","TRUE","FALSE","Site QA","Drains.","Novotel"
"4124b546-a57a-470b-b80f-a3fd97074c0b","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Ground"
"3ecfa60f-be9f-45ab-b85a-7f75048d2a2e","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 1"
"574ff79a-c2b1-4107-8821-c6afcdea64e4","","not-started","","folder","TRUE","FALSE","Site QA","Drains.","Novotel","Level 2"
"970facbc-977f-4d54-aa08-0d247092d7ed","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.01"
"af1d600a-0e6a-40e8-9a4c-755963fd3769","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.02"
"e9436dab-1208-48e1-9344-1fa7ff8cdc54","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.03"
"5acb842c-8f35-4bab-90ec-770097336c9d","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.04"
"14043028-6977-4fde-ada6-ab74c7c2c132","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.05"
"67d38a0a-86c8-4ec6-a2af-9db8db3c371a","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.06"
"33915735-5df6-4422-ae5e-507ff481e8d3","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.07"
"b6faf8ac-acd2-484a-9307-ffd8b490cd7e","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.08"
"15513a79-aaa6-4ef2-a8e9-2cdac05e9548","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.09"
"83aa5c89-28e5-4706-8b52-5baa5a1463c4","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.10"
"b7c2765a-9eb7-465a-82b3-76a62ef2469b","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.11"
"64b64682-403b-4412-9150-f10617334689","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.12"
"c53ac280-e29e-4d32-83aa-9953c85eb3e1","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.13"
"9dbbf64b-3a11-4cc9-ba5e-c16ab7b0425e","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.14"
"3c46fc81-13b8-40d7-81f1-ab482c6ca1c1","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.15"
"fd02335e-f4c8-463d-b293-a12b6d450d5c","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.16"
"59bdbfa9-54f1-4067-96ce-132935a22a52","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.17"
"0343fd00-cd74-4026-ade6-4a08439f3099","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.18"
"c577c8c7-d719-4891-b7ee-8bac0a0bb627","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.19"
"4747905c-a666-4a2f-8ef3-127cd66c53d2","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.20"
"4de46b64-0afc-4447-a042-556e17349c01","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.21"
"78f6db38-e11c-4efc-9887-2161b4afc2f3","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.22"
"85d08b7d-4e3d-41e9-9de6-6a9029a44d35","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.23"
"bc8eba35-1d2d-417a-b682-4cd69389a8b4","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.24"
"8a2d0b3b-a5eb-47f5-9201-b9afcea174cc","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.25"
"570341e2-1cdc-4f59-a716-8b65a46b4dce","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.26"
"46cd4692-9295-42a3-8417-6db3180c8678","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.27"
"bb130d82-41d1-407c-8eaf-db89e1b843b6","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 2","2.28"
