"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a14e0990-5021-40db-bb28-7f24f83a6124","","work-in-progress","","folder","TRUE","FALSE","Female Amenities"
"96a07ddf-9fe0-443d-a6c7-75ffc9d7753c","","pass","Rough In","checklist","FALSE","FALSE","Female Amenities","Rough In"
"516b90f4-1bd1-4952-86f0-fa62d0b38898","","pass","Drains","checklist","FALSE","FALSE","Female Amenities","Drains"
"c9b5974b-f1ed-4bb6-bc64-34e90b48d10f","","not-started","Fit Off (Unisex)","checklist","FALSE","FALSE","Female Amenities","Fit Off"
"936d2980-4c68-475d-aab1-cadd795959ef","","not-started","Commissioning","checklist","FALSE","FALSE","Female Amenities","Commissioning"
"b4b11d01-100c-4578-891c-7a1c4568c8c9","","work-in-progress","","folder","TRUE","FALSE","DDA"
"0d9d1b32-afd6-437e-ae61-fa9fd87800b6","","pass","Rough In","checklist","FALSE","FALSE","DDA","Rough In"
"5065062e-cab4-4692-ae77-044b0085a46e","","pass","Drains","checklist","FALSE","FALSE","DDA","Drains"
"6c5ee638-9c5e-48e2-a93c-040263f566cd","","not-started","Fit Off (Unisex)","checklist","FALSE","FALSE","DDA","Fit Off"
"d88e3034-8522-4c11-9f7d-61ca8c4c5e16","","not-started","Commissioning","checklist","FALSE","FALSE","DDA","Commissioning"
"9dec080d-3967-48c3-af4b-e2a82848378d","","work-in-progress","","folder","TRUE","FALSE","Parents WC"
"21b390b2-138f-4750-9e9e-7d1d3a5869e2","","pass","Rough In","checklist","FALSE","FALSE","Parents WC","Rough In"
"7e355d6d-7b1b-4122-b307-0bc5c74bf92a","","pass","Drains","checklist","FALSE","FALSE","Parents WC","Drains"
"d2226197-62e5-488b-87c5-94fe8a2f8b36","","not-started","Fit Off (Unisex)","checklist","FALSE","FALSE","Parents WC","Fit Off"
"0789cc12-f636-4d18-bf9e-059559a4c397","","not-started","Commissioning","checklist","FALSE","FALSE","Parents WC","Commissioning"
"140d45bf-e353-4c62-98a0-870ca503c726","","work-in-progress","","folder","TRUE","FALSE","Parents room"
"0d9b6ccd-d93c-41fd-9320-0c73240c4808","","pass","Rough In","checklist","FALSE","FALSE","Parents room","Rough In"
"78ddd1b7-f58e-463f-beaf-c3a2c67b208e","","pass","Drains","checklist","FALSE","FALSE","Parents room","Drains"
"ddae0d19-dfdd-4919-9d25-ef0ee403210a","","not-started","Fit Off (Unisex)","checklist","FALSE","FALSE","Parents room","Fit Off"
"43433548-b65b-48f9-a2f5-e7e88d48e297","","not-started","Commissioning","checklist","FALSE","FALSE","Parents room","Commissioning"
"57173e0e-28e1-48a1-8f44-fc8b09f4cb01","","work-in-progress","","folder","TRUE","FALSE","Cleaners Room"
"6164e0d9-e140-49ba-b472-4c54bc264e41","","pass","Rough In","checklist","FALSE","FALSE","Cleaners Room","Rough In"
"aa9e9052-a88a-4e06-b899-07436caa2e1e","","pass","Drains","checklist","FALSE","FALSE","Cleaners Room","Drains"
"66afb500-cee1-4b43-aff3-be9937531fa8","","not-started","Fit Off (Unisex)","checklist","FALSE","FALSE","Cleaners Room","Fit Off"
"d981cc16-2e32-4c9f-83e9-9feaca3a3152","","not-started","Commissioning","checklist","FALSE","FALSE","Cleaners Room","Commissioning"
"7b666b26-59bf-4158-b881-a95ebf249e38","","work-in-progress","","folder","TRUE","FALSE","Hot water Service"
"917969f6-8a15-4762-89fd-d205c97c40e4","","pass","Rough In","checklist","FALSE","FALSE","Hot water Service","Rough In"
"3e959a08-b385-4806-8118-1bc89cff30cd","","not-started","Plant and Equipment","checklist","FALSE","FALSE","Hot water Service","Plant and Equipment"
