type,name,values,prefix,postfix,usage count,user addable,template name
checklist,ITP007a-VC235-Architectural Concrete Columns,itp,,,,,ITP007a-VC235-Architectural Concrete Columns Rev2
section,1.0 PRELIMINARIES - Prior To Commencement of Work,,,,,,
checkpoint,1.1 - Work Lot Map,,,,,,
label,Specification Reference - N/A,,,,,,
label,Acceptance Criteria - Work Lot Map attached to Work Lot,,,,,,
label,Test / Inspection Method & Frequency - Per work lot,,,,,,
label,Key - PE (H),,,,,,
label,Multiplex / Vic Roads Key - PE (H),,,,,,
bool,Records & Comments - Work Lot Map,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
section,2.0 MATERIAL COMPLIANCE - Prior To Commencement of Work,,,,,,
checkpoint,2.1 - Calibration Certificates,,,,,,
label,Specification Reference - Process Control,,,,,,
label,"Acceptance Criteria - Confirm that external equipment calibration and testing facilities are registered, External equipment calibration meets contract requirements for each item of test equipment",,,,,,
label,"Test / Inspection Method & Frequency - Visual check with certificates, ITP, checklist or inspection report",,,,,,
label,Key - PE (H),,,,,,
label,Multiplex / Vic Roads Key - PE (H),,,,,,
label,Records & Comments - ,,,,,,
bool,Record of visual inspection,,,,,,
bool,Calibration Certificates,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,2.2 - Concrete Mix Design,,,,,,
label,Specification Reference - VicRoads 610.07 AS 3600 IFC Drawings,,,,,,
label,Acceptance Criteria - Concrete mix design approved and in accordance with the IFC drawings,,,,,,
label,Test / Inspection Method & Frequency - Approved mix confirmation prior to commencing works,,,,,,
label,Key - PE (H),,,,,,
label,Multiplex / Vic Roads Key - PE (H),,,,,,
bool,Records & Comments - Approved VicRoads mix design registration,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,2.3 - Steel Reinforcement Certification,,,,,,
label,Specification Reference - VicRoads 611.05 AS 4671 IFC Drawings,,,,,,
label,Acceptance Criteria - ACRS certificate provided for suppliers and manufacturers of steel,,,,,,
label,Test / Inspection Method & Frequency - ACRS certificate supplied within 14 days of contract award,,,,,,
label,Key - PE (H),,,,,,
label,Multiplex / Vic Roads Key - PE (H),,,,,,
bool,Records & Comments - ACRS Certificate,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,2.5 - Bar chairs and spacer compliance,,,,,,
label,Specification Reference - VicRoads 610.26(a) AS/NZS 2425 IFC Drawings,,,,,,
label,Acceptance Criteria - Reinforcement supports comply with AS/NZS 2425. Concrete bar chairs are tested in accordance with VicRoads 610.26(a),,,,,,
label,Test / Inspection Method & Frequency - Review of certificates prior to ordering materials,,,,,,
label,Key - PE (H),,,,,,
label,Multiplex / Vic Roads Key - PE (H),,,,,,
bool,Records & Comments - Compliance certificates,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,2.6 - Formwork / Falsework Design,,,,,,
label,"Specification Reference - VicRoads 614.04, VicRoads 613.04 JHG Temp Works Design Procedure",,,,,,
label,"Acceptance Criteria - Approved Formwork Design, Approved Falsework Design, Design brief approved and verified",,,,,,
label,Test / Inspection Method & Frequency - Proof Eng’g Certificate or Design Verification forwarded to Client,,,,,,
label,Key - PE (H),,,,,,
label,Multiplex / Vic Roads Key - PE (H),,,,,,
bool,Records & Comments - Temporary Works Design,,,,,,
textbox,Ref No.,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,2.7 - Confirm approval of curing compound,,,,,,
label,Specification Reference - VicRoads 610.23,,,,,,
label,Acceptance Criteria - Curing compound approved and in accordance with VR IFC Design via RFI.,,,,,,
label,Test / Inspection Method & Frequency - All batches,,,,,,
label,Key - PE (H),,,,,,
label,Multiplex / Vic Roads Key - PE (H),,,,,,
bool,Records & Comments - Curing compound Design Approval,,,,,,
textbox,Ref:,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
section,3.0 QUALIFICATION REQUIREMENTS - Prior To Commencement of Work,,,,,,
checkpoint,3.1 - Welding Requirements,,,,,,
label,Specification Reference - Approved Weld Procedures,,,,,,
bool,AS 1554.1 Clause 4.1 to 4.11,,,,,,
bool,AS 1554.3 Clause 4.1 to 4.11,,,,,,
label,○ IFC Drawings Welder Qualifications.,,,,,,
bool,AS 1554.1 Clause 4.12,,,,,,
bool,AS 1554.3 Clause 4.12,,,,,,
label,○ TGN-BC-01: Tack welding of reinforcement bar,,,,,,
label,"Acceptance Criteria - Weld Procedures have been reviewed and approved by Construction Team & Quality Team for all welding required- this includes Non Load Bearing tack welds, Evidence that all welders are qualified with regards to the applicable welds, Weld Supervisor has required qualifications",,,,,,
label,Test / Inspection Method & Frequency - Provided by subcontractor,,,,,,
label,Key - PE (H),,,,,,
label,Multiplex / Vic Roads Key - PE (H),,,,,,
label,Records & Comments - ,,,,,,
bool,Weld Procedures,,,,,,
bool,Weld Procedure Qualification Records,,,,,,
bool,Welder Qualifications,,,,,,
bool,Supervisor Qualifications,,,,,,
label,Welding Procedures required for the works to be listed here,,,,,,
label,"Eg. Fillet welds/ splices, tack etc:",,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,3.2 - Concrete Technical Specialist,,,,,,
label,Specification Reference - VicRoads 610.24,,,,,,
label,Acceptance Criteria - The assessment of the cracked concrete structure shall be undertaken by a technical specialist with a minimum of 5 years’ experience,,,,,,
label,Test / Inspection Method & Frequency - Prior to repair,,,,,,
label,Key - PE (H),,,,,,
label,Multiplex / Vic Roads Key - PE (H),,,,,,
bool,Records & Comments - Evidence of experience,,,,,,
section,4.0 CONSTRUCTION ACTIVITIES - Prior To Commencement and During Works – Sub-lot Records (if applicable),,,,,,
checkpoint,4.1 - Inspection of incoming materials: All embedded Items cast into structural concrete,,,,,,
label,Specification Reference - Project Requirement Specification,,,,,,
label,"Acceptance Criteria - Materials conform to IFC drawings and Specifications, Free of defects, transportation damage and/or imperfections",,,,,,
label,"Test / Inspection Method & Frequency - Visual check with written notes in Delivery docket, ITP, checklist or inspection report. Upon Delivery",,,,,,
label,Key - SE (W),,,,,,
label,Multiplex / Vic Roads Key - PE (H),,,,,,
bool,Records & Comments - Structural Concrete Checklist,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,4.2 - Survey Set-out & Initial pour against ground,,,,,,
label,Specification Reference - IFC Drawings,,,,,,
label,Acceptance Criteria - Survey marks (levels and offsets) in place (where applicable),,,,,,
