type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Prestart,,,,,,
checkpoint,"Opening correct, rebates, drip grooves",,,,,,
checkpoint,"Area clear, tidy and accessible",,,,,,
checkpoint,Building wrap correctly installed,,,,,,
checkpoint,Flashing tape correctly installed,,,,,,
,,,,,,,
checklist-flat,Handover,,,,,,
checkpoint,Item inspected and damage free,,,,,,
checkpoint,Area and item left clean and tidy,,,,,,
checkpoint,Protection tapes and films installed,,,,,,
checkpoint,"Item inspected, all elements checked, correct, functioning and approved",,,,,,
checkpoint,Windows left clean,,,,,,
checkpoint,"Window openers, etc commissioned",,,,,,
checkpoint,Remedial list completed,,,,,,
checkpoint,Handover keys,,,,,,
,,,,,,,
checklist-flat,Atlantic Sliding Doors/Windows 48mm QA,,,,,,
checkpoint,Factory QA,,,,,,
checkpoint,Correct packings and sufficient at fixings,,,,,,
checkpoint,Frame installed correctly,,,,,,
checkpoint,Openings correct and operational,,,,,,
checkpoint,Inseal foam tap to head and Jambs,,,,,,
checkpoint,Sealants and air seals installed correctly with Perf rod,,,,,,
checkpoint,Hardware installed and operational,,,,,,
checkpoint,Exterior Head and Jamb angles fitted,,,,,,
checkpoint,Glazing completed correct to specification including wedging,,,,,,
