"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bba9ce49-167f-4a1f-886b-f1a9b2b2f6d9","","fail","","folder","TRUE","FALSE","Main Scope"
"5c00b135-5bc7-42eb-98c7-02ff268c2dd8","","not-started","","folder","TRUE","FALSE","Main Scope","B8"
"6febd7a8-5e52-4723-b373-09a6c9e2493d","","not-started","","folder","TRUE","FALSE","Main Scope","B8","250.11.241"
"a9ab6516-6ded-4775-a964-14e78c341a6d","","not-started","zSYS - Doors & Frames ITP (old version)","checklist","FALSE","FALSE","Main Scope","B8","250.11.241","Doors & Frames ITP"
"d97197ec-22a7-4178-8e62-a4715b5a23d4","","not-started","Corner Guards ITP","checklist","FALSE","FALSE","Main Scope","B8","250.11.241","Corner Guards ITP"
"00219dd2-1025-4c14-9018-ad75e8d5b6d8","","not-started","Wall Protection ITP","checklist","FALSE","FALSE","Main Scope","B8","250.11.241","Wall Protection ITP"
"15f38957-bfdc-4f7b-abfd-67d808e2e06c","","not-started","","folder","TRUE","FALSE","Main Scope","B7"
"6d01d6ba-db5a-4c2e-a46d-3b159c5b9eab","","not-started","","folder","TRUE","FALSE","Main Scope","B7","250.11.227"
"e1a75bc0-b900-4960-99d8-64c64b193541","","not-started","zSYS - Doors & Frames ITP (old version)","checklist","FALSE","FALSE","Main Scope","B7","250.11.227","Doors & Frames ITP"
"cc8adf61-ab89-47c0-bdb4-7a35008600b9","","not-started","Corner Guards ITP","checklist","FALSE","FALSE","Main Scope","B7","250.11.227","Corner Guards ITP"
"a64589ac-ee03-4fe0-ad8c-67db24bdae1a","","not-started","Wall Protection ITP","checklist","FALSE","FALSE","Main Scope","B7","250.11.227","Wall Protection ITP"
"61381f87-ac45-4813-9fcf-c17eb1c54db7","","not-started","","folder","TRUE","FALSE","Main Scope","B7","250.11.230"
"aba5a6c8-76d0-4382-bc92-14a0aafef66e","","not-started","Ceiling ITP","checklist","FALSE","FALSE","Main Scope","B7","250.11.230","Ceiling ITP"
