Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Wake Carpentry - Frames Progress,,,,,,
,Scope,,,Frames,,
,Rows,,,,,
,,B5,,Frames,B5,Wake Carpentry Site QA
,,B4,,Frames,B4,Wake Carpentry Site QA
,,B3,,Frames,B3,Wake Carpentry Site QA
,,B2,,Frames,B2,Wake Carpentry Site QA
,,B1,,Frames,B1,Wake Carpentry Site QA
,,Ground Floor,,Frames,Ground Floor,Wake Carpentry Site QA
,,Level 1,,Frames,Level 1,Wake Carpentry Site QA
,,Level 2,,Frames,Level 2,Wake Carpentry Site QA
,,Level 3,,Frames,Level 3,Wake Carpentry Site QA
,,Level 4,,Frames,Level 4,Wake Carpentry Site QA
,,Level 5,,Frames,Level 5,Wake Carpentry Site QA
,,Level 6,,Frames,Level 6,Wake Carpentry Site QA
,,Level 7,,Frames,Level 7,Wake Carpentry Site QA
,,Level 8,,Frames,Level 8,Wake Carpentry Site QA
,,Level 9,,Frames,Level 9,Wake Carpentry Site QA
,,Level 10,,Frames,Level 10,Wake Carpentry Site QA
,,Level 11,,Frames,Level 11,Wake Carpentry Site QA
,,Level 12,,Frames,Level 12,Wake Carpentry Site QA
,,Level 13,,Frames,Level 13,Wake Carpentry Site QA
,,Level 14,,Frames,Level 14,Wake Carpentry Site QA
,,Level 15,,Frames,Level 15,Wake Carpentry Site QA
,,Level 16,,Frames,Level 16,Wake Carpentry Site QA
,,Level 17,,Frames,Level 17,Wake Carpentry Site QA
,,Level 18,,Frames,Level 18,Wake Carpentry Site QA
,,Level 19,,Frames,Level 19,Wake Carpentry Site QA
,,Level 20,,Frames,Level 20,Wake Carpentry Site QA
,,Level 21,,Frames,Level 21,Wake Carpentry Site QA
,,Level 22,,Frames,Level 22,Wake Carpentry Site QA
,,Level 23,,Frames,Level 23,Wake Carpentry Site QA
,,Level 24,,Frames,Level 24,Wake Carpentry Site QA
,,Level 25,,Frames,Level 25,Wake Carpentry Site QA
,,Level 26,,Frames,Level 26,Wake Carpentry Site QA
,,Level 27,,Frames,Level 27,Wake Carpentry Site QA
,Columns,,,,,
,,All door frames are plumb,,All door frames are plumb,,
,,All door frames are Level,,All door frames are Level,,
,,All door frames are wine,,All door frames are wine,,
,,,,,,
Wake Carpentry - Doors Progress (B5 - Level 10),,,,,,
,Scope,,,Doors,,
,Rows,,,,,
,,B5,dynamic,Doors,B5,Wake Carpentry Site QA
,,B4,dynamic,Doors,B4,Wake Carpentry Site QA
,,B3,dynamic,Doors,B3,Wake Carpentry Site QA
,,B2,dynamic,Doors,B2,Wake Carpentry Site QA
,,B1,dynamic,Doors,B1,Wake Carpentry Site QA
,,Ground Floor,dynamic,Doors,Ground Floor,Wake Carpentry Site QA
,,Level 1,dynamic,Doors,Level 1,Wake Carpentry Site QA
,,Level 2,dynamic,Doors,Level 2,Wake Carpentry Site QA
,,Level 3,dynamic,Doors,Level 3,Wake Carpentry Site QA
,,Level 4,dynamic,Doors,Level 4,Wake Carpentry Site QA
,,Level 5,dynamic,Doors,Level 5,Wake Carpentry Site QA
,,Level 6,dynamic,Doors,Level 6,Wake Carpentry Site QA
,,Level 7,dynamic,Doors,Level 7,Wake Carpentry Site QA
,,Level 8,dynamic,Doors,Level 8,Wake Carpentry Site QA
,,Level 9,dynamic,Doors,Level 9,Wake Carpentry Site QA
,,Level 10,dynamic,Doors,Level 10,Wake Carpentry Site QA
,Columns,,,,,
,,"Doors have good, consistent perimeter & no binding",,"Doors have good, consistent perimeter and no binding",,
,,For hollow core doors: hinge & lock sides correct/For fire doors: top hinge side correct,,"For hollow core doors, hinge and lock sides are correct. For fire doors, the top hinge (T.H) side is correct",,
,,Door free of scratches & damages,,Door free of scratches and damages,,
,,,,,,
Wake Carpentry - Doors Progress (Level 11-29),,,,,,
,Scope,,,Doors,,
,Rows,,,,,
,,Level 11,dynamic,Doors,Level 11,Wake Carpentry Site QA
,,Level 12,dynamic,Doors,Level 12,Wake Carpentry Site QA
,,Level 13,dynamic,Doors,Level 13,Wake Carpentry Site QA
,,Level 14,dynamic,Doors,Level 14,Wake Carpentry Site QA
,,Level 15,dynamic,Doors,Level 15,Wake Carpentry Site QA
,,Level 16,dynamic,Doors,Level 16,Wake Carpentry Site QA
,,Level 17,dynamic,Doors,Level 17,Wake Carpentry Site QA
,,Level 18,dynamic,Doors,Level 18,Wake Carpentry Site QA
,,Level 19,dynamic,Doors,Level 19,Wake Carpentry Site QA
,,Level 20,dynamic,Doors,Level 20,Wake Carpentry Site QA
,,Level 21,dynamic,Doors,Level 21,Wake Carpentry Site QA
,,Level 22,dynamic,Doors,Level 22,Wake Carpentry Site QA
,,Level 23,dynamic,Doors,Level 23,Wake Carpentry Site QA
,,Level 24,dynamic,Doors,Level 24,Wake Carpentry Site QA
,,Level 25,dynamic,Doors,Level 25,Wake Carpentry Site QA
,,Level 26,dynamic,Doors,Level 26,Wake Carpentry Site QA
,,Level 27,dynamic,Doors,Level 27,Wake Carpentry Site QA
,,Level 28,dynamic,Doors,Level 28,Wake Carpentry Site QA
,,Level 29,dynamic,Doors,Level 29,Wake Carpentry Site QA
,Columns,,,,,
,,"Doors have good, consistent perimeter & no binding",,"Doors have good, consistent perimeter and no binding",,
,,For hollow core doors: hinge & lock sides correct/For fire doors: top hinge side correct,,"For hollow core doors, hinge and lock sides are correct. For fire doors, the top hinge (T.H) side is correct",,
,,Door free of scratches & damages,,Door free of scratches and damages,,
,,,,,,
Wake Carpentry - Hardware Progress,,,,,,
,Scope,,,Hardware,,
,Rows,,,,,
,,B5,,Hardware,B5,Wake Carpentry Site QA
