"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bd8b178e-db9b-49fc-b15f-f898a2c592a0","folder-normal has incorrect meta.stepType folder-progress","folder-normal","work-in-progress","","step","FALSE","FALSE","B02"
"c2bf966c-45ec-45fb-afcd-04352ca1930f","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5"
"efa9b2d2-66ed-4d02-adba-e6bf5b523aaf","","checklist-sectioned","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor","checklist","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor"
"336c0d37-9dfd-4200-be00-bd7a3c95de4d","","checkpoint-group","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:86ccb46d-335a-441e-8187-4fe6ed1eb282","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G15"
"ef7e0d17-8e0b-484c-9575-700c2435303b","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:86ccb46d-335a-441e-8187-4fe6ed1eb282:e9585330-5008-4ffa-8fd5-c4cd95af31fe","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G15","Area floor level acceptable"
"e265a0ff-d0c3-4ed7-9e7e-e0f0aa83a10d","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:86ccb46d-335a-441e-8187-4fe6ed1eb282:56414d54-e36f-43b9-ac13-62b9779647b7","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G15","Wiring on the floor completed (photos attached)"
"5eb8b052-224f-4fef-a99d-b18a900d66ff","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:86ccb46d-335a-441e-8187-4fe6ed1eb282:d67acf13-3574-4021-a072-0a5ac03b4eff","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G15","Self leveling coverage completed"
"7326b1ec-5560-48c1-9a40-16bf512e14fe","","holdpoint","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:86ccb46d-335a-441e-8187-4fe6ed1eb282:d67acf13-3574-4021-a072-0a5ac03b4eff:04338a60-1280-430d-83cb-7229be94a2f9","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G15","Raise Remedial/ Main Contractor Signoff"
"c5eeac4e-9dc8-4054-9e1e-cb9a31cac0a3","","checkpoint-group","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:ae4781a5-6cdb-41bd-a3a0-938ae71dc20c","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G16"
"c75c8991-3d50-405a-bff2-7be9a8b6701d","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:ae4781a5-6cdb-41bd-a3a0-938ae71dc20c:47383b1b-6e30-40df-a372-5ce0e06e20d7","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G16","Area floor level acceptable"
"3e4665d6-ca65-4526-85d8-b881b2c9f061","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:ae4781a5-6cdb-41bd-a3a0-938ae71dc20c:c87676ca-cc9c-40c7-adae-59729940b479","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G16","Wiring on the floor completed (photos attached)"
"79afef70-c4c2-4f94-a451-1ba8dd9e6800","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:ae4781a5-6cdb-41bd-a3a0-938ae71dc20c:b403fa69-3de8-416d-9294-458025b0e85a","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G16","Self leveling coverage completed"
"f687ef4a-dc7e-4f8f-a92d-e60fad34c9b7","","holdpoint","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:ae4781a5-6cdb-41bd-a3a0-938ae71dc20c:b403fa69-3de8-416d-9294-458025b0e85a:966ef4b7-56ca-4d37-8869-8b6883070ccf","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G16","Raise Remedial/ Main Contractor Signoff"
"d2719516-b8db-4e56-857d-e46767afb44d","","checkpoint-group","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:18f4f308-c0f4-4079-8b7c-d75989eef4b6","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G17"
"dc58d1d0-8f23-44a5-ad8f-1f70eba8b8e4","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:18f4f308-c0f4-4079-8b7c-d75989eef4b6:eb04620d-d1c1-4344-b920-52d694461f83","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G17","Area floor level acceptable"
"e0b7ea34-53a9-4152-9526-f4ff8ef71918","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:18f4f308-c0f4-4079-8b7c-d75989eef4b6:ff6abb8f-74d3-49bd-8620-5ff8d9bb79db","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G17","Wiring on the floor completed (photos attached)"
"4372b908-0dc5-45fd-9ddd-bf2b4fda8bf9","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:18f4f308-c0f4-4079-8b7c-d75989eef4b6:a4956c14-9545-4dd6-94fe-ae8376ba521c","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G17","Self leveling coverage completed"
"e304781b-6e64-4991-8691-23b062a44630","","holdpoint","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:18f4f308-c0f4-4079-8b7c-d75989eef4b6:a4956c14-9545-4dd6-94fe-ae8376ba521c:ef157a35-bacb-4445-aee3-39641a406433","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G17","Raise Remedial/ Main Contractor Signoff"
"eb18d408-1ea9-4162-af25-5171372e38d7","","checkpoint-group","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:811b7d87-8d3a-4508-98d9-c636bd8564af","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G18"
"8173e8a2-ee16-47bd-a918-072b1c7f8cf6","","checkpoint-status","not-started","SYS - Finger 1: Grids A - N & 1 - 6.5 Ground Floor:811b7d87-8d3a-4508-98d9-c636bd8564af:21e1a663-65ea-4239-9f68-b9300572e581","","FALSE","FALSE","B02","Finger 1: Grids A - N & 1 - 6.5","Ground Floor","G18","Area floor level acceptable"
