resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,LG,,,,,,,,
Terrace House LG ITP,checklist,,,,Terrace House,,,,,,,
Rangehood duct,checklist,,,,Range Hood,,,,,,,
Bathroom / Laundry duct and fans,checklist,,,,Bathroom Laundry,,,,,,,
Condensor Unit,checklist,,,,Condensor Unit,,,,,,,
,step,,,UG,,,,,,,,
Terrace House LG ITP,checklist,,,,Bed 1 (Master) AC Unit,,,,,,,
Terrace House LG ITP,checklist,,,,Bed 2 AC Unit,,,,,,,
Rangehood duct,checklist,,,,Range Hood,,,,,,,
Bathroom / Laundry duct and fans,checklist,,,,Bathroom Laundry,,,,,,,
Condensor Unit,checklist,,,,Condensor Unit,,,,,,,
