resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,Rough-In,,,,,,,
,step,,,,,VRF Air Conditioning Units,,,,,,
,step,,,,,,VRF Fan Coil Units,,,,,
Ducted Unit ITP RI,checklist,,,,,,,FCU 1.1.1 GF - Driver (drawing no. M150),,,,
Ducted Unit ITP RI,checklist,,,,,,,FCU 1.1.2 GF - Entry (drawing no. M150),,,,
Ducted Unit ITP RI,checklist,,,,,,,FCU 1.1.3 GF - CD Office (drawing no. M150),,,,
Ducted Unit ITP RI,checklist,,,,,,,FCU 1.1.4 FF - Lunch (drawing no. M150),,,,
Ducted Unit ITP RI,checklist,,,,,,,FCU 1.1.5 FF - Corridor (drawing no. M150),,,,
Ducted Unit ITP RI,checklist,,,,,,,FCU 1.1.6 FF - Agility (drawing no. M150),,,,
Ducted Unit ITP RI,checklist,,,,,,,FCU 1.1.7 FF - Meeting (drawing no. M150),,,,
Ducted Unit ITP RI,checklist,,,,,,,FCU 1.1.8 FF Training (drawing no. M150),,,,
,step,,,,,,VRF Branch Units,,,,,
BSU ITP RI,checklist,,,,,,,BSU-1.1 GF (drawing no. M150),,,,
BSU ITP RI,checklist,,,,,,,BSU-1.2 FF (drawing no. M150),,,,
,step,,,,,,VRF Condenser,,,,,
Condenser ITP RI,checklist,,,,,,,CU-1  (drawing no. M150),,,,
,step,,,,,Split System Air Conditioning Units,,,,,,
Highwall Split ITP RI,checklist,,,,,,ACU-1.2 GF Comms RM (drawing no. M150),,,,,
Highwall Split ITP RI,checklist,,,,,,ACU-1.3 GF Comms RM (drawing no. M150),,,,,
Cass/Split ITP RI,checklist,,,,,,ACU-1.4 GF Dock Office (drawing no. M110),,,,,
Cass/Split ITP RI,checklist,,,,,,ACU-1.5 GF Dock Lunch RM (drawing no. M110),,,,,
,step,,,,,Ventilation Fans,,,,,,
Vent Fan ITP RI,checklist,,,,,,OAF-G.4 GF Coles Dock Office (drawing no. M110),,,,,
Vent Fan ITP RI,checklist,,,,,,OAF-G.5 GF Coles Cleaners RM (drawing no. M110),,,,,
Vent Fan ITP RI,checklist,,,,,,TEF-G.2 Coles WHSE Amenities (drawing no. M110),,,,,
Vent Fan ITP RI,checklist,,,,,,TEF-G.3 Coles Office Amenities (drawing no. M150),,,,,
Vent Fan ITP RI,checklist,,,,,,EF-G.4 Coles Cleaners RM (drawing no. M110),,,,,
,step,,,,,Electrical Boards,,,,,,
Electrical Board ITP RI,checklist,,,,,,T-1.1 Warehouse Adjacent Main Office (drawing no. M150),,,,,
Electrical Board ITP RI,checklist,,,,,,T-1.2 Dock Office (drawing no. M110),,,,,
,step,,,,Fit-Off,,,,,,,
,step,,,,,VRF Air Conditioning Units,,,,,,
,step,,,,,,VRF Fan Coil Units,,,,,
Ducted Unit ITP FO,checklist,,,,,,,FCU 1.1.1 GF - Driver (drawing no. M150),,,,
Ducted Unit ITP FO,checklist,,,,,,,FCU 1.1.2 GF - Entry (drawing no. M150),,,,
Ducted Unit ITP FO,checklist,,,,,,,FCU 1.1.3 GF - CD Office (drawing no. M150),,,,
Ducted Unit ITP FO,checklist,,,,,,,FCU 1.1.4 FF - Lunch (drawing no. M150),,,,
Ducted Unit ITP FO,checklist,,,,,,,FCU 1.1.5 FF - Corridor (drawing no. M150),,,,
Ducted Unit ITP FO,checklist,,,,,,,FCU 1.1.6 FF - Agility (drawing no. M150),,,,
Ducted Unit ITP FO,checklist,,,,,,,FCU 1.1.7 FF - Meeting (drawing no. M150),,,,
Ducted Unit ITP FO,checklist,,,,,,,FCU 1.1.8 FF Training (drawing no. M150),,,,
,step,,,,,,VRF Branch Units,,,,,
BSU ITP FO,checklist,,,,,,,BSU-1.1 GF (drawing no. M150),,,,
BSU ITP FO,checklist,,,,,,,BSU-1.2 FF (drawing no. M150),,,,
,step,,,,,,VRF Condenser,,,,,
Condenser ITP FO,checklist,,,,,,,CU-1  (drawing no. M150),,,,
,step,,,,,Split System Air Conditioning Units,,,,,,
Highwall Split ITP FO,checklist,,,,,,ACU-1.2 GF Comms RM (drawing no. M150),,,,,
Highwall Split ITP FO,checklist,,,,,,ACU-1.3 GF Comms RM (drawing no. M150),,,,,
Cass/Split ITP FO,checklist,,,,,,ACU-1.4 GF Dock Office (drawing no. M110),,,,,
Cass/Split ITP FO,checklist,,,,,,ACU-1.5 GF Dock Lunch RM (drawing no. M110),,,,,
,step,,,,,Ventilation Fans,,,,,,
Vent Fan ITP FO,checklist,,,,,,OAF-G.4 GF Coles Dock Office (drawing no. M110),,,,,
Vent Fan ITP FO,checklist,,,,,,OAF-G.5 GF Coles Cleaners RM (drawing no. M110),,,,,
Vent Fan ITP FO,checklist,,,,,,TEF-G.2 Coles WHSE Amenities (drawing no. M110),,,,,
Vent Fan ITP FO,checklist,,,,,,TEF-G.3 Coles Office Amenities (drawing no. M150),,,,,
Vent Fan ITP FO,checklist,,,,,,EF-G.4 Coles Cleaners RM (drawing no. M110),,,,,
,step,,,,,Electrical Boards,,,,,,
Electrical Board ITP FO,checklist,,,,,,T-1.1 Warehouse Adjacent Main Office (drawing no. M150),,,,,
Electrical Board ITP FO,checklist,,,,,,T-1.2 Dock Office (drawing no. M110),,,,,
,step,,,,Commissioning,,,,,,,
,step,,,,,VRF Air Conditioning Units,,,,,,
,step,,,,,,VRF Fan Coil Units,,,,,
Ducted Unit ITP Comm,checklist,,,,,,,FCU 1.1.1 GF - Driver (drawing no. M150),,,,
Ducted Unit ITP Comm,checklist,,,,,,,FCU 1.1.2 GF - Entry (drawing no. M150),,,,
Ducted Unit ITP Comm,checklist,,,,,,,FCU 1.1.3 GF - CD Office (drawing no. M150),,,,
Ducted Unit ITP Comm,checklist,,,,,,,FCU 1.1.4 FF - Lunch (drawing no. M150),,,,
Ducted Unit ITP Comm,checklist,,,,,,,FCU 1.1.5 FF - Corridor (drawing no. M150),,,,
Ducted Unit ITP Comm,checklist,,,,,,,FCU 1.1.6 FF - Agility (drawing no. M150),,,,
Ducted Unit ITP Comm,checklist,,,,,,,FCU 1.1.7 FF - Meeting (drawing no. M150),,,,
Ducted Unit ITP Comm,checklist,,,,,,,FCU 1.1.8 FF Training (drawing no. M150),,,,
,step,,,,,,VRF Branch Units,,,,,
BSU ITP Comm,checklist,,,,,,,BSU-1.1 GF (drawing no. M150),,,,
BSU ITP Comm,checklist,,,,,,,BSU-1.2 FF (drawing no. M150),,,,
,step,,,,,,VRF Condenser,,,,,
Condenser ITP Comm,checklist,,,,,,,CU-1  (drawing no. M150),,,,
,step,,,,,Split System Air Conditioning Units,,,,,,
Highwall Split ITP Comm,checklist,,,,,,ACU-1.2 GF Comms RM (drawing no. M150),,,,,
Highwall Split ITP Comm,checklist,,,,,,ACU-1.3 GF Comms RM (drawing no. M150),,,,,
Cass/Split ITP Comm,checklist,,,,,,ACU-1.4 GF Dock Office (drawing no. M110),,,,,
Cass/Split ITP Comm,checklist,,,,,,ACU-1.5 GF Dock Lunch RM (drawing no. M110),,,,,
,step,,,,,Ventilation Fans,,,,,,
Vent Fan ITP Comm,checklist,,,,,,OAF-G.4 GF Coles Dock Office (drawing no. M110),,,,,
Vent Fan ITP Comm,checklist,,,,,,OAF-G.5 GF Coles Cleaners RM (drawing no. M110),,,,,
Vent Fan ITP Comm,checklist,,,,,,TEF-G.2 Coles WHSE Amenities (drawing no. M110),,,,,
Vent Fan ITP Comm,checklist,,,,,,TEF-G.3 Coles Office Amenities (drawing no. M150),,,,,
Vent Fan ITP Comm,checklist,,,,,,EF-G.4 Coles Cleaners RM (drawing no. M110),,,,,
,step,,,,,Electrical Boards,,,,,,
Electrical Board ITP Comm,checklist,,,,,,T-1.1 Warehouse Adjacent Main Office (drawing no. M150),,,,,
Electrical Board ITP Comm,checklist,,,,,,T-1.2 Dock Office (drawing no. M110),,,,,
