resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Elevation / Zone 2,,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.203-01,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.203-01 (2?),,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.203-03,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.203-04,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.203-05,,,,,,,
,step,,,Elevation / Zone 3,,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.301-01,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.305-02,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.305-03,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.306-02,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.306-03,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.306-04,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W311-02,,,,,,,
,step,,,Elevation / Zone 4,,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.401-01,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.401-02,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.401-03,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.405-02,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.405-03,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.405-04,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.405-05,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.405-02,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.407-03,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.408-02,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.408-03,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.408-04,,,,,,,
,step,,,Elevation / Zone 5,,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.506-06,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.507-01,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.505-02,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.506-02,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.506-03,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.506-04,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.506-05,,,,,,,
,step,,,Elevation / Zone 6,,,,,,,,
Seismic Suite (Curtain Wall),checklist,,,,W.601-01,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.605-02,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.605-03,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.605-04,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.606-01,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.606-02,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.607-01,,,,,,,
Seismic Suite (non curtain wall),checklist,,,,W.605-01 / D.605-02,,,,,,,
,step,,,Elevation / Zone 7,,,,,,,,
Seismic Suite (Curtain Wall),checklist,,,,W.702-01,,,,,,,
