resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Block FL,,,,,,,,
,step,,,Block FL,Ground,,,,,,,
,step,,,Block FL,Ground,West,,,,,,
Commercial/Domestic,checklist,,,Block FL,Ground,West,FL.W.013a,,,,,
Commercial/Domestic,checklist,,,Block FL,Ground,West,FL.W.013b,,,,,
Commercial/Domestic,checklist,,,Block FL,Ground,West,FL.D.014a,,,,,
,step,,,Block SS,,,,,,,,
,step,,,Block SS,Ground,,,,,,,
,step,,,Block SS,Ground,North,,,,,,
Commercial/Domestic,checklist,,,Block SS,Ground,North,SS.D.015,,,,,
,step,,,Block SS,Ground,East,,,,,,
Commercial/Domestic,checklist,,,Block SS,Ground,East,SS.D.016,,,,,
