"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"52743680-4689-4491-b35d-b05450e3c820","","folder-normal","fail","","step","TRUE","FALSE","Ground"
"81ba3244-c013-4f79-a5a5-8c42bb09422f","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Ground","W.G.01"
"e03e0c38-d24b-4fc5-b28d-db7f674cdf73","","checklist-flat","fail","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Ground","W.G.02"
"b750e581-cebe-4f83-818b-c57b573cc6f1","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Ground","W.G.03"
"a129472b-537b-4b59-807f-c02e5fac145e","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Ground","W.G.04"
"fe7c307c-9fb6-41b5-bc70-0d6d5c3f07f4","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Ground","W.G.14"
"d2b6347d-db1f-4716-a439-c6d54a89a772","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Ground","W.G.15"
"9ada6861-f089-4cd6-adf7-e652ca769752","","checklist-flat","fail","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Ground","W.G.16"
"7b0e206d-b575-42a3-b2cf-412f5e00b14d","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Ground","W.G.17"
"c4851683-2fce-4f73-b709-31f176f7d42f","","folder-normal","fail","","step","TRUE","FALSE","Level 1"
"bb751923-45d9-4e47-83ac-9893f9c53da6","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 1","W.1.01"
"9247ba41-cd31-44de-bfec-fdd178ab280a","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 1","W.1.02"
"b18429df-d871-4a7c-8da5-d92e6a3463ef","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 1","W.1.03"
"2a752f79-2530-4654-9912-15c8ca4ead47","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 1","W.1.04"
"ee552a85-792a-45a1-b732-f17f8f411aca","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 1","W.1.05"
"2f82be8f-facb-4da8-b15f-c06d33045388","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 1","W.1.06"
"908c5658-9c91-46cf-a554-9ba4f69d7cd9","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 1","W.1.07"
"c3d996ea-a729-4d1f-8ddf-b7d33537d885","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 1","W.1.08"
"851e08bf-1cd7-4d8a-8fb4-68a4ee2ace74","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 1","W.1.09"
"049cfb9a-edfc-493a-8b2d-27ec72ef6cda","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 1","W.1.10"
"21fefe50-cf52-484f-a4d1-94b8adfb3a3a","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 1","W.1.11"
"6d71146f-60a3-40eb-9416-0c64602dc3d0","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 1","W.1.12"
"789d01ed-804f-4b31-a2d5-2c8eb723dd3d","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 1","W.1.13"
"6dd11a89-91cb-4678-8afc-f14c9b006784","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 1","W.1.14"
"ab608f46-d54e-4d90-9fd9-28e9714f7509","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 1","W.1.15"
"fa7002e6-0694-4a7b-89a6-f2763b4e9496","","checklist-flat","fail","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 1","W.1.16"
"b74b8ab9-810a-4737-9fe4-479dddcd1117","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 1","W.1.17"
"fa0fd553-79ce-40de-8f84-461b8ea88cd2","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 1","W.1.18"
"64aa6723-f11d-41d2-ae77-c33e240e667d","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 1","W.1.19"
"ef74ee68-48ee-4717-9819-4bc234c95649","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 1","W.1.20"
"19c84031-51f4-4964-a842-b77218ab0db5","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 1","W.1.21"
"7b158615-4791-46e6-af34-3275e7ec2adb","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 1","W.1.22"
"58046e59-de26-4faf-ba24-1cd1a4df827f","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 1","W.1.23"
"e9123453-1317-4f6d-9449-943efcbaba25","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 1","W.1.24"
"5378e07c-2578-42dd-9b61-4a9e1f38fcfe","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 1","W.1.25"
"77107155-67aa-4b52-800a-100788d7aba2","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 1","W.1.26"
"45270bb8-2fc8-4b92-8916-9850dcbe84c5","","folder-normal","work-in-progress","","step","TRUE","FALSE","LEVEL 2"
"36534fd0-cee2-4aa4-815e-f20c4bd61156","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.01"
"510fd3c3-4c60-42b1-a1b1-dbee30701e52","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.02"
"45c7672d-a2d9-42d9-996e-096820281632","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.03"
"b4fd401d-40f2-468e-b245-821c8199dd29","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.04"
"775e82b4-21ad-4092-aab9-a48fb3f81f3e","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.05"
"18da43c3-d7ec-4f92-84b8-3b374965a410","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.06"
"a4082d36-d0db-4169-bde5-dde6797effc6","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.07"
"155f66b1-908b-4343-9561-344854a9b4bb","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.08"
"d76f9beb-8ebc-4470-8ea8-3875972e3fd7","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.09"
"e55dd4d8-d907-4909-8ada-69b845e641de","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.10"
"ac784310-7cbd-4d5f-80d1-6ac8f2adbcd0","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.11"
"b801ce65-efe7-4b91-869f-ad994848ee0e","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.12"
"4e89eae2-1a54-4ca5-add6-e020fd6cd528","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.13"
"73db3bbd-5e6a-44fe-9ee3-1b21669cedf4","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.14"
"edfda1f0-8022-4244-ad22-e600583d2026","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.16"
"06f68d1f-c619-47b6-ab7c-3c49e9b6b834","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.15"
"39ba4197-db28-4353-8082-aa0751c03923","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.17"
"9e76713f-f109-408e-8b42-0e779b5c1d91","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.18"
"cddf3ef3-da57-4091-beab-080a387e2113","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.19"
"7ecbb512-44d6-4825-9830-c3f943fd3dca","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.20"
"e106ef64-c118-45d3-80b8-c9d67b61c8a3","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.21"
"e9606fea-1d84-46e1-a8fb-0ed8ea594523","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.22"
"13aa92e3-ee92-4a63-9bdb-a737b032e6d4","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.23"
"944af2e5-eda2-4ea2-8518-e0735045125f","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.24"
"c71b8c02-c763-4517-b1e5-867028dbee63","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.25"
"6f49fed8-788e-46c5-93d3-c6e553a4a50a","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.26"
"bcd4654e-db2d-4577-8312-030b6e2d4f60","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","LEVEL 2","W.2.27"
"3e09d04e-1c44-4ef9-829c-d1baf6ca24a1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 3"
"2cd0e9fa-af78-435b-ba11-256bc3f6fa99","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 3","W.3.01"
"9ef44f28-f81e-4f3e-92f2-33889b0ed45d","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 3","W.3.02"
"35782a83-da3b-4097-86e4-438d493f18ab","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 3","W.3.03"
"27255528-342c-41de-b317-143118c4aa98","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 3","W.3.04"
"fdedc90c-74e7-459e-a279-4b6b471a5621","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 3","W.3.05"
"850b1dae-252e-49bb-a412-b99e03214540","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 3","W.3.06"
"abeae6e9-a969-4911-bde6-b7846b162a7c","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 3","W.3.07"
"37d0dbdc-ec16-40cd-9fa1-2e3ada880483","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 3","W.3.08"
"3929cd26-6ada-4889-be40-154f8357b902","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 3","W.3.09"
"5b3ed653-c5cc-4a8e-92d6-5a3696f8d854","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 3","W.3.10"
"55502c13-b1ce-4769-9203-bcacbc7d3ae0","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 3","W.3.11"
