"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"78a15e3e-20fa-4d3c-9b0f-df4056f099bb","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"61752d13-5766-5203-a82a-4290b70c10cb","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"8f1b661f-5052-4b94-8bad-6d49f694825a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture"
"d81bd13c-5409-49cf-bffd-09a9301bc1b0","","checklist-sectioned","pass","2e38763aea9cfef5386e9c397d1b9c4d03d3f1e56a7b082a6dc0712abde9da76","checklist","FALSE","FALSE","Precast Manufacture","Weld plate details"
"6d0c1363-a917-57b6-91b2-2f787ce792f4","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details"
"1f50ea1c-cfef-577f-9961-2d8213b45536","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Edge Detail"
"da8f8f9f-8655-5431-8d69-5e0f232d1474","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Bar Projections"
"2a166c60-3e09-5207-8985-ff6193cac93b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Cast in items"
"44a3a271-4580-4335-8296-20af7937314a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels 1 - 25"
"a0e4de02-b522-40a6-8202-6890318ab118","","checklist-sectioned","not-started","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 25","Panel -1"
"a51e79d6-2844-5d4b-afd9-64b0b91764af","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check"
"92d21917-e641-5cbb-9f3e-cd508811b21c","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check","Dimensions"
"57ff105f-15ae-5c0e-984c-82a8434170e7","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check","Mould Clean"
"aea1f583-481a-505c-b463-12a592f26c85","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check","Mould Oiled"
"eaca23c4-ed85-5942-9989-361e73cb6c7b","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check","Mould - Workmanship"
"d95bac88-d229-59d2-ad87-3fa4a1561287","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check","Reinforcing"
"31f0b0fe-9f2a-5958-85c8-9ae0d7648f30","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check","Cast In Items"
"e074d33f-1fec-5bf1-9e8a-6391a7ca477e","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check","Marker Position and No."
"6b0d6db2-9d3c-5991-a626-3172e26f6c02","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check","Make mould to Green Status"
"ce8b15ac-b2b1-5fe3-bd33-6891a7906574","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Concrete Works"
"f306f2e2-d586-5afa-978f-4a7413355796","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Concrete Works","Concrete Works Details"
"526cfeae-8d73-5e23-9a23-9e79efb1fb03","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Concrete Works","Wilco Sample Taken"
"fb271db6-03c8-56ee-9221-b610aaa34c7f","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Concrete Works","Bridgeman Sample Taken"
"5f885567-fa2f-58ab-a7ac-727f6122a0ce","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Concrete Works","Supervisor Approval"
"0ea83fea-efb1-5ca1-8668-5a44c91de20d","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Post Pour Check"
"3b214608-8e3e-50ad-af80-bb7a36e4c65b","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Post Pour Check","Edge Detail"
"65a907ec-0bac-5d2e-b54b-8a5c2632a502","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Post Pour Check","Bar Projections"
"afedc189-6375-55cf-b174-5fd346dfef35","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Post Pour Check","Cast in items"
"f1bc881c-5b73-5284-80d2-034809a1a63a","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Stripping and Stacking"
"374632ae-90e2-58dc-a83a-3dfd33d98cec","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Stripping and Stacking","Stripping & Stacking"
"9519bd5e-f348-44c4-bbe0-60530f2d39ca","","checklist-sectioned","not-started","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 25","Panel -2"
"b8fd9b04-866f-59f0-bd56-013d830f9f94","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check"
"8a9d14b6-17ad-55a7-83f5-649a224dbd97","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check","Dimensions"
"504a8cb2-75e3-588d-b674-c4f6d2211c7a","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check","Mould Clean"
"73fcc9a8-64d0-5d0d-88c8-40e6d12497c9","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check","Mould Oiled"
"34a092ab-a4b7-52e8-a42f-3a1136a37a81","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check","Mould - Workmanship"
