type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Permit Name_month_year,,,,,,Permits,
section,Details,,,,,,,
checkpoint-no-value,Permit Details,,,,,,,
date,from Date,,,,,,,
date,to Date,,,,,,,
checkpoint-no-value,Permit Details,,,,,,,
date,from Date,,,,,,,
date,to Date,,,,,,,
checkpoint-no-value,Permit Details,,,,,,,
date,from Date,,,,,,,
date,to Date,,,,,,,
checkpoint-no-value,Permit Details,,,,,,,
date,from Date,,,,,,,
date,to Date,,,,,,,
checkpoint-no-value,Permit Details,,,,,,,
date,from Date,,,,,,,
date,to Date,,,,,,,
,,,,,,,,
checklist,Plant/Equipment ID_month_year,,,,,,Plant & Equipment Prestarts,
section,Details,,,,,,,
checkpoint-no-value,Week 1,,,,,,,
date,Week Commencing Date,,,,,,,
checkpoint-no-value,Week 2,,,,,,,
date,Week Commencing Date,,,,,,,
checkpoint-no-value,Week 3,,,,,,,
date,Week Commencing Date,,,,,,,
checkpoint-no-value,Week 4,,,,,,,
date,Week Commencing Date,,,,,,,
checkpoint-no-value,Week 5,,,,,,,
date,Week Commencing Date,,,,,,,
