type,name,values,prefix,postfix,usage count,user addable,template name
checklist,Slab Penetrations Template,,,,,,
section,Pour 1,,,,,,
checkpoint,Setout & alignment as per drawing (include revision below),,,,,,
text,Drawing & revision number(s),,,,,,
checkpoint,Fire protection installed (as per approved samples),,,,,,
checkpoint,Support & fixings done correctly,,,,,,
checkpoint,Pipework laying & lagging acceptable,,,,,,
checkpoint,Material type (as per sample submission),,,,,,
checkpoint,Pipework tested (add below),,,,,,
text,KpA of test,,,,,,
checkpoint,Penetration secured down for concrete pour,,,,,,
checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photo's below),,,,,,
label,Passing above includes Builder sign-off,,,,,,
bool,Area clean,,,,,,
section,Pour 2,,,,,,
checkpoint,Setout & alignment as per drawing (include revision below),,,,,,
text,Drawing & revision number(s),,,,,,
checkpoint,Fire protection installed (as per approved samples),,,,,,
checkpoint,Support & fixings done correctly,,,,,,
checkpoint,Pipework laying & lagging acceptable,,,,,,
checkpoint,Material type (as per sample submission),,,,,,
checkpoint,Pipework tested (add below),,,,,,
text,KpA of test,,,,,,
checkpoint,Penetration secured down for concrete pour,,,,,,
checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photo's below),,,,,,
label,Passing above includes Builder sign-off,,,,,,
bool,Area clean,,,,,,
section,Pour 3,,,,,,
checkpoint,Setout & alignment as per drawing (include revision below),,,,,,
text,Drawing & revision number(s),,,,,,
checkpoint,Fire protection installed (as per approved samples),,,,,,
checkpoint,Support & fixings done correctly,,,,,,
checkpoint,Pipework laying & lagging acceptable,,,,,,
checkpoint,Material type (as per sample submission),,,,,,
checkpoint,Pipework tested (add below),,,,,,
text,KpA of test,,,,,,
checkpoint,Penetration secured down for concrete pour,,,,,,
checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photo's below),,,,,,
label,Passing above includes Builder sign-off,,,,,,
bool,Area clean,,,,,,
,,,,,,,
checklist,Corridor Template    ,,,,,,
section,High Level Services,,,,,,
checkpoint,Setout & alignment as per drawing (include revision below),,,,,,
text,Drawing & revision number(s),,,,,,
checkpoint,Material type as per approved sample submission with AGA or watermarks,,,,,,
checkpoint,"Welding , press fittings, witness marks visually checked",,,,,,
checkpoint,Fixings & seismic support to standards,,,,,,
checkpoint,Pipework installations to code requirements,,,,,,
checkpoint,Water meters installed to authority standards,,,,,,
checkpoint,Gas 25mm separation achieved from other services as per AS 5601.1,,,,,,
checkpoint,"Penetrations, fire protection, wall sealant installed to the BCA requirements",,,,,,
checkpoint,"Identifications of services, valves & meters to standards",,,,,,
checkpoint,Pressure test to code requirements,,,,,,
checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below),,,,,,
label,Passing above includes Builder sign-off,,,,,,
bool,Area clean,,,,,,
section,Drainage,,,,,,
checkpoint,Stormwater riser,,,,,,
checkpoint,Syfon drainage,,,,,,
