resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
SYS - Job Details Checklist (V1),checklist,,,Job Details,,,,,,,,
,step,,,Precast Manufacture,,,,,,,,
,step,,,,Precast Panels,,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P001,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P002,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P003,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P004,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P005,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P006,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P007,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P008,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P009,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P010,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P011,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P012,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P013,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P014,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P015,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P016,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P017,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P018,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P019,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P020,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P021,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P022,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P023,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P024,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P025,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P026,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P027,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P028,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P029,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P030,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P031,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P032,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P033,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P034,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P035,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P036,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P037,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P038,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P039,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P040,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P041,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P042,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P043,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P044,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P045,,,,,,
QA - Item Checklist (V6),checklist,,,,,819-P046,,,,,,
