"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"774f9496-036e-46c3-bace-dbbcf27cd22e","","pass","b670127d166a50e96549e934793d6b2120aae4106e7c91c87c5b7e8c2c1a7b36","checklist","FALSE","FALSE","Job Details"
"6f0f1ed6-91c6-4a9e-bc74-7c00c547b259","","fail","","folder","TRUE","FALSE","Project QA"
"c4e8f892-dac5-4025-8dd2-2615338fb57e","","work-in-progress","","folder","TRUE","FALSE","Project QA","DE-01 Entry (APL Architectural Series) - Pivot"
"5b1af9af-46ff-4451-90c7-59b3f9c5129a","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","DE-01 Entry (APL Architectural Series) - Pivot","Assembly"
"7fbd9605-7369-4d89-bfae-bb50ec418730","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","DE-01 Entry (APL Architectural Series) - Pivot","Glazing & Pre-Delivery"
"95720e30-3ceb-4b79-9b09-09bfde4ce0b8","","pass","","folder","TRUE","FALSE","Project QA","DE-02 WC (APL Architectural ThermalHEART+)"
"50d7891b-3c49-4ced-9db1-4a0042a44d44","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","DE-02 WC (APL Architectural ThermalHEART+)","Assembly"
"388a25fa-e5e3-4b6e-b9b2-2c90c1bd961a","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","DE-02 WC (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
"320793e5-2493-4a86-9c2f-a54698a5775d","","pass","","folder","TRUE","FALSE","Project QA","DE-03 Scullery (APL Architectural ThermalHEART+)"
"ba130ad0-58ac-4b02-a052-0109001192e8","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","DE-03 Scullery (APL Architectural ThermalHEART+)","Assembly"
"356eb431-08aa-41ac-9cbf-69d54caad186","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","DE-03 Scullery (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
"e10eaffe-077c-4cf3-be5a-52dcf7117f54","","pass","","folder","TRUE","FALSE","Project QA","DE-04 Kitchen (APL Architectural ThermalHEART+)"
"5b76ead5-2dbc-4e31-9325-c6a2750c4b8b","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","DE-04 Kitchen (APL Architectural ThermalHEART+)","Assembly"
