"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"91925a59-c088-41b4-9a5c-934f28bfaa64","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"00807efa-ac7f-421c-9392-2fc79d5b25d2","","not-started","","folder","TRUE","FALSE","Project QA"
"40cc2e35-f0f9-4919-823b-f1d7609a62a6","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - W.03 Master Bedroom (APL Metro ThermalHEART+)"
"735d4125-2e10-45c9-8afc-3b0bcc6dc9d3","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - W.03 Master Bedroom (APL Metro ThermalHEART+)","Assembly"
"ede24308-4c50-48ad-9c57-981d5a31d8ec","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - W.03 Master Bedroom (APL Metro ThermalHEART+)","Glazing & Pre-Delivery"
"191520ad-f4d6-481d-b53c-9e4cea551884","","not-started","","folder","TRUE","FALSE","Project QA","Item 2 - D.05 Master Bedroom (APL Metro ThermalHEART+)"
"eb808de9-e216-4882-9e0c-2443f8594388","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - D.05 Master Bedroom (APL Metro ThermalHEART+)","Assembly"
"a8a17ba9-f514-44b4-839d-2e86c7046454","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - D.05 Master Bedroom (APL Metro ThermalHEART+)","Glazing & Pre-Delivery"
"f192f72f-8e1c-4253-8246-59c0cdb39888","","not-started","","folder","TRUE","FALSE","Project QA","Item 3 - W.04 Master Bedroom (APL Metro ThermalHEART+)"
"c67ceb66-e494-4b88-83db-a014ceb6a17e","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - W.04 Master Bedroom (APL Metro ThermalHEART+)","Assembly"
"5ff7de5b-58cf-46d4-ac51-b38dd7a4751d","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - W.04 Master Bedroom (APL Metro ThermalHEART+)","Glazing & Pre-Delivery"
"b22d7e1a-df04-4421-9fce-b66a56de5871","","not-started","","folder","TRUE","FALSE","Project QA","Item 4 - W.05 Master Bedroom (APL Metro ThermalHEART+)"
"e636b763-085c-4450-a0c3-a288a5d0c37f","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - W.05 Master Bedroom (APL Metro ThermalHEART+)","Assembly"
"fe9d2378-830d-4df1-b10b-9194cb3cdd52","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - W.05 Master Bedroom (APL Metro ThermalHEART+)","Glazing & Pre-Delivery"
"44fd0b2a-c7d2-4492-a872-6190673798bb","","not-started","","folder","TRUE","FALSE","Project QA","Item 5 - W.07 Stairwell (APL Metro ThermalHEART+)"
"9d0ef72e-848a-4aff-9312-027bf20f8be9","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - W.07 Stairwell (APL Metro ThermalHEART+)","Assembly"
"40571590-be09-4401-80d4-d18be4c171ee","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - W.07 Stairwell (APL Metro ThermalHEART+)","Glazing & Pre-Delivery"
"980d0640-7b08-4acf-a9ec-c94a3e60e6ad","","not-started","","folder","TRUE","FALSE","Project QA","Item 6 - W.08 Stairwell (APL Metro ThermalHEART+)"
"56ae0dcb-b218-480f-b891-d6d5d02f7bcd","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - W.08 Stairwell (APL Metro ThermalHEART+)","Assembly"
"bfdbc55b-2e27-458d-8e36-343bd0267a14","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - W.08 Stairwell (APL Metro ThermalHEART+)","Glazing & Pre-Delivery"
"ec9c21ce-e5ca-4e15-b0aa-8da8e688a60f","","not-started","","folder","TRUE","FALSE","Project QA","Item 7 - Ensuite ( APL Metro ThermaHeart+ )"
"92ee1797-9fe7-4690-bf70-cd2ad1e9a9eb","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - Ensuite ( APL Metro ThermaHeart+ )","Assembly"
"c91d873a-be9c-424b-bbd6-a63efd91a176","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - Ensuite ( APL Metro ThermaHeart+ )","Glazing & Pre-Delivery"
