"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c612514f-29ad-47c7-bddd-584a82a1c01e","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"133cef9d-3afc-45d7-a162-cc8b2339c2ae","","fail","","folder","TRUE","FALSE","Project QA"
"15d2f44f-282f-444f-beae-5746bd0cbc9b","","pass","","folder","TRUE","FALSE","Project QA","Item 1 - WG-03 Kitchen (APL Residential TH+)"
"7dd6f513-ee3d-4b95-acb1-4e35b3b132a8","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 1 - WG-03 Kitchen (APL Residential TH+)","Assembly"
"5a22a097-8aaf-47cc-b6e6-02754d0dbef1","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - WG-03 Kitchen (APL Residential TH+)","Glazing & Pre-Delivery"
"fccb75c9-0c59-46bf-81a8-afcfcc44cb69","","pass","","folder","TRUE","FALSE","Project QA","Item 2 - WG-04 Dining (APL Residential TH+)"
"66ab903e-7109-4a77-a2dc-0aa6d3296bbc","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 2 - WG-04 Dining (APL Residential TH+)","Assembly"
"42a187ca-e12f-4050-9ebd-75cbcef72da9","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - WG-04 Dining (APL Residential TH+)","Glazing & Pre-Delivery"
"ad680f43-70dc-4260-b827-c51306aed7f2","","pass","","folder","TRUE","FALSE","Project QA","Item 3 - WG-05 Living (APL Residential TH+)"
"58354922-11dc-4c7b-82c4-5b5c6009ee85","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 3 - WG-05 Living (APL Residential TH+)","Assembly"
"4c05d340-2dbb-401b-8030-c46a0c38b77d","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - WG-05 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"e54d5db6-93fa-4838-87c9-5731c9fb5cfa","","pass","","folder","TRUE","FALSE","Project QA","Item 4 - WG-06 Living (APL Residential TH+)"
"3ba0433d-3887-462f-9ab8-f304986cb842","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 4 - WG-06 Living (APL Residential TH+)","Assembly"
"88fa26b4-9e7a-41d5-97ad-b6bda434a6ed","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - WG-06 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"57d0dba0-01f8-43e6-9ddb-acfce8e82110","","fail","","folder","TRUE","FALSE","Project QA","Item 5 - WG-07 Living (APL Residential TH+)"
"83bb728c-b0f8-4c07-9d35-9ae0b2bdc0df","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 5 - WG-07 Living (APL Residential TH+)","Assembly"
"73e130ae-f32c-4cf1-8d52-d80ba323977c","","fail","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - WG-07 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"e38724df-67e6-42ef-835a-c6cf0777c591","","pass","","folder","TRUE","FALSE","Project QA","Item 6 - WG-08 Dining (APL Residential TH+)"
"d6f9f025-3646-4d26-8081-99c7c5b38a1f","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 6 - WG-08 Dining (APL Residential TH+)","Assembly"
"fd26cf18-3a40-4ec0-8cfe-6412df5cac19","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - WG-08 Dining (APL Residential TH+)","Glazing & Pre-Delivery"
"913b08ef-c5e9-4800-9f2f-e3b6d4bf569d","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 7 - WG-09 Kitchen (APL Residential TH+)"
"71777928-30a8-47c7-a85a-d4b8adb64670","","work-in-progress","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 7 - WG-09 Kitchen (APL Residential TH+)","Assembly"
"4f65c45d-154f-4d85-a689-09251aa4f02a","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - WG-09 Kitchen (APL Residential TH+)","Glazing & Pre-Delivery"
"ce00f8f4-baf9-4fdc-a147-9e1feae867c4","","fail","","folder","TRUE","FALSE","Project QA","Item 8 - WG-10 Scullery (APL Residential TH+)"
"92cf5b2d-63c5-4f8c-860f-529188e391d1","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 8 - WG-10 Scullery (APL Residential TH+)","Assembly"
