Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,
f64dcb9a-600d-5e98-91f6-578d46ba6a0e,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L0,A001,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
fdad7d59-8ae7-58e9-9124-6e10ff040c31,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L0,A002,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
8d9d02e6-f23f-582d-ac35-1a460fc316ea,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L0,A005,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
d5e1c133-49f9-597e-9d67-747e80ca8046,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L0,Community Room,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
6694e667-bdde-59f7-8bf5-221535869710,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L0,Store Room,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
6e5bf7cb-813d-51ce-90a1-01a9898731e7,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L1,A101,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
d6f6c3b5-c973-5ca5-9d41-1e5f00846f0d,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L1,A102,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
7b896b3d-2bcf-5916-be2a-5707ab2afc01,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L1,A103,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
c0055000-84a3-547a-948e-94d52a686d0e,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L1,A104,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
ad1208af-447a-54d4-993c-95be17b41c4b,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L1,A105,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
2bf71087-bb6b-5624-ba8a-37f36cf4a1fc,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L2,A201,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
92ae94dd-0ab7-5888-b789-1c08e28e7264,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L2,A202,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
87327e42-a58e-5043-9551-4e0028edadce,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L2,A203,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
6fbaed10-f123-5691-938f-b27ad8ec1754,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L2,A204,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
8d172af5-987c-5fc6-8e59-c7943a5c5962,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L2,A205,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
486db53d-6476-57a2-94d1-0bb081fe077a,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L3,A301,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
79e577f9-1a43-5685-85f1-f74416b11a6f,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L3,A302,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
e7e9e0d5-fb68-51fc-88b2-b294bf19d08b,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L3,A303,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
369342d3-9432-58d1-a36a-81c1b603c598,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L3,A304,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
db9bb5ac-72e6-52b5-8da2-0e08d826158c,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L3,A305,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
ef7e7cdf-3735-5bd6-b643-cd55c7235d86,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L4,A401,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
92b81c7e-f7a1-5493-8ada-50ebb2e654e1,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L4,A402,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
02013440-f290-5d5f-bc86-d206f8ba356f,,checkpoint-status,not-started,,,TRUE,TRUE,Building A,Interior Fitout,L4,A403,Scarbro Final Sign - Off,All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved
