resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,
,step,,,B01,,,,,,,,,,,,,
,step,,,,Façade,,,,,,,,,,,,
,step,,,,,Ground,,,,,,,,,,,
,step,,,,,,NW - Wing,,,,,,,,,,
Post - S - Screeding ,checklist,,,,,,,Screeding,,,,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,Exterior Tiling,,,,,,,,,
,step,,,,,,Central East - A4-A6 & A9-A11 (Facing NE/SE Wings),,,,,,,,,,
Post - S - Screeding ,checklist,,,,,,,Screeding,,,,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,Exterior Tiling,,,,,,,,,
,step,,,,,,North - AG-CE (Facing B07/B08),,,,,,,,,,
Post - S - Screeding ,checklist,,,,,,,Screeding,,,,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,Exterior Tiling,,,,,,,,,
,step,,,,,,NE - Wing,,,,,,,,,,
Post - S - Screeding ,checklist,,,,,,,Screeding,,,,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,Exterior Tiling,,,,,,,,,
,step,,,,,,East - C6-C14 (Facing B09/B10),,,,,,,,,,
Post - S - Screeding ,checklist,,,,,,,Screeding,,,,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,Exterior Tiling,,,,,,,,,
,step,,,,,,SE - Wing,,,,,,,,,,
Post - S - Screeding ,checklist,,,,,,,Screeding,,,,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,Exterior Tiling,,,,,,,,,
,step,,,,,,South - AG-CE (FacingB03/B02),,,,,,,,,,
Post - S - Screeding ,checklist,,,,,,,Screeding,,,,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,Exterior Tiling,,,,,,,,,
,step,,,,,,SW - Wing ,,,,,,,,,,
,step,,,,,,,Apartments ,,,,,,,,,
,step,,,,,,,,G69A,,,,,,,,
,step,,,,,,,,,Patio ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,G68A,,,,,,,,
,step,,,,,,,,,Patio ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,G67A,,,,,,,,
,step,,,,,,,,,Patio ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,G66A,,,,,,,,
,step,,,,,,,,,Patio ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,G65A,,,,,,,,
,step,,,,,,,,,Patio ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,G64A,,,,,,,,
,step,,,,,,,,,Patio ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,West - A4-A11 (Facing B04/B05),,,,,,,,,,
Post - S - Screeding ,checklist,,,,,,,Screeding,,,,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,Exterior Tiling,,,,,,,,,
,step,,,,,Level 1,,,,,,,,,,,
,step,,,,,,NW - Wing,,,,,,,,,,
,step,,,,,,,Apartments ,,,,,,,,,
,step,,,,,,,,156A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,155A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,154A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,152A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,151A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,Central East - A4-A6 & A9-A11 (Facing NE/SE Wings),,,,,,,,,,
,step,,,,,,,Apartments ,,,,,,,,,
,step,,,,,,,,158A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,163A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,North - AG-CE (Facing B07/B08),,,,,,,,,,
,step,,,,,,,Apartments ,,,,,,,,,
,step,,,,,,,,186A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,184A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,182A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,180A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,179A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,177A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,175A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,173A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,171A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,South - AG-CE (FacingB03/B02),,,,,,,,,,
,step,,,,,,,Apartments ,,,,,,,,,
,step,,,,,,,,185A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,183A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,181A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,178A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,176A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,174A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,172A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,170A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,SW - Wing,,,,,,,,,,
,step,,,,,,,Apartments ,,,,,,,,,
,step,,,,,,,,169A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
POST - S - Waterproofing,checklist,,,,,,,,,,Waterproofing,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,168A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
POST - S - Waterproofing,checklist,,,,,,,,,,Waterproofing,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,167A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
POST - S - Waterproofing,checklist,,,,,,,,,,Waterproofing,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,166A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
POST - S - Waterproofing,checklist,,,,,,,,,,Waterproofing,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,165A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
POST - S - Waterproofing,checklist,,,,,,,,,,Waterproofing,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,164A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
POST - S - Waterproofing,checklist,,,,,,,,,,Waterproofing,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,West - A4-A11 (Facing B04/B05),,,,,,,,,,
,step,,,,,,,Apartments ,,,,,,,,,
,step,,,,,,,,157A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,159A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,160A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
Post - S - Screeding ,checklist,,,,,,,,,,Screeding,,,,,,
FC - S - Exterior Tiling,checklist,,,,,,,,,,Exterior Tiling,,,,,,
,step,,,,,,,,161A,,,,,,,,
,step,,,,,,,,,Balcony ,,,,,,,
