resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Rough In,,,,,,,,
,step,,,,Ground level,,,,,,,
,step,,,,Level 1,,,,,,,
,step,,,,Level 2,,,,,,,
,step,,,,Level 3,,,,,,,
,step,,,,Level 4,,,,,,,
,step,,,,Level 5,,,,,,,
,step,,,,Level 6,,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 6A,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 6B,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 6C,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 6D,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 6E,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 6F,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 6G,,,,,,
,step,,,,Level 7,,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 7A,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 7B,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 7C,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 7D,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 7E,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 7F,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 7G,,,,,,
,step,,,,Level 8,,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 8A,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 8B,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 8C,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 8D,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 8E,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 8F,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 8G,,,,,,
,step,,,,Level 9,,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 9A,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 9B,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 9C,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 9D,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 9E,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 9F,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 9G,,,,,,
,step,,,,Level 10,,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 10A,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 10B,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 10C,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 10D,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 10E,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 10F,,,,,,
QA - Rough In,checklist-flat,,,,,Unit 10G,,,,,,
