resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Windows QA,,,,,,,,
,step,,,,Ground Level,,,,,,,
,step,,,,,North Elevation,,,,,,
,step,,,,Level 4,,,,,,,
,step,,,,,South Elevation,,,,,,
,step,,,,,West Elevation,,,,,,
,step,,,,Level 5,,,,,,,
,step,,,,,North Elevation,,,,,,
,step,,,,,East Elevation,,,,,,
,step,,,,,South Elevation,,,,,,
,step,,,,,West Elevation,,,,,,
,step,,,,Level 6,,,,,,,
,step,,,,,North Elevation,,,,,,
Captive Glazing,checklist,,,,,,W6.01,,,,,
Captive Glazing,checklist,,,,,,W6.02,,,,,
Captive Glazing,checklist,,,,,,W6.03,,,,,
Captive Glazing,checklist,,,,,,W6.04,,,,,
Captive Glazing,checklist,,,,,,W6.05,,,,,
,step,,,,,East Elevation,,,,,,
Captive Glazing,checklist,,,,,,W6.06,,,,,
Captive Glazing,checklist,,,,,,W6.07,,,,,
Captive Glazing,checklist,,,,,,W6.08,,,,,
Captive Glazing,checklist,,,,,,W6.09,,,,,
Captive Glazing,checklist,,,,,,W6.10,,,,,
,step,,,,,South Elevation,,,,,,
Captive Glazing,checklist,,,,,,W6.11,,,,,
Captive Glazing,checklist,,,,,,W6.12,,,,,
Captive Glazing,checklist,,,,,,W6.13,,,,,
Captive Glazing,checklist,,,,,,W6.14,,,,,
Captive Glazing,checklist,,,,,,W6.15,,,,,
,step,,,,,West Elevation,,,,,,
Captive Glazing,checklist,,,,,,W6.16,,,,,
Captive Glazing,checklist,,,,,,W6.17,,,,,
Captive Glazing,checklist,,,,,,W6.18,,,,,
Captive Glazing,checklist,,,,,,W6.19,,,,,
Captive Glazing,checklist,,,,,,W6.20,,,,,
,step,,,,Level 7,,,,,,,
,step,,,,,North Elevation,,,,,,
Captive Glazing,checklist,,,,,,W7.01,,,,,
Captive Glazing,checklist,,,,,,W7.02,,,,,
Captive Glazing,checklist,,,,,,W7.03,,,,,
Captive Glazing,checklist,,,,,,W7.04,,,,,
Captive Glazing,checklist,,,,,,W7.05,,,,,
,step,,,,,East Elevation,,,,,,
Captive Glazing,checklist,,,,,,W7.06,,,,,
Captive Glazing,checklist,,,,,,W7.07,,,,,
Captive Glazing,checklist,,,,,,W7.08,,,,,
Captive Glazing,checklist,,,,,,W7.09,,,,,
Captive Glazing,checklist,,,,,,W7.10,,,,,
,step,,,,,South Elevation,,,,,,
Captive Glazing,checklist,,,,,,W7.11,,,,,
Captive Glazing,checklist,,,,,,W7.12,,,,,
Captive Glazing,checklist,,,,,,W7.13,,,,,
Captive Glazing,checklist,,,,,,W7.14,,,,,
Captive Glazing,checklist,,,,,,W7.15,,,,,
,step,,,,,West Elevation,,,,,,
Captive Glazing,checklist,,,,,,W7.16,,,,,
Captive Glazing,checklist,,,,,,W7.17,,,,,
Captive Glazing,checklist,,,,,,W7.18,,,,,
Captive Glazing,checklist,,,,,,W7.19,,,,,
Captive Glazing,checklist,,,,,,W7.20,,,,,
,step,,,,Level 8,,,,,,,
,step,,,,,North Elevation,,,,,,
Captive Glazing,checklist,,,,,,W8.01,,,,,
Captive Glazing,checklist,,,,,,W8.02,,,,,
Captive Glazing,checklist,,,,,,W8.03,,,,,
Captive Glazing,checklist,,,,,,W8.04,,,,,
Captive Glazing,checklist,,,,,,W8.05,,,,,
,step,,,,,East Elevation,,,,,,
Captive Glazing,checklist,,,,,,W8.06,,,,,
Captive Glazing,checklist,,,,,,W8.07,,,,,
Captive Glazing,checklist,,,,,,W8.08,,,,,
Captive Glazing,checklist,,,,,,W8.09,,,,,
Captive Glazing,checklist,,,,,,W8.10,,,,,
,step,,,,,South Elevation,,,,,,
Captive Glazing,checklist,,,,,,W8.11,,,,,
Captive Glazing,checklist,,,,,,W8.12,,,,,
Captive Glazing,checklist,,,,,,W8.13,,,,,
Captive Glazing,checklist,,,,,,W8.14,,,,,
Captive Glazing,checklist,,,,,,W8.15,,,,,
,step,,,,,West Elevation,,,,,,
Captive Glazing,checklist,,,,,,W8.16,,,,,
Captive Glazing,checklist,,,,,,W8.17,,,,,
Captive Glazing,checklist,,,,,,W8.18,,,,,
Captive Glazing,checklist,,,,,,W8.19,,,,,
Captive Glazing,checklist,,,,,,W8.20,,,,,
,step,,,,Level 9,,,,,,,
,step,,,,,North Elevation,,,,,,
Captive Glazing,checklist,,,,,,W9.01,,,,,
Captive Glazing,checklist,,,,,,W9.02,,,,,
Captive Glazing,checklist,,,,,,W9.03,,,,,
Captive Glazing,checklist,,,,,,W9.04,,,,,
Captive Glazing,checklist,,,,,,W9.05,,,,,
