type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-sectioned,FHC-ITP-003 - Subgrade Preparation Rev1,itp,,,,Yes,FHC-ITP-003 - Subgrade Preparation Rev1,0c838bf7-1bbb-46d3-a472-4cde14144564
checkpoint-group,1 - Preliminary Works,,,,,,,
checkpoint-status,1.1 Check for correct documentation,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,
label,– – – – – – – – –,,,,,,,
label,ACCEPTANCE CRITERIA: Ensure that all employees and subcontractors are:,,,,,,,
label,– using the correct and complete set of drawings,,,,,,,
label,– all drawings are the latest revision,,,,,,,
label,– – – – – – – – –,,,,,,,
label,REFERENCE DOCUMENTS: Drawings and drawing registers,,,,,,,
label,– – – – – – – – –,,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,
label,– – – – – – – – –,,,,,,,
label,HP*,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RESPONSIBILITY: Site Engineer / Site Foreman,,,,,,,
label,– – – – – – – – –,,,,,,,
text,DATE:,,,,,,,
checkpoint-status,1.2 Implementation of all measures and controls,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,
label,– – – – – – – – –,,,,,,,
label,"ACCEPTANCE CRITERIA: All necessary measures and controls are being implemented, that is: OHSCP, PHSCP, PCMP, EMP, ECP, CEMP, ERA, QMP, CHMP, SWMS",,,,,,,
label,– – – – – – – – –,,,,,,,
label,"REFERENCE DOCUMENTS: OHSCP, PHSCP, PCMP, EMP, ECP, CEMP, ERA, QMP, CHMP, SWMS",,,,,,,
label,– – – – – – – – –,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,
label,– – – – – – – – –,,,,,,,
label,HP*,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RESPONSIBILITY: Site Engineer / Site Foreman,,,,,,,
label,– – – – – – – – –,,,,,,,
text,DATE:,,,,,,,
checkpoint-group,2 - Construction Works,,,,,,,
checkpoint-status,2.1 Survey Set-Out,,,,,,,
label,FREQUENCY: Prior to commencement of excavation,,,,,,,
label,– – – – – – – – –,,,,,,,
label,ACCEPTANCE CRITERIA: Area has been set out in accordance with the drawings,,,,,,,
label,– – – – – – – – –,,,,,,,
label,"REFERENCE DOCUMENTS: Drawings, Work Procedure",,,,,,,
label,– – – – – – – – –,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed,,,,,,,
label,– – – – – – – – –,,,,,,,
label,IP,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RESPONSIBILITY: Site Engineer/ Surveyor,,,,,,,
label,– – – – – – – – –,,,,,,,
text,DATE:,,,,,,,
checkpoint-status,2.2 Excavation Permit,,,,,,,
label,FREQUENCY: Each lot,,,,,,,
label,– – – – – – – – –,,,,,,,
label,ACCEPTANCE CRITERIA: An excavation permit must be issued prior to any excavation commencing.,,,,,,,
label,• Plant and equipment shall be appropriate for the task.,,,,,,,
label,• Excavation operations shall not disturb areas outside the limit of excavation,,,,,,,
label,– – – – – – – – –,,,,,,,
label,REFERENCE DOCUMENTS: Excavation permit,,,,,,,
label,– – – – – – – – –,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,
label,– – – – – – – – –,,,,,,,
label,HP*,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RESPONSIBILITY: Site Engineer,,,,,,,
label,– – – – – – – – –,,,,,,,
text,DATE:,,,,,,,
checkpoint-status,2.3 Subgrade Material Properties,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,
label,– – – – – – – – –,,,,,,,
label,"ACCEPTANCE CRITERIA: In situ material within 400mm of cut floor level to be consistent with Type B. i.e. CBR>assigned value (must be greater than 2), Swell < 2.5%.",,,,,,,
label,• If parameter met rip and re compact 150mm. If parameters not met remove 400mm of material and replace with conforming type B.,,,,,,,
label,– – – – – – – – –,,,,,,,
label,REFERENCE DOCUMENTS: 204.06 (e),,,,,,,
label,– – – – – – – – –,,,,,,,
label,INSPECTION/TEST METHOD: Test Point,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RECORD OF CONFORMITY: Test Reports,,,,,,,
label,– – – – – – – – –,,,,,,,
label,TP,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RESPONSIBILITY: Site Engineer,,,,,,,
label,– – – – – – – – –,,,,,,,
text,DATE:,,,,,,,
checkpoint-status,2.4 Inspection of Subgrade Material,,,,,,,
label,FREQUENCY: Each lot,,,,,,,
label,– – – – – – – – –,,,,,,,
label,"ACCEPTANCE CRITERIA: Prior to commencing excavation in any area and during excavation work, the Superintendent and the Contractor shall inspect each type of material encountered and subject to verification by appropriate laboratory testing, agree on the category of the material in accordance with Clause 204.04",,,,,,,
label,– – – – – – – – –,,,,,,,
label,REFERENCE DOCUMENTS: 204.06 (c),,,,,,,
label,– – – – – – – – –,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,
label,– – – – – – – – –,,,,,,,
label,HP,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RESPONSIBILITY: Site Engineer/ Superintendent,,,,,,,
label,– – – – – – – – –,,,,,,,
text,DATE:,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint-status,2.6 Acceptance of Rock Subgrade (when applicable),,,,,,,
label,FREQUENCY: Prior construction of the regulating layer,,,,,,,
label,– – – – – – – – –,,,,,,,
label,"ACCEPTANCE CRITERIA: Prior to construction of the regulating layer, the areas of rock subgrade shall be presented to the Superintendent for acceptance.",,,,,,,
label,• Any necessary amendments to the subsurface drainage design including transverse subsurface drainage at the interfaces shall be presented to Superintendent for review.,,,,,,,
label,– – – – – – – – –,,,,,,,
label,REFERENCE DOCUMENTS: VicRoads Spec. Cl. 204.06(f),,,,,,,
label,– – – – – – – – –,,,,,,,
label,INSPECTION/TEST METHOD: Site Inspection/ Document Review,,,,,,,
label,– – – – – – – – –,,,,,,,
label,"RECORD OF CONFORMITY: Superintendent acceptance, Signed ITP",,,,,,,
label,– – – – – – – – –,,,,,,,
label,HP,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RESPONSIBILITY: Site Engineer/ Superintendent,,,,,,,
label,– – – – – – – – –,,,,,,,
text,DATE:,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint-status,2.7 Unsuitable Material,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,
label,– – – – – – – – –,,,,,,,
label,"ACCEPTANCE CRITERIA: Where Unsuitable material is encountered, proposed in-situ treatment must be submitted to the superintendent for review.",,,,,,,
label,– – – – – – – – –,,,,,,,
label,REFERENCE DOCUMENTS: 204.07 (d),,,,,,,
label,– – – – – – – – –,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,
label,– – – – – – – – –,,,,,,,
label,HP,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RESPONSIBILITY: Site Engineer/ Superintendent,,,,,,,
label,– – – – – – – – –,,,,,,,
text,DATE:,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint-status,2.8 Groundwater,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,
label,– – – – – – – – –,,,,,,,
label,ACCEPTANCE CRITERIA: Where groundwater is encountered the contractor shall notify the superintendent and submit proposed action for review.,,,,,,,
label,• The Contractor shall submit any necessary approvals from relevant authorities for the treatment and disposal of this groundwater,,,,,,,
label,– – – – – – – – –,,,,,,,
label,REFERENCE DOCUMENTS: 204.06 (h),,,,,,,
label,– – – – – – – – –,,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,
label,– – – – – – – – –,,,,,,,
label,HP,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RESPONSIBILITY: Site Engineer/ Superintendent,,,,,,,
label,– – – – – – – – –,,,,,,,
text,DATE:,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint-status,2.9 Trimming and Level conformity,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,
label,– – – – – – – – –,,,,,,,
label,"ACCEPTANCE CRITERIA: The level at any point on the subgrade shall not lie more than 20 mm below a 3 m straightedge laid in any direction, except across a crown and water shall not pond at any point. Random level assessments shall not be undertaken in lots not exceeding 4000 m2.",,,,,,,
label,○ Level tolerances:,,,,,,,
label,"• Range x = +15, -30mm",,,,,,,
label,• Max S = 12 mm,,,,,,,
label,• 40 measurements per lot (Scale B),,,,,,,
label,– – – – – – – – –,,,,,,,
label,REFERENCE DOCUMENTS: 204.03(f)(g)(h),,,,,,,
label,– – – – – – – – –,,,,,,,
label,INSPECTION/TEST METHOD: Survey Report,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RECORD OF CONFORMITY: Survey Record,,,,,,,
label,– – – – – – – – –,,,,,,,
label,SCP,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RESPONSIBILITY: Site Engineer/ Surveyor,,,,,,,
label,– – – – – – – – –,,,,,,,
text,DATE:,,,,,,,
checkpoint-group,3 - Testing,,,,,,,
checkpoint-status,3.1 Proof Rolling,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,
label,– – – – – – – – –,,,,,,,
label,ACCEPTANCE CRITERIA: Proof rolls to be conducted in accordance with Section 173 of the VicRoads Standard Specification,,,,,,,
label,– – – – – – – – –,,,,,,,
label,REFERENCE DOCUMENTS: Section 173,,,,,,,
label,– – – – – – – – –,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,
label,– – – – – – – – –,,,,,,,
label,"HP*, WP",,,,,,,
label,– – – – – – – – –,,,,,,,
label,RESPONSIBILITY: Site Engineer/ Superintendent,,,,,,,
label,– – – – – – – – –,,,,,,,
text,DATE:,,,,,,,
checkpoint-status,3.2 Minimum Testing,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,
label,– – – – – – – – –,,,,,,,
label,"ACCEPTANCE CRITERIA: Testing of every lot shall continue until three consecutive lots of like material and work have achieved the specified requirements in the first test. After satisfying this requirement and establishing a compaction procedure to the satisfaction of the Superintendent, the Contractor may seek the Superintendent’s agreement to reduce the frequency of testing of subsequent lots to the minimum requirements specified in Table 204.142",,,,,,,
label,– – – – – – – – –,,,,,,,
label,REFERENCE DOCUMENTS: 204.14 c,,,,,,,
label,– – – – – – – – –,,,,,,,
label,INSPECTION/TEST METHOD: Test Point,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,
label,– – – – – – – – –,,,,,,,
label,"HP*, WP",,,,,,,
label,– – – – – – – – –,,,,,,,
label,RESPONSIBILITY: Site Engineer/ Superintendent,,,,,,,
label,– – – – – – – – –,,,,,,,
text,DATE:,,,,,,,
checkpoint-status,3.2 Compaction Testing,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,
label,– – – – – – – – –,,,,,,,
label,ACCEPTANCE CRITERIA: Ripped and re-compacted material below Cut Floor Level = minimum compaction 98% SDD.,,,,,,,
label,• Type B Material placed within 400 mm of top of Type B Material = minimum compaction 95% SDD.,,,,,,,
label,• Type B material 400mm below the top of Type B material and Top 150mm of where fill is to be constructed = minimum compaction 95% SDD.,,,,,,,
label,– – – – – – – – –,,,,,,,
label,REFERENCE DOCUMENTS: Table 204.131,,,,,,,
label,– – – – – – – – –,,,,,,,
label,INSPECTION/TEST METHOD: Test Point,,,,,,,
label,– – – – – – – – –,,,,,,,
label,"RECORD OF CONFORMITY: Test Records, Lot Register",,,,,,,
label,– – – – – – – – –,,,,,,,
label,TP,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RESPONSIBILITY: Site Engineer,,,,,,,
label,– – – – – – – – –,,,,,,,
text,DATE:,,,,,,,
checkpoint-status,3.3 Compaction Testing (Small Lots),,,,,,,
label,FREQUENCY: Each Lot,,,,,,,
label,– – – – – – – – –,,,,,,,
label,ACCEPTANCE CRITERIA: Any lot which has a surface area less than 500 m2 may be treated as a small area. Acceptance of the lot shall be based on the mean values of 3 individual tests. Minimum Compaction shall be 100% SDD.,,,,,,,
label,– – – – – – – – –,,,,,,,
label,REFERENCE DOCUMENTS: 173.04 d,,,,,,,
label,– – – – – – – – –,,,,,,,
label,INSPECTION/TEST METHOD: Test Point,,,,,,,
label,– – – – – – – – –,,,,,,,
label,"RECORD OF CONFORMITY: Test Records, Lot Register",,,,,,,
label,– – – – – – – – –,,,,,,,
label,TP,,,,,,,
label,– – – – – – – – –,,,,,,,
label,RESPONSIBILITY: Site Engineer,,,,,,,
label,– – – – – – – – –,,,,,,,
text,DATE:,,,,,,,
checkpoint-status,Final Inspection,,,,,,,
label,The signature below verifies that this ITP has been completed in accordance with the FH’s Quality system Procedures and verifies lot compliance with specifications.,,,,,,,
text,Print Name:,,,,,,,
text,Position:,,,,,,,
text,Date:,,,,,,,
,,,,,,,,
checklist-sectioned,FHC-ITP-027 - Pile Footing Construction,itp,,,,Yes,FHC-ITP-027 - Pile Footing Construction,14631d90-23fb-47b9-ab76-c1c5268941cb
checkpoint-group,Design and Submissions,,,,,,,
checkpoint-status,1.1 - Check for correct documentation,,,,,,,
label,Frequency - Prior to commencing any activity,,,,,,,
label,Acceptance Criteria - Ensure that all employees and subcontractors are: - using the correct and complete set of drawings -all drawings are the latest revision,,,,,,,
label,Reference Documents - Drawings and drawing registers,,,,,,,
label,Inspection / Test Method - Visual inspection,,,,,,,
label,Record of Conformity - This ITP signed,,,,,,,
label,HP*,,,,,,,
label,Responsibility - Fulton Hogan Engineer,,,,,,,
checkpoint-status,1.2 - Implementation of all measures and controls,,,,,,,
label,Frequency - Prior to commencing any activity,,,,,,,
label,"Acceptance Criteria - All necessary measures and controls are being implemented, that is: PSP, EMP, TMP, SWMS & WP",,,,,,,
label,"Reference Documents - PSP, EMP, TMP, JSEA, SWMS, WP",,,,,,,
label,Inspection / Test Method - Visual Inspection,,,,,,,
label,Record of Conformity - This ITP signed,,,,,,,
label,HP*,,,,,,,
label,Responsibility - Fulton Hogan Engineer,,,,,,,
checkpoint-status,1.3 - Approval of mix design,,,,,,,
label,Frequency - Prior to the first concrete pour,,,,,,,
label,Acceptance Criteria - Structural Concrete Design & Submission ITP completed and signed.,,,,,,,
label,Reference Documents - 610.07,,,,,,,
label,Inspection / Test Method - Verify,,,,,,,
label,Record of Conformity - This ITP signed,,,,,,,
label,IP,,,,,,,
label,Responsibility - Fulton Hogan Engineer,,,,,,,
checkpoint-status,1.4 - Reinforcement schedule,,,,,,,
label,Frequency - Prior to concrete pour,,,,,,,
label,"Acceptance Criteria - Reinforcement schedule has been prepared for the reinforcement supply, to ensure that it achieves the specified tolerances on member dimensions, concrete cover and specified locations",,,,,,,
label,Reference Documents - 611.04,,,,,,,
label,Inspection / Test Method - Verify,,,,,,,
label,Record of Conformity - This ITP signed,,,,,,,
label,IP,,,,,,,
label,Responsibility - Fulton Hogan Engineer,,,,,,,
checkpoint-group,Construction/Erection of Formwork,,,,,,,
checkpoint-status,2.1 - Excavation (Pile),,,,,,,
label,Frequency - Prior to concrete pour,,,,,,,
label,"Acceptance Criteria - The Contractor shall notify the Superintendent for inspection of the pile excavation by the Superintendent. Prior to inspection, the pile excavation shall be de‑watered and the walls and base of the pile cleaned out, including the internal surface of the casing, to remove all mud, loose or foreign material.",,,,,,,
label,Reference Documents - 606.05,,,,,,,
label,Inspection / Test Method - Inspect,,,,,,,
label,Record of Conformity - This ITP signed,,,,,,,
label,HP,,,,,,,
label,Responsibility - Fulton Hogan Engineer / Superintendent,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
