"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
,"checklist","Suspended Beams","","Suspended Beams",0,"012e0533-8222-40f9-a46b-4ab11a8cbf42"
,"section","QA",,,,
,"checkpoint","Delivery/material check",,,,
"adabb85c-eefa-5589-8c18-0eebbe581127","button","Detail sheet & drawing reference","PASS, FAIL, N/A",,,
,"checkpoint","Prestart/area acceptance",,,,
"937d3f9f-b445-5f6a-9dad-69ddeb02b31f","button","Safe","PASS, FAIL, N/A",,,
"7775af78-9e53-5132-b348-e0aec4b1f3ed","button","Soffit ready","PASS, FAIL, N/A",,,
"e442314e-fb96-5e32-9d3e-a874cb93c816","button","Setout","PASS, FAIL, N/A",,,
,"checkpoint","Beam",,,,
"ece5d892-577f-50c2-a571-d774f3295c84","button","Top bar diameter/grade/spacing","PASS, FAIL, N/A",,,
"6efe20eb-5fc1-5612-a7a6-39c9235fa2fd","button","Bottom bar diameter/grade/spacing","PASS, FAIL, N/A",,,
"2f04a61e-a0df-534e-9954-580ddb2a2399","button","Side bar diameter/grade/spacing","PASS, FAIL, N/A",,,
"ab2bc26b-548a-5ad8-8be9-7a07b5c5cfc6","button","Correct laps top/bottom/sides","PASS, FAIL, N/A",,,
"e6441759-ae7a-5d27-8c56-90480bbe3f38","button","Development length into pile cap","PASS, FAIL, N/A",,,
"7659e41f-32cf-56c2-b082-309418c0bbbe","button","Stirrups/links diameter/spacing","PASS, FAIL, N/A",,,
"c5abc721-1d0b-5a03-9c10-0bdb7b224198","button","Trimmers/additional stirrup at penetration","PASS, FAIL, N/A",,,
,"checkpoint","Starters",,,,
"46c28c7d-6a9b-52dd-8a15-5bd3dc610395","button","Bar diameter/grade/spacing","PASS, FAIL, N/A",,,
"1c2b7688-0947-5ecd-a9ec-63107e879f8a","button","Sufficient protruding lap","PASS, FAIL, N/A",,,
"8f700b7a-e85a-5247-9899-c42ef5baf750","button","Starter set out and perpendicular","PASS, FAIL, N/A",,,
"916fb894-421e-554d-937a-221fcead3442","button","Couplers in lieu of starters","PASS, FAIL, N/A",,,
,"checkpoint","Concrete cover",,,,
"209bdfba-be19-5353-9305-1ef4c98a9f46","button","Cover blocks/chairs/spacers correct mm - CRITICAL","PASS, FAIL, N/A",,,
,"checkpoint","Miscellaneous",,,,
"7d149bb4-52e6-510b-abf8-411e0a342c7a","button","Structural steel","PASS, FAIL, N/A",,,
"62d4ec8a-e456-595e-8597-e9213c1504ca","button","Cast-ins","PASS, FAIL, N/A",,,
