type,name,values,prefix,postfix,usage count,user addable,template name,
checklist,ITP - Pavement Rehab - Rotorua Airport,itp,,,,Yes,ITP - Pavement Rehab - Rotorua Airport,
section,1. Procurement,,,,,,,
checkpoint,Geometric Design,,,,,,,
label,"Controlling Documents - Austroads Guide to Road Design Part 3: Geometric Design, TNZ State Highway Geometric Design Manual",,,,,,,
label,Acceptance Criteria - Principal Approval,,,,,,,
label,Method - Contractor and Principal peer review,,,,,,,
label,Frequency - per design revision,,,,,,,
label,Responsible Person - Contract / Rehab Manager,,,,,,,
label,Conduct - C or PE,,,,,,,
label,Produce Record - C,,,,,,,
label,Approval - E,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,Pavement Treatment Design,,,,,,,
label,"Controlling Documents - Austroads Guide to Pavement Technology,  New Zealand Guide to Pavement Evaluation and Treatment Design:2018 (Version 1.2)",,,,,,,
label,Acceptance Criteria - Principal Approval,,,,,,,
label,Method - Contractor and Principal peer review,,,,,,,
label,Frequency - per design,,,,,,,
label,Responsible Person - Contract / Rehab Manager,,,,,,,
label,Verifying Document - Approvals Register - Pavement Rehabilitation Design Report,,,,,,,
label,Conduct - C or PE,,,,,,,
label,Produce Record - C,,,,,,,
label,Approval - E,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,Material Geo Fabric: on the Sub grade (Digout Floor) - Geofabric for drainage improvement on Sub Grade,,,,,,,
label,Controlling Documents - TNZ F1 Specification,,,,,,,
label,Acceptance Criteria - Pincipal Approval Picture for Docket over Roll,,,,,,,
label,Frequency - once per material change,,,,,,,
label,Responsible Person - Sub Contractor,,,,,,,
label,Verifying Document - Picture for Docket over Roll,,,,,,,
label,Conduct - SC,,,,,,,
label,Witness - PE,,,,,,,
label,Produce Record - PE,,,,,,,
label,Approval - E,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,"Materials: GAP 65 Pre‐treatment Material (for Type 1, 2‐SB & 3‐SB Only ) - Aggregate Sampling",,,,,,,
label,"Controlling Documents - NZS 4407:2015, WSP Rotorua Sampling Guide",,,,,,,
label,Verifying Document - Sampling Worksheet,,,,,,,
label,Conduct - SP,,,,,,,
label,Witness - PE,,,,,,,
label,Produce Record - SP,,,,,,,
label,Approval - E,,,,,,,
checkpoint,"Materials: GAP 65 Pre‐treatment Material (for Type 1, 2‐SB & 3‐SB Only ) - Source Property Test",,,,,,,
label,Controlling Documents - CBR - BOPE NOC Contract Documents Maintenance Specification Section 2.5.3,,,,,,,
label,Acceptance Criteria - Soaked CBR ≥ 30%,,,,,,,
label,Method - Soaked CBR test (NZS:4407:2015:3.15),,,,,,,
label,Responsible Person - Project Engineer,,,,,,,
label,Verifying Document - Test Report,,,,,,,
label,Conduct - SP,,,,,,,
label,Witness - PE,,,,,,,
label,Produce Record - SP,,,,,,,
label,Approval - E,,,,,,,
label,Witness Point - Y,,,,,,,
checkpoint,"Materials: GAP 65 Pre‐treatment Material (for Type 1, 2‐SB & 3‐SB Only ) - Production Property Test",,,,,,,
label,Controlling Documents - Sand Equivalent - BOPE NOC Contract Documents Maintenance Specification Section 2.5.3,,,,,,,
label,"Acceptance Criteria - Sand Equivalent >35, OR <35 but well graded with no more than 10% by mass passing through a 0.425mm sieve",,,,,,,
label,"Method - Sand Equivalent Test (NZS:4407:2015, 3.6)",,,,,,,
label,Responsible Person - Project Engineer,,,,,,,
label,Verifying Document - Test Report,,,,,,,
label,Conduct - SP,,,,,,,
label,Witness - PE,,,,,,,
label,Produce Record - SP,,,,,,,
label,Approval - E,,,,,,,
label,Witness Point - Y,,,,,,,
checkpoint,Materials: M/4 AP40 Basecourse Material - Aggregate Sampling,,,,,,,
label,"Controlling Documents - NZS 4407:2015, WSP Rotorua Sampling Guide",,,,,,,
label,Verifying Document - Sampling Worksheet,,,,,,,
label,Conduct - SP,,,,,,,
label,Witness - PE,,,,,,,
label,Produce Record - SP,,,,,,,
label,Approval - E,,,,,,,
checkpoint,Materials: M/4 AP40 Basecourse Material - Source Property Test (1),,,,,,,
label,"Controlling Documents - Crushing Resistance (3.3.1) - TNZ M/4: 2006, NZS 4407: 1991 Test 3.10 (The Crushing Resistance Test)",,,,,,,
label,Acceptance Criteria - less than 10% fines passing 2.36mm sieve size under a load of 130kN,,,,,,,
label,"Method - Crushing Resistance Test (NZS 4407:1991, Test 3.10)",,,,,,,
label,"Frequency - One test for every 10,000m³ of source material",,,,,,,
label,Responsible Person - Quality Controller/ Project Engineer,,,,,,,
label,Verifying Document - Test Report,,,,,,,
label,Conduct - SP,,,,,,,
label,Witness - PE,,,,,,,
label,Produce Record - SP,,,,,,,
label,Approval - E,,,,,,,
label,Witness Point - Y,,,,,,,
checkpoint,Materials: M/4 AP40 Basecourse Material - Source Property Test (2),,,,,,,
label,"Controlling Documents - Weathering Quality Index (3.3.2) ‐ TNZ M/4: 2006, NZS 4407: 1991, Test 3.11 (Weathering Quality Index Test)",,,,,,,
label,"Acceptance Criteria - AA, AB, AC, BA, BB or CA",,,,,,,
label,"Method - Weathering Quality Index Test (NZS 4407: 1991, Test 3.11)",,,,,,,
label,"Frequency - One test for every 10,000m³ of source material",,,,,,,
label,Responsible Person - Quality Controller/ Project Engineer,,,,,,,
label,Verifying Document - Test Report,,,,,,,
label,Conduct - SP,,,,,,,
label,Witness - PE,,,,,,,
label,Produce Record - SP,,,,,,,
label,Approval - E,,,,,,,
label,Witness Point - Y,,,,,,,
checkpoint,Materials: M/4 AP40 Basecourse Material - Source Property Test (3),,,,,,,
label,"Controlling Documents - California Bearing Ratio (3.3.3) ‐ TNZ M/4: 2006, NZS 4402: 1986 Test 4.1.3, NZS 4407: 1991 Test 3.15 (California Bearing Ratio Test)",,,,,,,
label,Acceptance Criteria - Soaked CBR ≥ 80%,,,,,,,
label,"Method - California Bearing Ratio Test (NZS 4407: 1991, Test 3.15) after being compacted according to Vibrating Hammer Compaction Test at OWC (NZS 4402: 1986, Test 4.1.3)",,,,,,,
label,"Frequency - One test for every 10,000m³ of source material",,,,,,,
label,Responsible Person - Quality Controller/ Project Engineer,,,,,,,
label,Verifying Document - Test Report,,,,,,,
label,Conduct - SP,,,,,,,
label,Witness - PE,,,,,,,
label,Produce Record - SP,,,,,,,
label,Approval - E,,,,,,,
label,Witness Point - Y,,,,,,,
checkpoint,Materials: M/4 AP40 Basecourse Material - Production Property Test (1),,,,,,,
label,"Controlling Documents - Sand Equivalent (4.2.1.1) ‐ TNZ M/4: 2006, NZS 4407: 1991 Test 3.6 or Clay Index (4.2.1.2) ‐ TNZ M/4: 2006, NZS 4407: 1991, Test 3.5 or Plasticity Index (4.2.1.3) ‐ TNZ M/4: 2006, NZS 4407: 1991 Test 3.4",,,,,,,
label,Acceptance Criteria - Sand Equivalent ≥39; or Clay Index ≤3; or Plasticity Index ≤5,,,,,,,
label,"Method - Sand Equivalent Test (NZS:4407:2015, 3.6); or Clay Index Test (NZS:4407: 1991, 3.5); or Plasticity Index Test (NZS 4407:1991, 3.4)",,,,,,,
label,"Frequency - 2 Samples required as per Table 1, Production Property Test Sampling (4.1) ‐ TNZ M/4: 2006",,,,,,,
label,Responsible Person - Quality Controller/ Project Engineer,,,,,,,
label,Verifying Document - Test Report,,,,,,,
label,Conduct - SP,,,,,,,
label,Witness - PE,,,,,,,
label,Produce Record - SP,,,,,,,
label,Approval - E,,,,,,,
label,Witness Point - Y,,,,,,,
checkpoint,Materials: M/4 AP40 Basecourse Material - Production Property Test (2),,,,,,,
label,"Controlling Documents - Broken Face Content (4.2.2) ‐ TNZ M/4: 2006, NZS:4407: 1991 Test 3.14",,,,,,,
label,Acceptance Criteria - Broken Face Content ≥70% between 37.5mm and 4.75mm sieve and ≥2 broken faces,,,,,,,
label,"Method - Broken Face Test (NZS:4407: 1991, Test 3.4)",,,,,,,
label,"Frequency - 2 Samples required as per Table 1, Production Property Test Sampling (4.1) ‐ TNZ M/4: 2006",,,,,,,
label,Responsible Person - Quality Controller/ Project Engineer,,,,,,,
label,Verifying Document - Test Report,,,,,,,
label,Conduct - SP,,,,,,,
label,Witness - PE,,,,,,,
label,Produce Record - SP,,,,,,,
label,Approval - E,,,,,,,
label,Witness Point - Y,,,,,,,
checkpoint,Materials: M/4 AP40 Basecourse Material - Production Property Test (3),,,,,,,
label,"Controlling Documents - Particle Size Distribution (4.2.3) ‐ TNZ M/4: 2006, NZS 4407: 1991 Test 3.8.1 (Wet Sieving Test)",,,,,,,
label,"Acceptance Criteria - Particle size distribution as per Table 2 and Table 3, 4.2.3 Particle Size Distribution",,,,,,,
label,"Method - Wet Sieving Test (NZS 4407: 1991, Test 3.8.1)",,,,,,,
label,"Frequency - 2 Samples required as per Table 1, Production Property Test Sampling (4.1) ‐ TNZ M/4: 2006",,,,,,,
label,Responsible Person - Quality Controller/ Project Engineer,,,,,,,
label,Verifying Document - Test Report,,,,,,,
label,Conduct - SP,,,,,,,
label,Witness - PE,,,,,,,
label,Produce Record - SP,,,,,,,
label,Approval - E,,,,,,,
label,Witness Point - Y,,,,,,,
checkpoint,Materials: Cement - Stabilising Agent Selection,,,,,,,
label,Controlling Documents - Cement (4.1.2) - TNZ B/5: 2008,,,,,,,
label,Acceptance Criteria - GP,,,,,,,
label,Method - Visual inspection of supplier docket,,,,,,,
label,Frequency - per truck load,,,,,,,
label,Responsible Person - Quality Controller/ Project Engineer,,,,,,,
label,Verifying Document - Supplier Docket Supplier Cert,,,,,,,
label,Conduct - Sp,,,,,,,
label,Witness - E,,,,,,,
label,Produce Record - Sp / PE,,,,,,,
label,Approval - E,,,,,,,
label,Witness Point - Y,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,Materials: Water - Water draw for stabilising,,,,,,,
label,Controlling Documents - Water (5.0.0) - TNZ B/5: 2008,,,,,,,
label,Acceptance Criteria - Free from impurities justified by use of municipal water supply,,,,,,,
label,Method - Visual inspection of hydrant use form,,,,,,,
label,Frequency - per truck load,,,,,,,
label,Responsible Person - Sub Contractor,,,,,,,
label,Verifying Document - Hydrant use form,,,,,,,
label,Conduct - SC,,,,,,,
label,Witness - PE,,,,,,,
