Id,Type,Name,Values,Prompting Name,Postfix,Resource Id
5214819d-f3e5-42f9-9366-0a431b043e3f,checklist,FH-ZU2-QU-ITP018 - Asphalt Placement - Rev 1,itp,ITP018 - Asphalt Placement,,
9f2884d8-204c-4a8d-8a71-c6e6449c515b,section,1.0 - Preliminary Activities,,,,
f9f9bade-be5c-4e37-9b6f-87558c7464d8,checkpoint,1.1 - Check for correct documentation,,,,
a5f9aed7-8e63-5dda-9f83-59b1caf55907,note,Frequency - Prior to commencing works,,,,
62caa993-c7b0-5913-ac1d-d31314032ddf,note,"Acceptance Criteria - Current revision of drawings, technical specifications and any other construction documentation is being utilised by Fulton Hogan and subcontractors.",,,,
57a4295e-8bd6-5c03-92d4-379b93c11fa3,note,○ Current revisions of these documents to be obtained via Aconex or ACC.,,,,
fb9ae8ff-8531-572c-9794-d1245faeae5e,note,Reference Documents - Current Revisions in Aconex or ACC,,,,
d3ea8f0f-7f2e-5f67-ae22-0da0e0523b54,note,Inspection/Test Method - Verify,,,,
3aa525f1-e8c3-5b2b-beb4-fe2bd8f50e49,note,Record of conformity - This ITP signed,,,,
11bb45cb-f28b-524c-b7f4-105132e67009,note,HP*,,,,
78324ebd-00a9-5887-bd39-689ae15436c2,note,Responsibility - Project / Site Engineer,,,,
c71ae7c0-25e9-5c3c-80c3-9f3aa604f96e,date,Date Completed:,,,,
1b0d1945-ba45-49a1-bc53-a2c6293444f9,checkpoint,1.2 - Implementation of all measures and controls,,,,
b68c1335-9ce2-5ac6-94fc-a2752ff12ea9,note,Frequency - Prior to commencing works,,,,
1b6eb168-ef14-543d-8908-f5a6d134139e,note,"Acceptance Criteria - All necessary measures and controls are being implemented, that is: PSP, EMP, TMP, SWMS & WMS",,,,
df3f696c-f4c5-5025-ab6c-982cf912fcef,note,"Reference Documents - PSP, EMP, TMP, SWMS, WMS",,,,
da5647da-699b-5876-b8fe-f39669d4cab8,note,Inspection/Test Method - Visual Inspection,,,,
0548f38b-76c7-5d93-8856-121e4f8636cd,note,Record of conformity - This ITP signed,,,,
0c394852-2286-5f12-ad60-a4d52ee11dd6,note,HP*,,,,
b1024191-3b75-5777-9b53-075e00e18054,note,"Responsibility - Project / Site Engineer, Site Supervisor",,,,
516afb68-8bdf-5654-8b8d-23388ae689e3,date,Date Completed:,,,,
108cd8a0-6efd-4313-89c5-c1008ebeb015,checkpoint,1.3 - Plant & Equipment Check,,,,
b042bd38-3294-597e-92f2-cc1403ca2c8e,note,Frequency - Prior to commencing works,,,,
051f61f5-5ff2-5606-ba22-ca18522f21ef,note,Acceptance Criteria - Asphalt plant & equipment meeting the requirements of Project Specification.,,,,
48f08a81-f61a-50d0-bab9-26102264dde4,note,○ Pre-Start checks completed by operators of plant and equipment. All plant and equipment are acceptable for use. Any faults are reported. Standby equipment in place where required.,,,,
74d44a80-c7a4-55b3-a0b5-3c32b28ba157,note,Reference Documents - AfPA Sec 7.1 Cl 91-100,,,,
2a1ccd91-733c-5faf-a811-4f132cb811b1,note,Inspection/Test Method - Verify,,,,
022476df-5970-565f-b0a6-0aead13c9076,note,Record of conformity - This ITP signed,,,,
b6103524-bb1a-51cc-9f50-7222fc0f4327,note,HP*,,,,
