Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Postless Baluster Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Internal TopLine - Stage 1,dynamic,Stage 1,Internal TopLine
,,Internal TopLine - Stage 2,dynamic,Stage 2,Internal TopLine
,,External Finline - Stage 1,dynamic,Stage 1,External Finline
,,External Finline - Stage 2,dynamic,Stage 2,External Finline
,Columns,,,,
,,Work area acceptable & approval to start work,,Work area acceptable & approval to start work,
,,Fixing Details checked,,Fixing Details checked,
,,Fixing Substrate Type,Fixing Substrate Type,Fixing Details checked,
,,Setout as per CAD drawings,,Setout as per CAD drawings,
,,Position materials & mark drill points,,Position materials and mark drill points,
,,Drill depth,Drill depth,Position materials and mark drill points,
,,Threaded Rod/Coach Screw/Bolt Size,Threaded Rod/Coach Screw/Bolt Size,Position materials and mark drill points,
,,Length of Rod/Coach Screw/Bolt Size,Length of  Rod/Coach Screw/Bolt Size,Position materials and mark drill points,
,,Epoxy Type,Epoxy Type,Position materials and mark drill points,
,,Neoprene Gasket Installed as per PS1,,Neoprene Gasket Installed as per PS1,
,,Install Spacers and Backing Channel,,Install Spacers and Backing Channel,
,,Confirm Plumb/level/Square final positions,,Confirm Plumb/level/Square final positions,
,,Install Panels,,Install Panels,
,,Install Inner & Top Rail & Endcaps,,Install Inner and Top Rail and Endcaps,
,,"All work completed, reviewed & approved",,"All work completed, reviewed and approved",
