"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
"a0d0934e-aed2-4366-b17a-ada6035b30b8/1","checklist","Prestart Inspections","","Prestart Inspections",1,"7f118316-001f-4c2f-b8a6-23240c5ef55b"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
"b181db56-3915-4088-ae53-4764de1c0dd6","checkpoint","site has been cleaned in advance of our arrival on site",,,,
"fdd19eba-8a8a-4a03-bfd8-a1705a11b1cb","checkpoint","Walls are plumb and level",,,,
"c34f85ea-4f5f-5dfb-b9a9-ede236e7627c","note","IMPORTANT",,,,
"ad1bd15f-9c41-4e7c-bf0c-3e5de2f9f312","checkpoint","Tiling works running to programme - prior trades completed",,,,
"9139248f-3bdd-460d-9ffb-e43046ddba97","checkpoint","Gib compound and sanding cleaned up from rooms (prior to any works)",,,,
"f9cd0f22-6d17-417c-b32e-9a82308ff55a","checkpoint","Task Analysis signed onto by tilers and provided to main contractor (PHOTO REQUIRED)",,,,
"bf8fcfaa-3d9c-4352-bb1a-80b5ea16f9e3","checkpoint","Data sheets, of products, are supplied on site with TA's",,,,
"dc71d580-cc50-442e-b124-674f78cb611b","checkpoint","Inductions completed & Site Inspection checklist has been completed",,,,
"2e94c34f-aedb-4612-940d-dbf16cb5abaa","checkpoint","All tools tagged and tested - (photo's required)",,,,
"59db017b-b929-4eaa-a214-7a42ba25fac9","checkpoint","Tiler has current site safe - Input number and expiry",,,,
"6907ed78-7df2-4526-8291-8c1e7b7d2b83","checkpoint","Tiler has correct PPE relevant to project.",,,,
"0b86c75c-d2ac-451c-8d6f-6efe5afac1a8","checkpoint","Correct drawings being utilised by TAL Tiling. (Check on site for latest revision)",,,,

"3ff6afec-e3ce-4e4f-998c-f59ece01e45b/1","checklist","QA - Balcony Tiling","","QA - Balcony Tiling",1,"1ece25f1-d939-477a-befa-3a65a3d3904b"
"a83b42fa-e576-437f-98a8-422b68eee6f2","section","Balcony Tiling",,,,
"909ac114-edcf-4a67-8efd-58db70c5e9f7","checkpoint","Substrate straight, signed off by MC, and ready for installation (insert notes for remediation if required)",,,,
"f828d8aa-6bb4-4904-9b07-479707560f72","checkpoint","Set out tiles and install as per drawings",,,,
"43aa664f-e0b2-42f0-83ab-bc1407dbb6d2","checkpoint","Install 20mm tiles on pedestals to balcony as viewed including cutting to curve",,,,
"6832c730-a018-4ead-8e8a-71b19af2c18d","checkpoint","Tiling is completed, checked and supervisor to sign on",,,,
"d2af06d9-c51b-424e-afb1-fe530fffffd4","checkpoint","Area left clean & tidy",,,,
"55181733-52e8-4c37-b215-458f1b373bce","checkpoint","Builders clean completed",,,,

"b213b50c-af4a-4df8-a5f5-dc683c74a6be/1","checklist","QA - Other Information","","QA - Other Information",1,"c4dcc536-fb24-40c8-a6e1-b917656ff41b"
"dce5eb2a-1576-4d22-ab85-f1fd7988a7f7","section","Other Information",,,,
"ab3d04e9-b6a1-4834-aefd-125305905cfc","checkpoint","Variations or extra works added into folder - all works and materials noted. Use ISSUES tab.",,,,
"72b9275b-6a82-440c-91a1-602f887768ff","checkpoint","change of details and or instructions",,,,
"6d6b9ebd-178b-4738-a8f1-48445866c404","checkpoint","Site specific details to be added",,,,
"22aa5028-d670-4353-9520-74e86bf2eb52","checkpoint","Material Details - Notes to be added of materials used on site",,,,
"6e6923d9-b618-436c-8910-cfd581a8d98a","checkpoint","SSSP/TA forms attached",,,,

"3987c354-79bb-4911-8373-16d9fb3dd030/1","checklist","QA - Waterproofing","","QA - Waterproofing",1,"f1975348-22ce-4eff-8b98-63463bd6c83a"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
"4b0d6315-11a5-494b-b09c-f5584f561f51","checkpoint","Substrate to receive waterproofing has slimline installed to any corners and has been gib stopped",,,,
"58af0035-6820-42c2-a10d-699eed8f0fe7","checkpoint","Correct waterproofing is supplied as per project specification.",,,,
"076aa9c9-2507-4dcc-9bd2-aaa5b438f6b2","checkpoint","WPM1000 sheet membrane to balcony including detailing (take Photos)",,,,
"3835d641-6114-4fed-b58a-3d3eb02446ee","checkpoint","Waterproofing coat # 2 applied 90 degrees to 1st coat (take photos)",,,,

