"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
"ee296416-c096-4994-9f69-8d9ce2b0e80b/2","checklist","Checkers Checklist - Abutment Base - AA","","Checkers Checklist - Abutment Base - AA",2,"08835a4b-f2d4-4660-a46d-56ce2e389461"
"532fbde3-27d7-49e0-87c2-e5acf3623501","section","Checkers Checklist",,,,
"adc3a5b7-8c4e-4fe6-878d-70c5c585088c","checkpoint","Site Safety / Workers Safety",,,,
"e2b01c3d-03a6-440f-bf01-54167d4d2dc6","checkpoint","Availability of updated shop drawing",,,,
"f5cf9016-608f-4b92-9bb7-3cce81d29490","checkpoint","Double Check the Ferrule placement -Type AA (550F400F1050F400F1050F400F550)",,,,
"228cb289-be11-5370-bbd9-43d41dcfc7c8","dropdown","Ferrule:","550F400F1050,500F500F950",,,
"d9e30401-7010-4eef-9ab4-874f000bb9f6","checkpoint","Overall Measurements of construction Element",,,,
"4527f889-d1e9-445a-a128-b09f2abb0cac","checkpoint","Embedded Item - Ferrules - Position,Size,Orientation -M24 (96mm) - 06Nos",,,,
"cb20829d-8d4e-4353-9f84-292ab28c8a4f","checkpoint","Embedded Item - Ferrules for Dowels - Position, Size -M24 (96mm) - 07Nos",,,,
"9527ad8d-d9eb-432b-8819-ff653454d0a9","checkpoint","Embedded Item - Lifters Correct - Position,Size,Orientation-4 Nos 2.5T(170mm)",,,,
"ce8c4fac-ae8b-4fcf-a586-c12691094873","checkpoint","Embedded Item - Edge Lifters Correct - Position,Size,Orientation-as per the site requirement",,,,
"995d8656-28d1-4797-8645-a68ea90e1659","checkpoint","Embedded Item - Grout Tube to form VOIDS - Position, Size -50mmDia ,300mm - 06 Nos as per the Dwg: S06",,,,
"a1adc215-02b1-4d8e-bf42-6d9572cb7338","checkpoint","Double check ferrules are firmly positioned & Fixed with M12 bars on shutter",,,,
"93a6e719-a7d5-4cf2-b20e-c8c2299c9e1f","checkpoint","Concrete cover check minimum 30mm",,,,
"7b52ec9c-7636-41f4-b4bf-6cce3961de14","checkpoint","Panel length check, alignment check -4400x800mm",,,,
"a18604a0-2707-44fa-957b-e0fabb9fd8a4","checkpoint","Diagonal length check, alignment check (4472 mm or close to this)",,,,
"2c2f65ad-687f-4ef6-b027-1ba45c383e4f","checkpoint","Formwork Check - Magnets are 100% Secure, All supports,Ties,Bracing",,,,
"566add2c-e4f9-48dc-9026-f0bfae874bc4","checkpoint","Formwork Check - Flatness, Levelness, Panel is clean",,,,
"88df2496-408c-409e-998e-4e9ea5fa6b49","checkpoint","Reinforcement (Reo) placed, cleaned, tightened",,,,
"2cfeec54-9de3-454d-8f66-c1ea1833ddd7","checkpoint","Curing Procedure arranged",,,,
"3f55e5de-0c61-45d5-8737-314f661a61ff","checkpoint","Photo Taken",,,,

"36d228fd-ac9b-48c8-bf06-c81a9f77526d/2","checklist","Checkers Checklist - Abutment Base - BB","","Checkers Checklist - Abutment Base - BB",2,"d2a77e70-63d5-450d-9cf6-b12c6f5929a3"
"d17c7e25-7abf-4cef-9975-252624a84343","section","Checkers Checklist",,,,
"3434f32e-fc09-46ff-99c7-a237f2833498","checkpoint","Site Safety / Workers Safety",,,,
"bfa12b83-34e5-4fbe-b223-90c26e2f8505","checkpoint","Availability of updated shop drawing",,,,
"264292cb-1de5-4e4b-9df0-9a455aaecdd6","checkpoint","Double Check the Ferrule placement -Type BB (500F500F950F500F950F500F500)",,,,
"e1117fd9-7020-5c1d-a7da-99858e95d18c","dropdown","Ferrule:","550F400F1050,500F500F950",,,
"f3adecdb-5483-4112-9ddd-5fda577bb493","checkpoint","Overall Measurements of construction Element",,,,
"02ff0377-ee8d-4941-b45f-f8dd0c369e4d","checkpoint","Embedded Item - Ferrules - Position,Size,Orientation -M24 (96mm) - 06Nos",,,,
"e7c9e9ce-9dd0-4731-a35c-cc5ecabb9d02","checkpoint","Embedded Item - Ferrules for Dowels - Position, Size -M24 (96mm) - 07Nos",,,,
"a5a47ec2-4a31-4ef6-b9ff-d9417ebbccdd","checkpoint","Embedded Item - Lifters Correct - Position,Size,Orientation-4 Nos 2.5T(170mm)",,,,
"d4c9d14f-861d-472e-927f-184107525a4e","checkpoint","Embedded Item - Edge Lifters Correct - Position,Size,Orientation-as per the site requirement",,,,
"18a678ee-420d-42d5-9be9-124c731c58b4","checkpoint","Embedded Item - Grout Tube to form VOIDS - Position, Size -50mmDia ,300mm - 06 Nos as per the Dwg: S06",,,,
"cf250a0b-667c-4704-b0fa-c073ac9d864a","checkpoint","Double check ferrules are firmly positioned & Fixed with M12 bars on shutter",,,,
"565078f6-c54b-4932-a80a-aeb3b17d06c4","checkpoint","Concrete cover check minimum 30mm",,,,
"e21064d8-71d0-488e-a552-6884f265fc5c","checkpoint","Panel length check, alignment check -4400x800mm",,,,
"285c8b13-403a-44f3-9284-6d9da8f811c8","checkpoint","Diagonal length check, alignment check (4472 mm or close to this)",,,,
"20441890-bfcf-4b0a-83b3-f8b317c20937","checkpoint","Formwork Check - Magnets are 100% Secure, All supports,Ties,Bracing",,,,
"24dbd1a0-3ef0-44ce-81e3-82ca3885640a","checkpoint","Formwork Check - Flatness, Levelness, Panel is clean",,,,
"b28957b7-3590-41fb-9940-aa90060cc24e","checkpoint","Reinforcement (Reo) placed, cleaned, tightened",,,,
"f61f71ed-6b76-4a79-bc83-abc1154e2fb3","checkpoint","Curing Procedure arranged",,,,
"d9beadbf-6449-4fb1-9931-eac88c8a8d01","checkpoint","Photo Taken",,,,

"29bab919-d990-49e0-806b-5be3fbced106/1","checklist","Checkers Checklist - Type A - Bridge Plank","","Checkers Checklist - Type A - Bridge Plank",10,"f716835e-d0b0-449e-b3eb-0028051c2b76"
"8d412938-66ce-4c3c-af4f-91be7640bd1a","section","Checkers Checklist",,,,
"1b3923a9-d721-4907-bc82-15a420761913","checkpoint","Site Safety / Workers Safety",,,,
"04b49532-7e15-4102-860f-69d2040f36ee","checkpoint","Availability of updated shop drawing",,,,
"c4e8897f-23b0-4f6d-9e9e-b28fe2ab250e","checkpoint","Double Check the Ferrule placement - Type A (300F1450F400F1450F300)",,,,
"3c6a0ca3-2140-5ce4-b498-bd7aa940a400","dropdown","Ferrule:","300F1450F,250F1450F",,,
"ab4d37ca-e78b-474f-8db7-d783ba3a0329","checkpoint","Overall Measurements of construction Element",,,,
"7ca40e73-0d96-40e0-b1ad-be8d1fbd78b9","checkpoint","Embedded Item - Ferrules - Position,Size,Orientation -M20 (96mm) - 10Nos",,,,
"1a6868cd-8e18-4fcd-ba89-e91bedac4153","checkpoint","Embedded Item - Lifters Correct - Position,Size,Orientation-4 Nos 2.5T or equal",,,,
"06e3721e-10e4-42ed-91f2-a91355060edf","checkpoint","Double check ferrules are firmly positioned & Fixed with M12 on shutter",,,,
"9cddbbd8-5a66-4d0b-84a5-c1c15af4a945","checkpoint","Concrete cover check minimum 30mm",,,,
"b8ee21a1-2a50-406c-a703-26479899b4eb","checkpoint","Panel Thickness check,allignment check -150mm",,,,
"dd331bd1-6638-47e7-b7a6-23ccf484c003","checkpoint","Panel length check, alignment check -3900mm",,,,
"6f3d5ea5-c644-4779-8953-e71bb56d7da0","checkpoint","Diagonal length check, alignment check (4025 mm or close to this)",,,,
"daf230e3-3562-4433-b747-937a0b51d7d1","checkpoint","Formwork Check - Magnets are 100% Secure, All supports,Ties,Bracing",,,,
"e37e7e8d-85ee-4324-a795-c5f41344c777","checkpoint","Formwork Check - Flatness, Levelness, Panel is clean",,,,
"f5bbd5b9-1c39-43fd-ab24-1da2a2faec78","checkpoint","Reinforcement (Reo) placed, cleaned, tightened",,,,
"f00c8dbc-51a6-4809-a156-f4c0d5762557","checkpoint","Curing Procedure arranged",,,,
"0fa0f5df-a309-4351-8d41-7b08cba6d8a8","checkpoint","Photo Taken",,,,

"db2cc176-c234-4803-8bc0-d944d06a498a/1","checklist","Checkers Checklist - Type B - Bridge Plank","","Checkers Checklist - Type B - Bridge Plank",13,"0f518bbd-2ca1-4f96-8e4e-e2b4fdaf55b1"
"ffacaa50-2d5a-4e36-a358-ebd1d7f89f3e","section","Checkers Checklist",,,,
"9dbbd83a-8469-4427-b770-a9dc0da30bbe","checkpoint","Site Safety / Workers Safety",,,,
"4c9d52fc-81d9-4b95-b048-d3b4df19880e","checkpoint","Availability of updated shop drawing",,,,
