"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
"36f583ba-b085-4325-a553-6e9fdddd830b/1","checklist","ITP - RL Bath","itp","RL Bath",324,"15a6b3d9-32b4-4230-8a2d-8d3c48223482"
"f33190aa-7680-469d-acef-5324184932e0","section","Details",,,,
"5bb35eee-1671-47ed-8d97-1e2ff4abecc9","checkpoint","Joinery Installed Level",,,,
"50fc8cf5-a081-4f0f-8f77-fe6080943b65","checkpoint","Doors adjusted",,,,
"538dfccb-aff8-4a86-8799-6ef5751d69f0","checkpoint","Benchtop installed",,,,
"e33f5b8c-df87-4902-8ac9-aa12912af55b","checkpoint","Corian site measured",,,,
"6e005961-f40f-403d-8f12-0fd462312f42","checkpoint","Shelving installed",,,,
"91d866d4-d5dc-4157-8249-175d1df0bc71","checkpoint","Gap filled",,,,
"3393fe22-b95d-4764-9d58-f3598c1b121a","checkpoint","Screws capped",,,,
"8272a02a-5dc8-4889-98f2-8d06a5ea7e1d","checkpoint","Bulkhead/Filler installed (if required)",,,,
"566038b7-11a8-4e58-84a5-c1cf6417e7d8","checkpoint","Glass splashback measured after installation",,,,
"e3b6f439-a257-4e03-bc30-7d7dd784f51f","checkpoint","Power point locations on glass splashback have been confirmed prior to ordering",,,,
"4fe7ce4b-535f-443b-b61c-a8bd8d4ef19f","checkpoint","Any damage to finished joinery",,,,
"4b44b94b-eb53-43b7-b4e2-d26e03f3c3ad","checkpoint","Setout location accurate",,,,
"8e44e5b5-76e7-4fc7-b740-61cf56631b43","checkpoint","Aluminium trim installed",,,,
"5dfe6d4b-871a-49c7-98f2-6f84edfaae88","checkpoint","Pinboards installed",,,,
"970b9a74-cbc1-4b39-81ad-ab155e556769","checkpoint","Site conditions preventing completion of unit",,,,
"b64d103c-b2ca-4f67-969a-458dccd78e2a","checkpoint","Are we holding up any trades? Please explain what can we do to rectify this in the further information section.",,,,

"19ff0b8c-e636-4a23-a346-63830c392c26/1","checklist","ITP - RL Kitchen","itp","RL Kitchen",172,"f4fed40c-301c-4bb2-9bac-f0392bf4d0ea"
"4259f14b-4462-4a81-85fe-db3823f6d3c7","section","Details",,,,
"2939c5e7-5fdc-4d6d-918b-a49c40f2e534","checkpoint","Joinery Installed Level",,,,
"898749d8-5d7e-4062-acf1-a4ea421cf2d6","checkpoint","Doors adjusted",,,,
"2f4f5c23-1eb4-4ba3-bf64-ccf756cf0b32","checkpoint","Benchtop installed",,,,
"663249c6-6536-43e4-998d-c0300e50eebc","checkpoint","Corian site measured",,,,
"1e513a51-f35d-48c9-b14d-c235a3e239df","checkpoint","Shelving installed",,,,
"4cede679-22f6-4358-a7e7-d0959eefa53d","checkpoint","Gap filled",,,,
"fc972084-840d-459f-a095-d730a86ca3e5","checkpoint","Screws capped",,,,
"aee8f96c-fd39-4e36-95ab-95aca92fc668","checkpoint","Bulkhead/Filler installed (if required)",,,,
"e4b6f5ed-378b-47a6-81a0-4ef990517fc2","checkpoint","Glass splashback measured after installation",,,,
"dba6f098-4173-49d4-8629-cad255f9b2a7","checkpoint","Power point locations on glass splashback have been confirmed prior to ordering",,,,
"7d41f228-ee8f-4c73-acd6-de8bad89b066","checkpoint","Any damage to finished joinery",,,,
"74e88fe6-428a-47d7-84ad-846980aeae1c","checkpoint","Setout location accurate",,,,
"4d64a63d-e955-4b56-9a7e-18a835131fcf","checkpoint","Aluminium trim installed",,,,
"73f5fadd-db80-4191-bed4-a8725d45adbe","checkpoint","Pinboards installed",,,,
"4d27a4d6-a5a1-4f51-82df-994f6d84e2c7","checkpoint","Site conditions preventing completion of unit",,,,
"d6b7fd5d-6f94-4ccf-957f-93015b6f053f","checkpoint","Are we holding up any trades? Please explain what can we do to rectify this in the further information section.",,,,

"f739d2c8-8dd4-4082-aa52-bdf3970db4a1/1","checklist","ITP - RL Laundry","itp","RL Laundry",168,"2b6fb9e0-2cf8-49b3-9181-8a8fbf026471"
"41f48cda-66e1-4bd5-b568-27e95ac3c81b","section","Details",,,,
"baeedc4b-b230-4c36-8a01-bb644c174527","checkpoint","Joinery Installed Level",,,,
"e3d2807c-1c49-40f0-a431-8bef61a212e1","checkpoint","Doors adjusted",,,,
"93d12010-fcd3-4a36-8cf2-2540db8d23bb","checkpoint","Benchtop installed",,,,
"7667a4f1-b95e-41e2-9ad1-cfafb20f0b93","checkpoint","Corian site measured",,,,
"7b6e318b-66a5-4ee2-8f62-dd01c9b853dc","checkpoint","Shelving installed",,,,
"a58c0040-c5cf-48e1-a803-976c8d8263a8","checkpoint","Gap filled",,,,
"c84e33a8-917a-47ba-97b2-5d3c28df1dcf","checkpoint","Screws capped",,,,
"f8e5c6a9-72dc-4e68-9bec-5545bebc1a7c","checkpoint","Bulkhead/Filler installed (if required)",,,,
"bc11e1c7-19de-487b-85e1-0538dd2db32d","checkpoint","Glass splashback measured after installation",,,,
"3db0f77d-5f23-4264-9e30-94bb6dfb1428","checkpoint","Power point locations on glass splashback have been confirmed prior to ordering",,,,
"10f793c4-ef32-4024-b2fa-dbe0ddb7324a","checkpoint","Any damage to finished joinery",,,,
"84242677-20ab-459d-aa58-f0ec54dbaff3","checkpoint","Setout location accurate",,,,
"6ed16447-695a-4c2b-8755-24b661cd46d0","checkpoint","Aluminium trim installed",,,,
"f904b9a3-2300-4d8e-b932-c593b93b90e5","checkpoint","Pinboards installed",,,,
"99880a58-c35d-4e57-9f60-bc997cb998c3","checkpoint","Site conditions preventing completion of unit",,,,
"8ea98560-76a2-4ff0-b1e1-a7554f24de53","checkpoint","Are we holding up any trades? Please explain what can we do to rectify this in the further information section.",,,,

"e7007dcb-c210-4dbd-8357-ccd9585a699c/1","checklist","ITP - RL Robe & Storage","itp","RL Robe & Storage",706,"27a88a6c-8864-45d3-8687-f995ca611bb8"
"854f03f6-8607-4d2a-afd0-638520db0d31","section","Details",,,,
"e4735461-082d-4bf9-9968-2ed988e14c1f","checkpoint","Joinery Installed Level",,,,
"1b73e47f-73ce-43ae-b318-6373fdeab0fa","checkpoint","Doors adjusted",,,,
"ad037801-c132-4490-a8e8-d6a00b66072c","checkpoint","Benchtop installed",,,,
"fc9a7897-4f02-4609-a8cc-f65857f219c4","checkpoint","Corian site measured",,,,
"52b54d66-eb2f-4b3c-acb6-bbb0b152b335","checkpoint","Shelving installed",,,,
"f4347166-4180-4115-a56c-866e34dbf8b6","checkpoint","Gap filled",,,,
"664d5ddc-7dd3-4ef5-a5b5-c5b4b2e876c5","checkpoint","Screws capped",,,,
"fb99b3d6-99e4-44fc-b385-27f7b05fe523","checkpoint","Bulkhead/Filler installed (if required)",,,,
