type,name,values,prefix,postfix,usage count,user addable,template name,
checklist,ITP-170-CIV-BRUNT-Concrete Pavement Construction Rev 0,itp,,,,,ITP-170-CIV-BRUNT-Concrete Pavement Construction Rev 0,
section,1. Referenced Documentation,,,,,,,
checkpoint-no-status,1. Referenced Documentation,,,,,,,
label,Document Title: ITP-170-CIV-BRUNT-Concrete Pavement Construction,,,,,,,
label,ITP Description: Concrete Pavement Construction,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,
label,Revision Number: 0,,,,,,,
label,Revision Date: 28/05/2024,,,,,,,
label,ITP created by: Jon De Castro,,,,,,,
label,ITP approved for use by: Jon De Castro,,,,,,,
checkpoint,1.1 - Non Dependent,,,,,,,
label,Reference - VicRoads Section 304 August 2013,,,,,,,
checkpoint,1.2 - Non Dependent,,,,,,,
label,Reference - VicRoads Section 703 April 2019,,,,,,,
checkpoint,1.3 - Non Dependent,,,,,,,
label,Reference - Council EDCM 401,,,,,,,
checkpoint,1.4 - Non Dependent,,,,,,,
label,Reference - Council EDCM 501,,,,,,,
checkpoint,1.5 - Non Dependent,,,,,,,
label,Reference - Council EDCM 502,,,,,,,
checkpoint,1.6 - Non Dependent,,,,,,,
label,Reference - Council EDCM 503,,,,,,,
checkpoint,1.7 - Non Dependent,,,,,,,
label,Reference - AS 1379-2007,,,,,,,
checkpoint,1.8 - Non Dependent,,,,,,,
label,Reference - VicRoads Section 812 July 2016,,,,,,,
section,2. Preliminaries - Materials,,,,,,,
checkpoint,2.1 - Bedding Material Placement & Compaction,,,,,,,
label,"Reference - IFC Drawings: 812.04, 703.21",,,,,,,
label,Acceptance Criteria - Footpaths: SIZE 20mm CLASS 3 CRUSHED ROCK,,,,,,,
label,○ SUP: SIZE 20mm CLASS 3 CRUSHED ROCK,,,,,,,
label,○ Driveways PT-08 and PT-08A: SIZE 20mm CLASS 3 CRUSHED ROCK,,,,,,,
label,○ Material is registered with VicRoads in accordance with Code of Practice RC500.02.,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,
label,Method - Document Review,,,,,,,
label,Frequency - Each Lot,,,,,,,
label,Category - HP,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,
label,Verifying Documents - ConQA Hold Point Release,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,2.2 - Concrete Mix,,,,,,,
label,"Reference - IFC Drawings: 703.05 (a), 703.07",,,,,,,
