Id,Type,Name,Values,Prompting Name,Postfix,Resource Id
d2f9b665-4ae6-4be1-8df6-d4c1ed452388,checklist,Guest Room - Water Rehau,,Guest Room - Water Rehau,,
45e8814a-82cf-423b-a9fd-c3a56e777229,section,Details,,,,
bb44e45b-f53e-4d66-b0b2-c50b57fd37ab,checkpoint,Details,,,,
0fa5673a-5404-5289-91b1-346abf74b960,textbox,Guest room Number:,,,,
b9a54ac7-5c89-4db7-bfa0-a44f269636ef,checkpoint,Water Pipeout,,,,
7f1321fc-e348-4eaf-9461-d9dde459d5cc,checkpoint,Correct Pipe sizing,,,,
f41b3afd-a394-48ee-a30f-d8b7cbc19116,checkpoint,All pipe work crimps checked,,,,
33adbe60-e444-4e6c-83c8-0fbcf9511d06,checkpoint,No Cross connections,,,,
48b85a74-99fc-45ee-a904-8d7fd0a817a6,checkpoint,Shower Mixer at Height & Centre,,,,
4e8d8d45-e183-4c66-8c73-649671cd455f,checkpoint,All fixings installed - Nogs,,,,
d9410a41-eb8d-44b8-b643-a3349ae606b4,checkpoint,Toilet Inwall Cistern Fixed & Secure,,,,
d8464881-7b89-44de-ab15-45c4587f4f35,checkpoint,Toilet waste & Flush pipe centre & at Height,,,,
57299d7e-7c04-473c-8a4f-1212729b3520,checkpoint,Guest Room Isolation Valves Installed,,,,
8bc92e22-99b0-4520-86c7-f831d0b968f7,checkpoint,Pipework Clips & fixings installed,,,,
3139b767-c00a-4941-8fd5-b1df221f3502,checkpoint,Double check set outs and measurements,,,,
464db29d-d2f9-4e35-bc0a-5cb73775c599,checkpoint,All test plugs installed or capped off,,,,
8f2a445f-c10a-4224-8d59-9bf5093f89c4,checkpoint,Shower mixer removed for testing,,,,
98466b14-0890-4bef-abec-f2248daa2023,checkpoint,Pressure Test 1500 KPA in accordance with AS/NZS 3500 and rehau testing 30 mins procedure ,,,,
520181bc-152a-46ca-9197-65aa1a383a2a,checkpoint,Re instate shower mixer into position post test,,,,
cc7a0637-ad28-45ec-9af3-08b06232442a,checkpoint,Pipework siliconed and secured,,,,
59816f77-5512-4869-8e21-3c34645cf0ba,checkpoint,Area cleaned & rubbish removed,,,,
bc684ba8-03a4-4d0e-95d5-a002315f9d65,checkpoint,Installers name & date works completed,,,,
c56c4f00-70ff-5b4c-b8ca-8dc0c9486264,textbox,Installers name,,,,
782de8a4-4b01-5a33-8314-e2aad79f2348,date,Date:,,,,
23300a47-81b5-400b-bd89-f77cf33e1b98,checkpoint,Tested by & date,,,,
4d1cfd12-4fda-5fa1-912c-98010cd0bdcd,textbox,Tested by:,,,,
c0bb7e0b-0256-5cca-b839-8b31f871341a,date,Date tested:,,,,
b8ee7d65-d37b-430b-b544-36c743e7707d,checkpoint,Council inspector sign off and date,,,,
cf71a4db-12cf-4cc0-b36a-c4fb23009a6f,signoff,SIGN HERE OR REQUEST SIGNOFF,,,,
