type,name,values,prefix,postfix,usage count,user addable,template name,
checklist,ITP 006 Temporary Culverts Installation,,,,,Yes,ITP-006 - Temporary Culverts Installation,8c4ff351-f39f-4e7c-92b9-860dcb97d380
section,1.0 Pre-Construction,,,,,,,
checkpoint,1.01 - Confirm CWP Signed off,,,,,,,
label,Method/Description - Document Review,,,,,,,
label,Test frequency - Prior to Work,,,,,,,
label,Contractor - H,,,,,,,
label,Hynds - H,,,,,,,
label,Client - H,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Signed Copy of Method Statement",,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,1.02 - Confirm Compliance against Resource Consent & Management Plans,,,,,,,
label,Method/Description - Document Review,,,,,,,
label,Test frequency - Prior to Work,,,,,,,
label,Contractor - H,,,,,,,
label,Hynds - H,,,,,,,
label,Client - H,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Signed Management Plans, Approved SCWMP and Approved CWP",,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,1.03 - Confirm Design is in place,,,,,,,
label,Method/Description - Document Review,,,,,,,
label,Test frequency - Prior to Work,,,,,,,
label,Contractor - H,,,,,,,
label,Hynds - R,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - IFC Drawings",,,,,,,
checkpoint,1.04 - Complete Permit To Dig,,,,,,,
label,Method/Description - Document Production,,,,,,,
label,Test frequency - Prior to all Excavation works,,,,,,,
label,Contractor - H,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Permit to Dig Form",,,,,,,
checkpoint,1.05 - Survey,,,,,,,
label,Method/Description - Record inlet and outlet heights for the stream diversion. Mark out scope of works,,,,,,,
label,Test frequency - Prior to Work,,,,,,,
label,Contractor - H,,,,,,,
label,Hynds - R,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Survey Heights, Survey Mark-out",,,,,,,
section,2.0 Material Compliance,,,,,,,
checkpoint,"2.01 - PKS pipe (1400mm, 900mm & 800mm)",,,,,,,
label,Method/Description - Document Review,,,,,,,
label,Test frequency - All PKS pipes,,,,,,,
label,Contractor - R,,,,,,,
label,Lab - H,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Delivery Dockets, Lab Tests",,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,2.02 - PKS pipe fittings,,,,,,,
label,Method/Description - Document Review,,,,,,,
label,Test frequency - All Fittings,,,,,,,
label,Contractor - R,,,,,,,
label,Lab - H,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Delivery Dockets, Lab Tests",,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,2.03 - Subsoil Pipe,,,,,,,
label,Method/Description - Ensure Pipes are ordered as per drawing,,,,,,,
