Id,Type,Name,Values,Prompting Name,Postfix,Resource Id
,checklist,Curtain Wall Facade System Checklist (L1),,Curtain Wall Facade System Checklist,,
,section,Pre-Install,,,,
,checkpoint,1. Subsill and subhead in postion,,,,
,checkpoint,2. Expansion bolts are fixed and nuts are tightened,,,,
,checkpoint,3. Gaps between concrete and subsill subhead are sealed properly,,,,
,checkpoint,4. Gutter plate and sleeve installed,,,,
,checkpoint,5. Check panels are correct size/type for the planning to be installed location. All nessecary items are in place.,,,,
,checkpoint,6. Check façade pane is in good condition,,,,
,checkpoint,"7. (For panels that require alteration), check mullion, aluminum panel and steel back-pan cut to right size",,,,
,checkpoint,"8. (For panels that require alteration), check transom is fixed to mullion properly",,,,
,checkpoint,"9. (For panels that require alteration), check aluminum panel and back-pan are fixed properly",,,,
,checkpoint,"10. (For panels that require alteration), check all joints are sealed properly (photo)",,,,
,checkpoint,"11. (For panels that require penetration), hole is cut as per request",,,,
,checkpoint,12. Glass cleaned ready for install,,,,
,checkpoint,13. Apply the Safety glass stamp where is required but missed.,,,,
,section,Install,,,,
,checkpoint,1. Panel in good caulking condition,,,,
,checkpoint,2. Protection tape in good condition,,,,
,checkpoint,3. No defects/scratch/dents/distortion/crack,,,,
,checkpoint,"4. Panel installed and fixed in position as specified. Panels installed within tolerance (+/-1.5mm in plan, +/-1.5mm in elevation)",,,,
,checkpoint,5. All Gaskets are installed and caulked neatly.,,,,
,checkpoint,6. Smoke flashing installed and sealed as per design. Overlap of sheeting and corretly caulked as per specifications,,,,
,checkpoint,7. Gaps between concrete and subsill subhead are sealed properly,,,,
,checkpoint,8. Record panel ID on the floor plans or elevation,,,,
,section,Post-Install,,,,
,checkpoint,1. Remove external protection and for gasket caulk only,,,,
,checkpoint,2. check the curtain wall is in good condition. Address any defect issues and findings,,,,
,checkpoint,3. Scratch or Damaged powdercoating surface are repaired.,,,,
,checkpoint,4. Record defect panel on inspection report including panel ID. Mark the defect panel on the back of the panel,,,,
,checkpoint,5. Record un-installed panel and any un-installed item on the report. Clearly markup the items and ownership of left over items and place them into the safe place for future use.,,,,
,checkpoint,"6. (For panels that require penetration), hole is sealed properly",,,,
,,,,,,
