Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Cladding,,,,,
,Scope,,,,
,Rows,,,,
,,Little Malop Rainscreen,dynamic,Little Malop Rainscreen,Cladding
,,Aitchison Pl,dynamic,Aitchison Pl,Cladding
,,Courtyard,dynamic,Courtyard,Cladding
,,Police Lane,dynamic,Police Lane,Cladding
,Columns,,,,
,,Transport,,Transport,
,,Quality Assurance,,Quality Assurance,
,,Install,,Install,
,,Finish / Install Inspection,,Finish / Install Inspection,
,,,,,
Frame Doors & Windows,,,,,
,Scope,,,,
,Rows,,,,
,,Little Malop,dynamic,Little Malop,Frame Doors & Windows
,,Level 4,dynamic,Level 4,Frame Doors & Windows
,,Courtyard,dynamic,Courtyard,Frame Doors & Windows
,,Police Lane,dynamic,Police Lane,Frame Doors & Windows
,Columns,,,,
,,Set Out,,Set Out,
,,Subframe,,Subframe,
,,Door / Window Installation,,Door / Window Installation,
,,Completion,,Completion,
