Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Risers - Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Levels,grouping,Levels,
,,B3,,B3,Risers
,,B2,,B2,Risers
,,B1,,B1,Risers
,,G,,G,Risers
,,L1,,L1,Risers
,,L2,,L2,Risers
,,L3,,L3,Risers
,,L4,,L4,Risers
,,L5,,L5,Risers
,,L6,,L6,Risers
,,L7,,L7,Risers
,,L8,,L8,Risers
,,L9,,L9,Risers
,,L10,,L10,Risers
,,L11,,L11,Risers
,,L12,,L12,Risers
,,L13,,L13,Risers
,,L14,,L14,Risers
,,L15,,L15,Risers
,,L16,,L16,Risers
,,L17,,L17,Risers
,,L18,,L18,Risers
,,L19,,L19,Risers
,,L20,,L20,Risers
,,L21,,L21,Risers
,,L22,,L22,Risers
,,L23,,L23,Risers
,,L24,,L24,Risers
,,L25,,L25,Risers
,,L26,,L26,Risers
,,L27,,L27,Risers
,,L28,,L28,Risers
,,L29,,L29,Risers
,Columns,,,,
,,Risers - Jordan Plumbing,,Jordan Plumbing - AFS Tower 1,Risers
,,Risers - O.P. Industries,,O.P Industries - AFS Tower 1,Risers
,,Risers - ION Electrical,,ION - AFS Tower 1,Risers
,,Risers - Trojan Fire,,Trojan Fire - AFS Tower 1,Risers
