Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,EXTERIOR,dynamic,EXTERIOR,
,,INTERIOR,dynamic,INTERIOR,
,,COMMISSIONING,dynamic,COMMISSIONING,
,Columns,,,,
,,UNDERGROUND SERVICES,,UNDERGROUND SERVICES,
,,MAIN EARTH,,MAIN EARTH,
,,LIGHTING,,LIGHTING,
,,SECURITY CABLING,,SECURITY CABLING,
,,WAREHOUSE,,WAREHOUSE,
,,GROUND FLOOR OFFICE,,GROUND FLOOR OFFICE,
,,FIRST FLOOR OFFICE,,FIRST FLOOR OFFICE,
,,"SALES,SPARES,SERVICE OFFICE",,"SALES,SPARES,SERVICE OFFICE",
,,COMMS ROOM - MDF-1,,COMMS ROOM - MDF-1,
,,COMMS ROOM - MDF-2,,COMMS ROOM - MDF-2,
,,MAIN SWITCH BOARD,,MAIN SWITCH BOARD,
,,GENERATOR CONNECTION PANEL,,GENERATOR CONNECTION PANEL,
,,DB-1 - WAREHOUSE,,DB-1 - WAREHOUSE,
,,DB-2 - WAREHOUSE,,DB-2 - WAREHOUSE,
,,DB-3 - WAREHOUSE,,DB-3 - WAREHOUSE,
,,DB-4 - WAREHOUSE,,DB-4 - WAREHOUSE,
,,DB-5 - OFFICE,,DB-5 - OFFICE,
,,DB-MECH - WAREHOUSE,,DB-MECH - WAREHOUSE,
,,"DB-6 - SALES,SERVICE,SPARES",,"DB-6 - SALES,SERVICE,SPARES",
,,DB-7 - MHE CHARGERS,,DB-7 - MHE CHARGERS,
,,DB-8 - SHRINK WRAPPERS,,DB-8 - SHRINK WRAPPERS,
,,DB-9 - EV CHARGERS,,DB-9 - EV CHARGERS,
,,DB-3A - SPRINKLER ROOM,,DB-3A - SPRINKLER ROOM,
,,LIGHTING CONTROL,,LIGHTING CONTROL,
,,POWER,,POWER,
,,UNDER SLAB,,UNDER SLAB,
,,STRUCTURED CABLING,,STRUCTURED CABLING,
,,METERING,,METERING,
,,BUSDUCT,,BUSDUCT,
,,,,,
Detailed Progress - Exterior,,,,,
,Scope,,,EXTERIOR,
,Rows,,,,
,,SITE WORKS,dynamic,SITE WORKS,EXTERIOR
,,BUILDING,dynamic,BUILDING,EXTERIOR
,Columns,,,,
,,EARTH RODS INSTALLED,,EARTH RODS INSTALLED,
,,EARTH PITS INSTALLED,,EARTH PITS INSTALLED,
,,MAIN EARTH CABLING INSTALLED & TIED BACK TO MSB,,MAIN EARTH CABLING INSTALLED AND TIED BACK TO MSB,
,,MAIN EARTH CABLING TERMINATED AT RODS & LABELLED,,MAIN EARTH CABLING TERMINATED AT RODS AND LABELLED,
,,POWER DUCTING INSTALLED INCL MAG SLAB & DANGER TAPE,,POWER DUCTING INSTALLED INCL MAG SLAB AND DANGER TAPE,
,,COMMS DUCTING INSTALLED INCL DANGER TAPE,,COMMS DUCTING INSTALLED INCL DANGER TAPE,
,,"UNDERGROUND PITS INSTALLED, LEVELLED & DUCTING SEALED",,"UNDERGROUND PITS INSTALLED, LEVELLED AND DUCTING SEALED",
,,DRAW TAPE INSTALLED AS REQUIRED,,DRAW TAPE INSTALLED AS REQUIRED,
,,CAGES INSTALLED & SET FOR POLE LIGHTING,,CAGES INSTALLED AND SET FOR POLE LIGHTING,
,,POLE LIGHTING PREWIRED,,POLE LIGHTING PREWIRED,
,,POLE LIGHTING CONNECTED INCL FUSED TERMINALS,,POLE LIGHTING CONNECTED INCL FUSED TERMINALS,
,,CANOPY LIGHTING PREWIRED - INCL DALI,,CANOPY LIGHTING PREWIRED - INCL DALI,
,,CANOPY LIGHTING INSTALLED & CONNECTED,,CANOPY LIGHTING INSTALLED AND CONNECTED,
,,EMERGENCY LIGHTING PREWIRED,,EMERGENCY LIGHTING PREWIRED,
,,EMERGENCY LIGHTING INSTALLED,,EMERGENCY LIGHTING INSTALLED,
,,FLOOD LIGHTING PREWIRED,,FLOOD LIGHTING PREWIRED,
,,FLOOD LIGHTING INSTALLED,,FLOOD LIGHTING INSTALLED,
