type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,Daily Pre Start/Works Checklist,,,,,Yes,Daily Pre Start/Works Checklist,b26da6bf-c2b2-4d55-928e-ce6df591e62e
checkpoint-status,Daily pre start meeting completed,,,,,,,
text,Date,,,,,,,
text,Time,,,,,,,
text,Location of work being performed,,,,,,,
text,Weather,,,,,,,
checkpoint-status,"Is the area clear, tidy, dry, accessible and well lit? (take multiple photos of installation area)",,,,,,,
checkpoint-status,Delivery inspection (Take a photo of the delivery taking place and of delivery docket) (*note: list all items not delivered),,,,,,,
checkpoint-status,Does the delivery/delivery docket match the order placed? (*note: list all items not delivered),,,,,,,
checkpoint-status,Are the correct tools ready for today's tasks?,,,,,,,
checkpoint-status,Are Power tool batteries on charge?,,,,,,,
checkpoint-status,"Is the threading machine, drop saw and pipestand set up and ready for use?",,,,,,,
checkpoint-status,"Are all leads suspended off the ground, plugged into an RCD and test & tagged in date?",,,,,,,
checkpoint-status,Are the correct height ladders being used for today's tasks?,,,,,,,
checkpoint-status,"Do you have the correct mandatory PPE on? (Hard Hat, Hi Vis shirt/jumper/jacket, Steel toe Boots, Safety Glasses, Safety gloves and Ear Plugs?",,,,,,,
text,First aiders on site today,,,,,,,
text,Who are you working with today?,,,,,,,
text,today's tasks / jobs,,,,,,,
text,Attendees,,,,,,,
checkpoint-status,Summit Fire Supervisor Signature,,,,,,,
