type,name,values,prefix,postfix,usage count,user addable,template name,
checklist,SYM-0388-ITP-006 Mass Block Retaining Wall [B],itp,,,,,SYM-0388-ITP-006 Mass Block Retaining Wall [B],
section,1.0 General,,,,,,,
checkpoint,1.1 - Block Material Type ,,,,,,,
note,Ref docs - IFC Drawings,,,,,,,
note,Acceptance criteria - Blocks to be correct size and approved prior to placement.,,,,,,,
note,• 1m (W) x 1m (H) x 1m (L),,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - H,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - H,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint-no-status,1.1.1 - Lot Map,,,,,,,
button,Lot map uploaded,"Yes,No,N/A",,,,,,
checkpoint,1.2 - Concrete Core Fill Mix,,,,,,,
note,Ref docs - IFC Drawings,,,,,,,
note,Acceptance criteria - Core fill material shall be minimum 25 MPa concrete,,,,,,,
note,"• Material properties meet project specification, AS 3600, AS 1379.",,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - H,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - H,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
section,2.0 Footing completion,,,,,,,
checkpoint,2.1 - Set out,,,,,,,
note,Ref docs - IFC Drawings,,,,,,,
note,Acceptance criteria - Extents and levels correct to relevant drawings,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - H,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - S,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
checkpoint,2.2 - Footing complete and approved,,,,,,,
note,Ref docs - IFC Drawings,,,,,,,
note,Acceptance criteria - Retaining Wall Footing completed in line with Drawings and Specification,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - H,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - H,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
section,3.0 Retaining wall construction,,,,,,,
checkpoint,3.1 - Steel reinforcement,,,,,,,
note,Ref docs - IFC Drawings,,,,,,,
note,Acceptance criteria - Steel reinforcement to be placed as per design drawings with the correct amount of cover.,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - H,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - H,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,3.2 - Setout and positioning correct,,,,,,,
note,Ref docs - IFC Drawings,,,,,,,
note,Acceptance criteria - Setout of block courses correct to line and level. Wall shall be generally straight and true.,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - H,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - S,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,3.3 - Blockwork jointing,,,,,,,
note,Ref docs - IFC Drawings,,,,,,,
note,Acceptance criteria - Expansion joints to be installed in accordance with Construction Drawings/ Manufacturer Spec using correct materials.,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - W,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - S,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
note,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - ",,,,,,,
checkpoint,3.4 - Blockwork installation,,,,,,,
note,Ref docs - IFC Drawings,,,,,,,
note,Acceptance criteria - Blocks shall be installed in accordance with the details of the Civil Drawings/ Manufacturer Spec.,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - S,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - S,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
note,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - ",,,,,,,
checkpoint,3.5 - Core filling,,,,,,,
note,Ref docs - TfNSW R53 CL.3.3.4,,,,,,,
note,"Acceptance criteria - Concrete shall be transported, handled and placed to prevent segregation, loss or leakage of materials.",,,,,,,
note,"• Concrete to be tamped/vibrated to increase density and prevent voids, honeycombing or surface defects.",,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - S,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - W,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
checkpoint,3.6 - Strength testing,,,,,,,
note,Ref docs - TfNSW R53 Annexure L AS 1379,,,,,,,
note,Acceptance criteria - Samples to be taken from chute. Each sample shall consist of two cylinder specimens for 28 day testing.,,,,,,,
note,– – – – – – – – – – – – – – – – – – –,,,,,,,
note,No. of samples || Volume of concrete (m3),,,,,,,
note,2 || <50,,,,,,,
note,3 || 50-100,,,,,,,
note,4 || 101-250,,,,,,,
note,5 || >250,,,,,,,
note,– – – – – – – – – – – – – – – – – – –,,,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - S,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - S,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
note,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - Test report",,,,,,,
checkpoint,3.7 - Capping Block,,,,,,,
note,Ref docs - IFC Drawings,,,,,,,
note,Acceptance criteria - Capping Block is installed along top block of retaining Wall,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - S,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - S,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
section,4.0 Backfill,,,,,,,
checkpoint,4.1 - Non-Woven Geotextile,,,,,,,
note,Ref docs - IFC Drawings,,,,,,,
note,Acceptance criteria - Install 1 layer of Bidim A34 (or equivalent) non-woven geotextile. Ensure geotextile is properly anchored,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - W,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - W,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
checkpoint,4.2 - Backfill,,,,,,,
note,Ref docs - IFC Drawings,,,,,,,
note,Acceptance criteria - Install rock fill comprising max 200mm particle size well graded rock.,,,,,,,
note,• Symal’s Geotechnical Engineer to detail the maximum installation slope of backfill material,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - S,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - S,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
section,5.0 Subsoil,,,,,,,
checkpoint,5.1 - Subsoil Drainage Pipe,,,,,,,
note,Ref docs - IFC Drawings,,,,,,,
note,Acceptance criteria - DN100 Socked Subsoil Drainage Pipe installed at base of wall before backfill.,,,,,,,
note,• Discharge through face of wall at 25m centres,,,,,,,
note,○ Provide clear out riser to surface,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - W,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - W,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
checkpoint,5.2 - Subsoil Aggregate,,,,,,,
note,Ref docs - IFC Drawings,,,,,,,
note,Acceptance criteria - Install subsoil layer min. 200mm wide from rear face of wall before backfill.,,,,,,,
note,• Aggregate to be nominal 20mm in dimension.,,,,,,,
note,○ Wrapped in approved Geotextile.,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - S,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - S,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
section,5.0 Conformance check,,,,,,,
checkpoint,5.1 - Subsoil Drainage Pipe,,,,,,,
note,Ref docs - Tolerances,,,,,,,
note,Acceptance criteria - Surface Level: the top surface level must be as per design levels or as approved.,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - S,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - S,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
checkpoint,5.2 - NCR Closeout,,,,,,,
note,Ref docs - Contract Documents,,,,,,,
note,Acceptance criteria - All defects have been rectified and NCR’s closed out and Site is accepted,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,
note,Verify of acceptance by,,,,,,,
note,Symal Infrastructure: Key - H,,,,,,,
textbox,Symal Infrastructure: Sign Date,,,,,,,
note,Shoalhaven City Council: Key - S,,,,,,,
textbox,Shoalhaven City Council: Sign Date,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,Works complete,,,,,,,
text,Name:,,,,,,,
text,Position:,,,,,,,
text,Date Completed:,,,,,,,
holdpoint,Sign ITP,,,,,,,
checkpoint,Lot Conformance,,,,,,,
dropdown,Lot Status,"Awaiting Hold Point Release,Awaiting NCR Closure,Awaiting Test Results,Awaiting Verification,Cancelled,Closed-out,Outstanding,Work In Progress",,,,,,
text,Lot opened date:,,,,,,,
text,Lot opened by:,,,,,,,
text,Date lot closed:,,,,,,,
button,NCR raised?,"Yes,No",,,,,,
text,NCR Raised Date:,,,,,,,
button,NCR closed?,"Yes,No",,,,,,
text,NCR Closed Date:,,,,,,,
text,NCR Number:,,,,,,,
text,Comments,,,,,,,
holdpoint,Sign ITP,,,,,,,
