"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
"081ec648-9162-4735-99e5-f2638011f575/10","checklist","Precast Element","","Item -",0,"2a973667-4540-421f-bf08-2033fe41134d"
"8181493c-d147-4784-9adf-6b5dc0fd309a","section","Formwork",,,,
"b4921539-4c30-4401-adfe-526239c57600","checkpoint","IFC Drawing Revision",,,,
"a75cef4a-761a-4b8e-a8e0-c05a34ad67d7","checkpoint","Squareness",,,,
"d19e0b5c-198e-419e-a118-0a5eef3f6c26","checkpoint","Dimensions",,,,
"5380a079-389e-456e-8b15-f4d7e719ec8d","checkpoint","Windows/Doors/voids",,,,
"08bf0381-9a25-4092-904c-c229b914acd2","checkpoint","Edge Form/ Fillets",,,,
"a548b726-6868-4aa6-926e-f1662ad5a4b3","checkpoint","ID Tag",,,,
"feb5e0c6-4db0-4e77-bf12-b7a095314d74","checkpoint","Weather joint",,,,
"91cc7ded-ff84-59be-aad7-362909ff758b","tickbox","Top",,,,
"7ec146d4-184b-5bbf-b3e0-e2acc9889e14","tickbox","Bottom",,,,
"ea88bad0-c587-518d-aa7a-0587329367c2","tickbox","Return",,,,
"b5a2ad14-b826-4891-8834-19c33dda10e5","checkpoint","Dummy joints",,,,
"16db2598-c54b-5d73-a7ad-58ae29b2d2be","tickbox","NF",,,,
"42460099-8fd0-5639-a6f2-f9884e4bed4a","tickbox","FF",,,,
"1e1943be-cd93-5911-b83a-83e6badc47fc","tickbox","Edge",,,,
"8ec19fb1-5b5d-40b4-8974-51953a78a000","checkpoint","Cleanliness",,,,
"df9d3c34-44b5-549f-932a-109217c1632e","textbox","Notes/Changes",,,,
"40de16d0-0be3-42ab-9266-14b96c9be569","checkpoint-no-value","Drafting Non conformities",,,,
"d99817be-19c3-5016-8bca-8b2ccab5ea23","note","Missing information",,,,
"5de3073c-d9ef-513a-b527-0afa2509f813","note","Inconsistent information",,,,
"ec912131-ce9c-55bc-a921-d0a36786fcd4","note","Wrong information",,,,
"272dd2a5-a459-5189-9458-70b456ed10b0","note","Revision",,,,
"5b599f67-d48d-429d-8627-63980d327271","checkpoint-no-value","Formwork Non conformities",,,,
"9d20060d-11c0-5601-b74d-9adc59ee4f05","note","Squareness",,,,
"2bffe084-9c89-5e79-9d1b-2d29407333f0","note","Dimensions",,,,
"70443246-85d5-50fc-96ba-2562f079c7eb","note","GT",,,,
"11263174-f019-5826-a9bb-b7becb8a0f95","note","Panel Orientation",,,,
"bb444572-e310-530f-afa1-87f9fb9184fd","note","Fitments",,,,
"2f0f408c-69be-59c6-9003-6a0a3c51df69","note","Tag",,,,
"db4a58c0-1a40-4f2f-8500-22c8c19b6e16","section","Reinforcement & Embedded Items",,,,
"d4d323ee-831f-45e8-9de7-c18c6a75b957","checkpoint","Cover",,,,
"e910b787-2556-4763-a996-b7fa19e333ef","checkpoint","Rebates",,,,
"6c4c3de0-bcb7-5b91-a621-46f083fcffd0","tickbox","NF",,,,
"f274cfc0-2f70-50e5-8317-94bcbcb85c73","tickbox","FF",,,,
