type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,ITP SIGN OFF CATEGORIES,,,,,Yes,ITP SIGN OFF CATEGORIES,ce929229-a8c5-4c52-87e2-bb59a61511bc
checkpoint-status,High Level Rough In,,,,,,,
checkpoint-status,Wall Rough In,,,,,,,
checkpoint-status,Power and Data Requirements,,,,,,,
checkpoint-status,Room Booking Panel Data,,,,,,,
checkpoint-status,First Fix,,,,,,,
checkpoint-status,Fit Off,,,,,,,
checkpoint-status,Hardware Installation,,,,,,,
checkpoint-status,LCD Installation,,,,,,,
checkpoint-status,Commissioning,,,,,,,
