Id,Type,Name,Values,Prompting Name,Postfix,Resource Id
,checklist,ITP - Foam Bitumen Stabilisation. Rev 0,itp,ITP - Foam Bitumen Stabilisation,,4216c747-4808-4716-ab13-9261e9574f94
,section,3.0. BITUMEN STABILISATION OPERATION,,,,
,checkpoint,3.01 - Production Plan,,,,
,note,Detail of Activity / Test - Plan showing cut lines and sequencing of works,,,,
,note,"Action (Hold, Monitor, Witness) - M",,,,
,note,Minimum Test Frequency - Prior to each section,,,,
,note,Inspection / Test method - Daily Report,,,,
,note,Acceptance Criteria - Points covered in NZTA B/5,,,,
,note,Record documents (QCP - Quality Control Portal) - Daily Production Plan,,,,
,note,Responsibility - Stabilising Contractor,,,,
,note,Designer -,,,,
,note,Eng. Rep - I,,,,
,note,Contractor - R,,,,
,checkpoint,3.02 - Weather conditions,,,,
,note,Detail of Activity / Test - Material behind stabiliser,,,,
,note,"Action (Hold, Monitor, Witness) - M",,,,
,note,Minimum Test Frequency - Prior to spreading,,,,
,note,Inspection / Test method - Measurement,,,,
,note,"Acceptance Criteria - Material after stabilisation: BE: > 20°C, FB: > 20°C and Ambient: >5 deg.C",,,,
,note,Record documents (QCP - Quality Control Portal) - Daily work Log,,,,
,note,Responsibility - Stabilsing Contractor,,,,
,note,Designer -,,,,
,note,Eng. Rep - I,,,,
,note,Contractor - R,,,,
,checkpoint,2.07 - Weather conditions,,,,
,note,Detail of Activity / Test - Wind,,,,
,note,"Action (Hold, Monitor, Witness) - M",,,,
,note,Minimum Test Frequency - Prior to spreading cement or lime,,,,
,note,Inspection / Test method - Local weather stations,,,,
,note,Acceptance Criteria - Wind speed < 25 km/hr,,,,
,note,Record documents (QCP - Quality Control Portal) - Daily work Log,,,,
,note,Responsibility - Stabilsing Contractor,,,,
,note,Designer -,,,,
,note,Eng. Rep - I,,,,
,note,Contractor - R,,,,
,checkpoint,2.08 - Weather conditions,,,,
,note,Detail of Activity / Test - Rain,,,,
,note,"Action (Hold, Monitor, Witness) - M",,,,
,note,Minimum Test Frequency - Prior to spreading cement or lime,,,,
,note,Inspection / Test method - Local weather stations,,,,
,note,Acceptance Criteria - No spreading of cement / lime if it is raining or likely to rain before these can be mixed in with the material,,,,
,note,Record documents (QCP - Quality Control Portal) - Daily work Log,,,,
,note,Responsibility - Stabilsing Contractor,,,,
,note,Designer -,,,,
,note,Eng. Rep - I,,,,
,note,Contractor - R,,,,
,checkpoint,3.01 - Stabilising Agents,,,,
,note,Detail of Activity / Test - Lime (if applicable - check PI delete otherwise),,,,
,note,"Action (Hold, Monitor, Witness) - M",,,,
,note,Minimum Test Frequency - Per Batch,,,,
,note,Inspection / Test method - TNZ M/15,,,,
,note,Acceptance Criteria - Conform to Specification,,,,
,note,Record documents (QCP - Quality Control Portal) - Certificate in contractor's site folder,,,,
,note,Responsibility - Stabilising Contractor,,,,
,note,Designer -,,,,
,note,Eng. Rep - I,,,,
,note,Contractor - R,,,,
,checkpoint,3.02 - Stabilising Agents,,,,
,note,"Detail of Activity / Test - Cement, GP",,,,
,note,"Action (Hold, Monitor, Witness) - M",,,,
