"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Captive Glazing Progress"
,"Scope",,
,"Rows"
,,"Internal - Lower Ground","dynamic","internal","lower ground"
,,"Internal - Ground/L1","dynamic","ground/l1","internal"
,,"Internal - Level 1","dynamic","level 1","internal"
,,"Internal - Level 2","dynamic","level 2","internal"
,,"Internal - Level 3","dynamic","internal","level 3"
,,"External - Level 3","dynamic","external","level 3"
,,"External - Level 2","dynamic","level 2","external"
,,"External - Ground/L1","grouping","external - ground/l1"
,,"EW1.1",,"ew1.1","ground/l1","external"
,,"EW1.2",,"ground/l1","ew1.2","external"
,,"EW1.3",,"ground/l1","ew1.3","external"
,,"EW1.3",,"ground/l1","ew1.3","external"
,,"EW1.4",,"ground/l1","external","ew1.4"
,,"EW1.5",,"ew1.5","ground/l1","external"
,,"EW1.6",,"ground/l1","ew1.6","external"
,,"EW1.7",,"ground/l1","ew1.7","external"
,,"EW1.8",,"ground/l1","external","ew1.8"
,,"EW1.9",,"ew1.9","ground/l1","external"
,,"EW1.10",,"ground/l1","external","ew1.10"
,,"EW1.11 (CW)",,"ew1.11 (cw)","ground/l1","external"
,,"EW1.12 (CW)",,"ground/l1","ew1.12 (cw)","external"
,,"EW1.13",,"ew1.13","ground/l1","external"
,,"EW1.14",,"ground/l1","external","ew1.14"
,,"EW1.15",,"ground/l1","ew1.15","external"
,,"EW1.16",,"ground/l1","ew1.16","external"
,,"EW1.40",,"ground/l1","ew1.40","external"
,,"EW1.41",,"ground/l1","ew1.41","external"
,,"EW1.42",,"ew1.42","ground/l1","external"
,,"EW1.43",,"ground/l1","external","ew1.43"
,,"EW1.44",,"ground/l1","ew1.44","external"
,,"EW1.45",,"ground/l1","ew1.45","external"
,,"EW1.46",,"ew1.46","ground/l1","external"
,,"EW1.47",,"ground/l1","external","ew1.47"
,,"EW1.49",,"ground/l1","ew1.49","external"
,,"EW1.50",,"ground/l1","external","ew1.50"
,,"EW1.51",,"ground/l1","ew1.51","external"
,,"EW1.52",,"ground/l1","ew1.52","external"
,,"EW1.53",,"ew1.53","ground/l1","external"
,,"EW1.54",,"ground/l1","external","ew1.54"
,,"EW1.55",,"ground/l1","ew1.55","external"
,,"EW1.56",,"ground/l1","ew1.56","external"
,,"EW1.57",,"ew1.57","ground/l1","external"
,,"EW1.58",,"ground/l1","external","ew1.58"
,,"EW1.59",,"ground/l1","ew1.59","external"
,,"EW1.60",,"ew1.60","ground/l1","external"
,,"EW1.61",,"ground/l1","external","ew1.61"
,,"EW1.66",,"ground/l1","ew1.66","external"
,,"EW1.67",,"ground/l1","ew1.67","external"
,,"External - Lower Ground","dynamic","external","lower ground"
,"Columns"
,,"Frame prep",,"frame prep"
,,"Glass installed correct way around",,"glass installed correct way around"
,,"Beads installed",,"beads installed"
,,"Wedge installed",,"wedge installed"
,,"Trade clean",,"trade clean"

"Captive Skylight Progress"
,"Scope",,
,"Rows"
,,"External - Ground/L1","grouping","external - ground/l1"
,,"Skylight",,"ground/l1","skylight","external"
,"Columns"
,,"Frame prep",,"frame prep"
,,"Check feet are installed",,"check feet are installed"
,,"Glass installed",,"glass installed"
,,"Beads installed",,"beads installed"
,,"Correct wedge installed",,"correct wedge installed"
,,"Silicone joints",,"silicone joints"
,,"Trade clean",,"trade clean"

