"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-flat",,"","checklist","Underground Fire Service Checklist (V140421)","",,,0,"Yes","Underground Fire Service Checklist (V140421)","047ff6b4-3633-4002-92b9-6a6d74b8c0e1"
"checkpoint-status",,"","checkpoint","WorkSafe notification prior to trenching operations @ 15M deep or greater"
"checkpoint-status",,"","checkpoint","Existing in-ground services located and verified before excavation"
"checkpoint-status",,"","checkpoint","Site survey and confirm extent of works"
"checkpoint-status",,"","checkpoint","Confirm area of work is accessible and acceptable to commence"
"checkpoint-status",,"","checkpoint","Exclusion zone erected"
"checkpoint-status",,"","checkpoint","Trench shoring/shield is on site"
"checkpoint-status",,"","checkpoint","Excavation depths and locations confirmed prior to detailed excavation commencing"
"checkpoint-status",,"","checkpoint","Bedding material is correct type, grade and depth"
"checkpoint-status",,"","checkpoint","Fire service installed to correct depth of cover"
"checkpoint-status",,"","checkpoint","Service indicator tape installed"
"checkpoint-status",,"","checkpoint","joints are correct"
"checkpoint-status",,"","checkpoint","Risers are in correct location - provide photos"
"checkpoint-status",,"","checkpoint","Fire service tested to AS/NZS35002018, AS24192017 Provide Photos"
"checkpoint-status",,"","checkpoint","Trench suitably backfilled and compacted"
"checkpoint-status",,"","checkpoint","Expansion lagging installed around pipes prior to concrete"
"checkpoint-status",,"","checkpoint","clean up of work area"
"holdpoint",,"","signoff","Completion sign off"
"checkpoint-status",,"","checkpoint","Independent inspection and testing complete"
"checkpoint-status",,"","checkpoint","General photos, comments & observations during Cold Water Rough-In (Add below)"
"checkpoint-status",,"","checkpoint","Underground Fire Service completed to specification/drawings & Area left clean/tidy"
"label","afb01484-5e6a-5c5e-b638-405618e4686e","","note","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)",,,

"checklist-sectioned",,"","checklist","NDIS","",,,16,"Yes","NDIS","079289aa-83d2-4cd5-9ea3-165a34d6cc63"
"checkpoint-group",,"","section","Planning and Pre-Commencement"
"checkpoint-status",,"","checkpoint","Confirm site setout is from the latest set of drawings, and has been approved “For Construction”"
"checkpoint-status",,"","checkpoint","Insert DWG. No"
"checkpoint-status",,"","checkpoint","Confirm meter marks have been clearly shown"
"checkpoint-status",,"","checkpoint","Work Completed"
"holdpoint",,"","signoff","HOLD POINT"
"checkpoint-group",,"","section","General Requirements"
"checkpoint-status",,"","checkpoint","The dwelling has the following noted features on an entry level or a level serviced by a lift: • One bedroom exclusively for use of a participant, • One WC pan, • One shower, • One hand wash basin, • One living area, • One kitchen, and • One laundry."
"checkpoint-status",,"","checkpoint","General Requirements complete"
"checkpoint-status",,"","checkpoint","Work Completed"
"holdpoint",,"","signoff","HOLD POINT"
"checkpoint-group",,"","section","Pedestrian entry from the site boundary"
"checkpoint-status",,"","checkpoint","A safe, continuous step-free accessway is provided from the front boundary of the site to an entry doorway of the dwelling. The accessway may include a walk way, step ramp or ramp and shall include any additional enhanced requirements of the particular design category as noted in this SDA Design Standard document."
