Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Precast Elements,grouping,Precast Elements,
,,L33-TC101,,L33-TC101,Precast Elements
,,L33-TC102,,L33-TC102,Precast Elements
,,L33-TC105,,L33-TC105,Precast Elements
,,L33-TC115,,L33-TC115,Precast Elements
,,L33-TC116,,L33-TC116,Precast Elements
,,L34-TC101,,L34-TC101,Precast Elements
,,L34-TC102,,L34-TC102,Precast Elements
,,L34-TC105,,L34-TC105,Precast Elements
,,L34-TC115,,L34-TC115,Precast Elements
,,L34-TC116,,L34-TC116,Precast Elements
,,L34-TC124,,L34-TC124,Precast Elements
,,L34-TC125,,L34-TC125,Precast Elements
,,L34-TC126,,L34-TC126,Precast Elements
,,L34-TC130,,L34-TC130,Precast Elements
,,L35-TC101,,L35-TC101,Precast Elements
,,L35-TC102,,L35-TC102,Precast Elements
,,L35-TC104,,L35-TC104,Precast Elements
,,L35-TC105,,L35-TC105,Precast Elements
,,L35-TC108,,L35-TC108,Precast Elements
,,L35-TC109,,L35-TC109,Precast Elements
,,L35-TC112,,L35-TC112,Precast Elements
,,L35-TC113,,L35-TC113,Precast Elements
,,L35-TC115,,L35-TC115,Precast Elements
,,L35-TC116,,L35-TC116,Precast Elements
,,L35-TC121,,L35-TC121,Precast Elements
,,L35-TC122,,L35-TC122,Precast Elements
,,L35-TC123,,L35-TC123,Precast Elements
,,L35-TC124,,L35-TC124,Precast Elements
,,L35-TC125,,L35-TC125,Precast Elements
,,L35-TC126,,L35-TC126,Precast Elements
,,L35-TC127,,L35-TC127,Precast Elements
,,L35-TC128,,L35-TC128,Precast Elements
,,L35-TC129,,L35-TC129,Precast Elements
,,L35-TC130,,L35-TC130,Precast Elements
,,L36-TC101,,L36-TC101,Precast Elements
,,L36-TC102,,L36-TC102,Precast Elements
,,L36-TC104,,L36-TC104,Precast Elements
,,L36-TC105,,L36-TC105,Precast Elements
,,L36-TC108,,L36-TC108,Precast Elements
,,L36-TC109,,L36-TC109,Precast Elements
,,L36-TC112,,L36-TC112,Precast Elements
,,L36-TC113,,L36-TC113,Precast Elements
,,L36-TC115,,L36-TC115,Precast Elements
,,L36-TC116,,L36-TC116,Precast Elements
,,L36-TC121,,L36-TC121,Precast Elements
,,L36-TC122,,L36-TC122,Precast Elements
,,L36-TC123,,L36-TC123,Precast Elements
,,L36-TC124,,L36-TC124,Precast Elements
,,L36-TC125,,L36-TC125,Precast Elements
,,L36-TC126,,L36-TC126,Precast Elements
,,L36-TC127,,L36-TC127,Precast Elements
,,L36-TC128,,L36-TC128,Precast Elements
,,L36-TC129,,L36-TC129,Precast Elements
,,L36-TC130,,L36-TC130,Precast Elements
,,L37-TC101,,L37-TC101,Precast Elements
,,L37-TC102,,L37-TC102,Precast Elements
,,L37-TC104,,L37-TC104,Precast Elements
,,L37-TC105,,L37-TC105,Precast Elements
,,L37-TC108,,L37-TC108,Precast Elements
,,L37-TC109,,L37-TC109,Precast Elements
,,L37-TC112,,L37-TC112,Precast Elements
,,L37-TC113,,L37-TC113,Precast Elements
,,L37-TC115,,L37-TC115,Precast Elements
,,L37-TC116,,L37-TC116,Precast Elements
,,L37-TC121,,L37-TC121,Precast Elements
,,L37-TC122,,L37-TC122,Precast Elements
,,L37-TC123,,L37-TC123,Precast Elements
,,L37-TC124,,L37-TC124,Precast Elements
,,L37-TC125,,L37-TC125,Precast Elements
,,L37-TC126,,L37-TC126,Precast Elements
,,L37-TC127,,L37-TC127,Precast Elements
,,L37-TC128,,L37-TC128,Precast Elements
,,L37-TC129,,L37-TC129,Precast Elements
,,L37-TC130,,L37-TC130,Precast Elements
,,L38-TC101,,L38-TC101,Precast Elements
,,L38-TC102,,L38-TC102,Precast Elements
,,L38-TC104,,L38-TC104,Precast Elements
,,L38-TC105,,L38-TC105,Precast Elements
,,L38-TC108,,L38-TC108,Precast Elements
,,L38-TC109,,L38-TC109,Precast Elements
,,L38-TC112,,L38-TC112,Precast Elements
