type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-sectioned,0597-FRM-101 - Diaphragm Wall Concreting Record,,,,,Yes,0597-FRM-101 - Diaphragm Wall Concreting Record,e0c05231-f23d-4f4c-b6de-ebbd6c149eba
checkpoint-group,Set Out,,,,,,,
checkpoint-status,Attach any relevant photos / documents,,,,,,,
text,Toe Level of Stop end LHS (From IF),,,,,,,
text,Toe Level of Stop end RHS (From IF),,,,,,,
text,Start Date,,,,,,,
text,Start Time,,,,,,,
text,Finish Date,,,,,,,
text,Finish Time,,,,,,,
text,Guide Wall Level RL:,,,,,,,
text,Top of Bar RL:,,,,,,,
text,Concrete Cutoff RL:,,,,,,,
text,Stop-end Length RL:,,,,,,,
text,Concrete Mix:,,,,,,,
text,Theoretical Volume:,,,,,,,
text,Actual Volume:,,,,,,,
text,Over-Consumption %,,,,,,,
checkpoint-group,Pre-Concreting Checks,,,,,,,
checkpoint-status,Tremie 1,,,,,,,
text,Panel Depth (m),,,,,,,
text,Length of Tremie (m),,,,,,,
select,Tremie Joints Sealed,"yes, no",,,,,,
select,Tremie Plug,"yes, no",,,,,,
select,Sand Content Bentonite < 4%,"yes, no",,,,,,
text,Length of Tremie (m),,,,,,,
text,Depth to Concrete (m),,,,,,,
text,Tremie in Concrete (m),,,,,,,
select,Tremie in Concrete >3m,"yes, no",,,,,,
text,Tremie Section Removed (m),,,,,,,
text,Tremie in Concrete (m),,,,,,,
text,Tremie Remaining,,,,,,,
holdpoint,Completed by Keller,,,,,,,
checkpoint-status,Tremie 2,,,,,,,
text,Panel Depth (m),,,,,,,
text,Length of Tremie (m),,,,,,,
select,Tremie Joints Sealed,"yes, no",,,,,,
select,Tremie Plug,"yes, no",,,,,,
select,Sand Content Bentonite < 4%,"yes, no",,,,,,
text,Length of Tremie (m),,,,,,,
text,Depth to Concrete (m),,,,,,,
text,Tremie in Concrete (m),,,,,,,
select,Tremie in Concrete >3m,"yes, no",,,,,,
text,Tremie Section Removed (m),,,,,,,
text,Tremie in Concrete (m),,,,,,,
text,Tremie Remaining,,,,,,,
holdpoint,Completed by Keller,,,,,,,
checkpoint,Tremie 3,,,,,,,
text,Panel Depth (m),,,,,,,
text,Length of Tremie (m),,,,,,,
select,Tremie Joints Sealed,"yes, no",,,,,,
select,Tremie Plug,"yes, no",,,,,,
select,Sand Content Bentonite < 4%,"yes, no",,,,,,
text,Length of Tremie (m),,,,,,,
text,Depth to Concrete (m),,,,,,,
text,Tremie in Concrete (m),,,,,,,
select,Tremie in Concrete >3m,"yes, no",,,,,,
text,Tremie Section Removed (m),,,,,,,
text,Tremie in Concrete (m),,,,,,,
text,Tremie Remaining,,,,,,,
signoff,Completed by Keller,,,,,,,
checkpoint,Tremie 4,,,,,,,
