Id,Type,Name,Values,Prompting Name,Postfix,Resource Id
4e62a024-24f3-4d1d-a827-cde225a7e31e,checklist,ITP - Retaining Wall Construction - 303 - Rev C,itp,ITP - Retaining Wall Construction - 303 - Rev C,,
788236be-1bb3-462c-a7fe-ecf2657fa6e9,section,4.19 Retaining Wall Materials,,,,
13d2a07b-abdf-4de6-b6ed-35d59cd1a20c,checkpoint,"4.19.1 - Retaining Wall Concrete including site concrete, pile concrete and capping concrete (Pile Concrete Mix Design / Tremmie Mix Design)",,,,
eb0e8e28-86b7-520b-bef3-ba23ba622c3b,note,Acceptance / Conformance Criteria - All concrete shall have a minimum 28-day compressive strength of 30 MPa for both piles and the capping beam. The contractor shall submit the proposed concrete mix including slump to the Engineer before the commencement of works,,,,
8c773d6e-2e59-5326-aa95-e75060c0a82e,note,"Standard / Specification - PS 18.2.5, PS 18.5.1",,,,
58a98d2f-33ae-5cf8-b90a-4acb87d7f2bb,note,Verifying Document - Mix Design,,,,
fbde0b1a-dc9b-55bd-b9a6-ff65015f276c,note,Frequency - before the commencement of works,,,,
d624ebab-efcb-5608-bf1c-8a395dfe8e7a,note,Verification Activity: Activity - HP,,,,
aeec2237-c8c1-5745-a798-d0b043faa24c,note,Verification Activity: By - ENG,,,,
d11e2117-c1cd-41a0-8505-865b5bae1ae4,signoff,AUTHORITY HOLDPOINT,,,,
451a1f49-7ef4-4a3f-80ca-aa68e8b30e88,checkpoint,4.19.2 - Hot-dip Galvanising,,,,
1e8cb928-f5b2-5d01-89ed-015ecbcdfc03,note,"Acceptance / Conformance Criteria - Steel sections, and all associated fittings shall be hot dip galvanised, in accordance with AS/NZS 4680. All alterations to fittings shall be hot dip galvanised following fabrication.",,,,
87b43d36-add0-5978-8bb7-3c3a686f21da,note,"Standard / Specification - PS 18.2.3, PS 18.2.1, PS 18.2.2",,,,
ef8c2149-85c2-5ad9-a75f-0da462b5086f,note,Verifying Document - Datasheet,,,,
2365f46c-f813-5346-8582-31fa8c3f8327,note,Frequency - Prior to Works,,,,
300fb3a1-ae38-5548-b173-de3ebc008317,note,Verification Activity: Activity - R,,,,
ab0054fa-45d8-5bb0-959b-60427cbbe37a,note,Verification Activity: By - SE,,,,
ea21574e-a46c-4592-94be-473b9ebc4f79,checkpoint,4.19.3 - Steel Piles,,,,
c3b56b4b-7010-5eeb-8315-a51850300fbd,note,"Acceptance / Conformance Criteria - Steel piles shall be 310 UC137, mild steel Grade 300, complying with NZS 3404 and galvanised in accordance with AS/NZS 4680. Only new steel pile section to be used. All piles and production certificates shall be made available for inspection by the Engineer at any time.",,,,
b946f326-590d-5c91-a889-394f439d3335,note,"Standard / Specification - PS 18.2.4, PS 18.2.1, PS 18.2.2",,,,
713e7f38-62a0-57da-a975-ac7c5dc18b32,note,Verifying Document - Mill Certs,,,,
35e7b825-1455-5b64-b857-06e278e578da,note,Frequency - Prior to Works,,,,
e9864212-55e1-59f6-8a16-491bf8c3aeec,note,Verification Activity: Activity - R,,,,
2953d0b9-2963-5a00-b115-70bd64bee8e6,note,Verification Activity: By - SE,,,,
dc760361-bd81-453d-a46f-ab7b40c2f49f,checkpoint,4.19.4 - Steel Reinforcement Compliance,,,,
827af98c-e835-59e2-8524-63a4f1b992c2,note,Acceptance / Conformance Criteria - Conformin Steel Reinforcement Mill Certs conforming to AS/NZS 4671 shall be supplied.,,,,
b9dd3fe6-11b5-5657-9ad3-e09529cc17b6,note,Standard / Specification - AS/NZS4671 & NZS3109,,,,
e8135d31-2872-5616-a093-e3c29c79719f,note,Verifying Document - Detail Sheets and Mill Certificates,,,,
129b31f8-dd06-5d46-90df-65c7b990e8d8,note,Frequency - Prior to ordering steel,,,,
bab8cd47-e2e8-5648-8bfc-0966f5591b06,note,Verification Activity: Activity - W,,,,
b0c0b5e0-3729-5fd4-9295-5938c9d93281,note,Verification Activity: By - SE,,,,
8c40514a-441b-42f8-bf14-7d75ae45fdc4,checkpoint,4.19.5 - Capping Steelwork,,,,
1f48d729-7007-5dc0-9fbf-39fd4686254f,note,Acceptance / Conformance Criteria - All grade 500E (MA) reinforcement shall comply with AS/NZS 4671 and be manufactured using micro alloy Process. Quench and tempered is not permitted.,,,,
5d34bcc2-0115-5a01-aee0-fc38c69ecfe1,note,Standard / Specification - PS 18.5.2,,,,
924c11cf-c29a-5cc8-98f2-eae060a88785,note,Verifying Document - Detail Sheets and Mill Certificates,,,,
55284858-bd66-54dc-95c0-0886be610673,note,Frequency - Prior to ordering steel,,,,
422b8337-4467-5dbf-a1db-0623b99c5a18,note,Verification Activity: Activity - HP,,,,
6732c850-5153-51e4-b117-affbd648b5c6,note,Verification Activity: By - ENG,,,,
88c36671-de83-49c9-b853-2042ef5695f3,signoff,AUTHORITY HOLDPOINT,,,,
6fa414c2-dccc-4fb1-bc75-be5e5f501a41,section,9.01 Pile Construction,,,,
ea3a9b91-6f13-435d-adbe-74386c956c26,checkpoint,4.19.6 - PFC & UC Steelwork,,,,
c24c2de1-e8c6-555d-b741-23853a31228d,note,"Acceptance / Conformance Criteria - Sections shall be grade 300 unless noted otherwise. All PFC & UC's to be grade 350 unless indicated otherwise All structural steel welding to comply with AS/NZS 1554 Class G.P. All welds to be 6mm minimum continuous fillet welds, unless noted otherwise.",,,,
231f62c2-b25d-547d-a7df-e959cc9f8976,note,Standard / Specification - PS 18.5.2,,,,
2314fdd5-d5c6-5135-aca0-6fd0fd6240c1,note,Verifying Document - Detail Sheets and Mill Certificates,,,,
8b7fc390-162e-58a2-b836-fc0e684cd4c7,note,Frequency - Prior to ordering steel,,,,
22bd3387-8fbf-51cc-9d2f-985376595836,note,Verification Activity: Activity - HP,,,,
e40265a5-174e-5d68-9e38-5ae140338aad,note,Verification Activity: By - ENG,,,,
f9f47e4f-169c-4af3-992e-ca5f1c001d64,signoff,AUTHORITY HOLDPOINT,,,,
7ee36003-3390-4b21-bbf0-e47987b8c471,checkpoint,9.01.1 - Contractor’s Methodology for Pile Construction,,,,
80bbd022-75a6-58ce-90a6-d247ed6cbfe7,note,Acceptance / Conformance Criteria - The Contractor shall submit to the Engineer for acceptance his methodology for the construction of the steel soldier piles at least two weeks prior to commencement of the works.,,,,
