"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Basement","dynamic","basement"
,,"Ground Floor","dynamic","ground floor"
,,"Level 1","dynamic","level 1"
,,"Level 2","dynamic","level 2"
,,"Level 3","dynamic","level 3"
,,"Level 4","dynamic","level 4"
,,"Level 5","dynamic","level 5"
,,"Level 6","dynamic","level 6"
,,"Roof","dynamic","roof"
,"Columns"
,,"Rough In",,"rough in"
,,"Fit Off",,"fit off"
,,"Commissioning",,"commissioning"

"Penetrations"
,"Scope",,
,"Rows"
,,"Penetrations","dynamic","penetrations"
,"Columns"
,,"Please take photo of label",,"please take photo of label"

