type,name,values,prefix,postfix,usage count,user addable,template name,
checklist,KB. Date:,,,,,,QA - KB,c02d9cf2-5442-44e3-af39-365e7f079b93
section,Details,,,,,,,
checkpoint,Location/Gridline details entered,,,,,,,
textbox,Location/Gridline:,,,,,,,
checkpoint,Materials checked and correct quantity for gridline,,,,,,,
checkpoint,Smooth parallel substrate,,,,,,,
checkpoint,Rebates correct depth / width,,,,,,,
checkpoint,FFL height confirmed,,,,,,,
checkpoint,EPDM installation well sealed with movement allowed and terminations / transitions complete,,,,,,,
checkpoint,Packer / grout installed with retainers fix securely,,,,,,,
checkpoint,Turnbars installed with centre plate securely (If required),,,,,,,
checkpoint,Concrete backfill completed,,,,,,,
checkpoint,Clean finished product installed,,,,,,,
