Id,Type,Name,Values,Prompting Name,Postfix,Resource Id
,checklist,HPP-UGL-CIV-GN-GEN-ITP-015 FRP (structures) - Rev.2,itp,HPP-UGL-CIV-GN-GEN-ITP-015 FRP (structures) - Rev.2,,1c6dc460-8091-476b-a2ce-699177311463
,section,1.0 Preliminaries,,,,
,checkpoint,1.1 - Documentation,,,,
c60c84df-1b49-58cf-b11b-a418b623f5f5,note,Ref docs - Issued drawings / Site copy drawings,,,,
27b52c1a-f966-5003-a5ee-d541c8c0c9c5,note,Acceptance criteria - Check that you have the latest site and engineering drawings BEFORE starting each task/set of tasks.,,,,
c757d7ae-6f26-5a2a-b27a-b5bd5f4d1d37,button,Acceptance,"Yes,No,N/A",,,
af9030db-2a2a-54ed-af9c-867c84bcf9c9,note,HPP CON Key - S,,,,
106f7316-8d0d-5d74-9265-63467605ee7b,note,HPP QA Key - S,,,,
,checkpoint,1.2 - Lot Traceability,,,,
293b4f1f-30e7-5be1-b927-5144c449312c,note,Ref docs - Spec. 0161 Quality [Cl 7.3],,,,
7a1a3754-e0f2-5e4c-8de1-93612a8956a4,note,Acceptance criteria - Prepare a lot map for traceability of the work area.,,,,
23661ccc-69d5-5485-834d-ed82e53f416c,button,Acceptance,"Yes,No,N/A",,,
66eca277-178d-5a8d-a085-59e626240b3b,note,HPP CON Key - S,,,,
faab98b1-75a4-5e18-a9a9-836a0f920e4f,note,HPP QA Key - S,,,,
,checkpoint,1.3 - Set out,,,,
a39907b4-c760-5ce3-9fb3-bb5647fd20be,note,Ref docs - Drawings,,,,
19e04819-6d01-5023-ae3b-0f73c38fcffd,note,Acceptance criteria - Setout structure to the location and levels on the drawings. This shall be presented for inspection by the superintendent.,,,,
69934601-e4f5-594e-a07b-dfb805c8b05f,button,Acceptance,"Yes,No,N/A",,,
637640fd-6e6b-5f5f-a206-e30f9565b2df,note,HPP CON Key - S,,,,
6c0e1d82-c98b-5674-88a7-cbcfa08a3dc8,note,HPP QA Key - S,,,,
,checkpoint,1.4 - Underlying Lot Conformance,,,,
a4049f0f-e0f0-5826-bafd-d8a2c3345b6e,note,Ref docs - Underlying Lot ITP,,,,
b8236a7c-c6d9-55f3-b01b-68aa4e6603b3,note,Acceptance criteria - Underlying services and/or assets have been installed prior to commencing works over and/or above.,,,,
0ac16a93-bc94-5e4c-9337-ebbf4b018b64,note,○ Refer underlying lot ITP(s),,,,
f09bcdbd-3336-5288-ac44-cbfbb8d176ac,button,Acceptance,"Yes,No,N/A",,,
00ace88b-6f05-57df-a43b-99283da2a24e,note,HPP CON Key - S,,,,
bfa433fb-2b5b-5d9b-9e7b-72a56c65d3ab,note,HPP QA Key - S,,,,
,checkpoint,1.5 - Site Checklist(s),,,,
32bc56b0-8cb2-5d3c-90e5-ab7c2a25873f,note,Acceptance criteria - Have Site checklist(s) been signed and uploaded?,,,,
d9b7a3d3-3883-5c95-a1b3-6eb9ed6dabf8,button,Acceptance,"Yes,No,N/A",,,
4e146152-5e77-551b-abd2-0221f0f0eab6,note,HPP CON Key - S,,,,
1756e808-b4ff-5143-9f9a-39a90a90d446,note,HPP QA Key - S,,,,
15d89f3d-c29d-538a-ad81-8d542818de25,note,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) -",,,,
