type,name,values,prefix,postfix,usage count,user addable,template name,
checklist,ITP038 - Native Grass Protection,itp,,,,,FH-ZU2-QU-ITP038 - Native Grass Protection - Rev 0,
section,1.0 - Preliminary Activities,,,,,,,
checkpoint,1.1 - Check for correct documentation,,,,,,,
label,Frequency - Prior to site establishment,,,,,,,
label,Acceptance Criteria - Review whether a preliminary report has been completed for the project which will outline where the Significant native grasses are and what protection has been specified.,,,,,,,
label,Reference Documents - Consultant reports,,,,,,,
label,Inspection/Test Method - Visual inspection,,,,,,,
label,Record of conformity - This Signed ITP,,,,,,,
label,HP*,,,,,,,
label,Responsibility - FH Project Engineer,,,,,,,
date,Date Completed:,,,,,,,
checkpoint,1.2 - Check the Google Earth Mapping,,,,,,,
label,Frequency - During site establishment,,,,,,,
label,Acceptance Criteria - Review the Google Earth / GIS mapping which outlines the boundary of the native grasses at the time they were mapped.,,,,,,,
label,Reference Documents - Google Earth Mapping,,,,,,,
label,Inspection/Test Method - Visual inspection,,,,,,,
label,Record of conformity - This Signed ITP,,,,,,,
label,HP*,,,,,,,
label,Responsibility - FH Project Engineer,,,,,,,
date,Date Completed:,,,,,,,
section,3.0 - Implementation of Controls to Protect the Native Grasses,,,,,,,
checkpoint,3.1 - Mark out the exact Significant Native Grass Boundary area,,,,,,,
label,Frequency - Prior to commencing any activity,,,,,,,
label,Acceptance Criteria - Work with the surveyor to mark out the Significant Native grass boundary. FH Project Engineer must verify the set out survey data file matches the ECP and GIS.,,,,,,,
label,Reference Documents - CEMP & ECP,,,,,,,
label,Inspection/Test Method - Inspect,,,,,,,
label,Record of conformity - This Signed ITP,,,,,,,
label,HP*,,,,,,,
label,Responsibility - FH Project Engineer,,,,,,,
date,Date Completed:,,,,,,,
checkpoint,3.2 - Use temporary fencing/bollards and signage to block access to the Significant native grasses where we are working in close proximity.,,,,,,,
label,Frequency - Prior to commencing any activity,,,,,,,
label,"Acceptance Criteria - For works in close proximity to the native grasses, use temporary fencing or purple bollards to block access with signage stating “NO GO ZONE NATIVE GRASSES”. Where possible, this fencing will be installed at a distance (1-2m) away from the actual native grass boundary to act as a ‘buffer zone’ but still allows works to progress.",,,,,,,
label,Reference Documents - CEMP & ECP,,,,,,,
label,Inspection/Test Method - Inspect,,,,,,,
label,Record of conformity - This Signed ITP,,,,,,,
label,HP*,,,,,,,
label,Responsibility - FH Project Engineer,,,,,,,
date,Date Completed:,,,,,,,
checkpoint,3.3 - Implementation of control measures required to protect the significant native grasses around our project area,,,,,,,
label,Frequency - Prior to commencing any activity,,,,,,,
label,Acceptance Criteria - Inspected and validate native grass delineation has been installed correctly using GPS mapping and against the design drawings.,,,,,,,
label,Reference Documents - CEMP & EMP,,,,,,,
label,Inspection/Test Method - Inspect,,,,,,,
label,Record of conformity - This signed ITP,,,,,,,
label,HP,,,,,,,
label,Responsibility - FH Project Engineer,,,,,,,
date,Date Completed:,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
section,4.0 - APAM Hold Point Release - Second Inspection,,,,,,,
checkpoint,4.1 - Release of Hold Point for Native grass Protection,,,,,,,
label,Frequency - Prior to commencing construction,,,,,,,
label,Acceptance Criteria - Arrange an APAM inspection to confirm that the native grasses are protected with the required temporary fencing or bollards and correct signage where required.,,,,,,,
label,○ All parties are to sign off on this Hold Point ,,,,,,,
label,○ Release document,,,,,,,
label,Reference Documents - CEMP and ECP,,,,,,,
label,Inspection/Test Method - Visual,,,,,,,
label,Record of conformity - This Signed ITP,,,,,,,
label,HP,,,,,,,
label,"Responsibility - APAM, Fulton Hogan Environmental Manager or Project Manager",,,,,,,
date,Date Completed:,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,Final Inspection,,,,,,,
note,On behalf of Fulton Hogan it is hereby certified that the Works represented by the items of work listed above have been reviewed and implemented in accordance with the Construction Environmental Management Plan and conform in all respects with the requirements of the Contract.,,,,,,,
textbox,Print Name:,,,,,,,
textbox,Position:,,,,,,,
date,Work Completed On:,,,,,,,
date,Date:,,,,,,,
