"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"B06","dynamic","qa","b06","apartments"
,,"B07","dynamic","qa","b07","apartments"
,,"B08","dynamic","qa","b08","apartments"
,,"B09","dynamic","qa","b09","apartments"
,,"B10","dynamic","qa","b10","apartments"
,,"B11","dynamic","qa","b11","apartments"
,,"B12","dynamic","qa","b12","apartments"
,"Columns"
,,"Exterior Timber Framing",,"exterior timber framing"
,,"RAB",,"rab"
,,"Windows, Sliders and Sealants",,"windows, sliders and sealants"
,,"Flashing installation",,"flashing installation"
,,"Gutters",,"gutters"
,,"Nogs",,"nogs"
,,"Tapes and VaproShield",,"tapes and vaproshield"
,,"Lintels",,"lintels"
,,"Timber Framing",,"timber framing"
,,"Internal door installation",,"internal door installation"
,,"Fire door installation",,"fire door installation"
,,"Insulation",,"insulation"
,,"Skirting/ Architraves & Trims",,"skirting/ architraves & trims"

