"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
"12a9aa79-83c0-43ef-88ef-799d8b616a5e/1","checklist","TuSRAP Runway Pre-works ITP - Construction - 04 - REV C","itp","TuSRAP Runway Pre-works ITP - Construction - 04 - REV C",48,"96eceea2-1ca0-46a5-8211-5821d4bf86b7"
"ad4fe333-e544-457e-97d1-fe4444fa80a6","section","SECTION 5 – CONSTRUCTION ACTIVITY – TNZ F/01:1997 SPECIFICATION FOR EARTHWORKS CONSTRUCTION",,,,
"0433a418-43b3-4a8c-84cb-e2bece382fac","checkpoint","5.01.01 - Subgrade CBR Testing",,,,
"864587fa-7aa5-5d55-be3e-8ad087955bc4","note","Acceptance / Conformance Criteria - DCP-Scala tesing of subgrade to not less 1.0m below design subgrade level. The average inferred CBR shall not be less than 5% or any single value less than 3% at any depth within 500mm of final subgrade level.",,,,
"cbdc5b64-3cff-5491-ba42-faadbf8fbc13","note","Standard / Specification - NZS 4402:1986 - 6.5.2",,,,
"e0bf9e76-df4e-57ca-bf83-9d35f79a8b1e","note","Verifying Document - DCP Report",,,,
"251a7daa-f207-5fc4-91b7-cac857920b58","note","Frequency - min 2 tests per lot",,,,
"9767fe72-791e-59ba-9798-1e8181a11e80","note","Verification Activity: Activity - R",,,,
"4918dc09-be3d-5a0e-b881-0231cb14b549","note","Verification Activity: By - PE",,,,
"907a6f84-4f4b-58f0-b470-bd36d442cae1","note","Comments / Closeout Details - CBR=5 OK",,,,
"5453a2a4-ae45-5007-83af-193b64bd0a68","note","○ CBR>3 excavate 200mm and place geogrid",,,,
"738813f3-62e9-5bb9-be5c-2d7945a846e8","note","○ CBR<3 notify Eng or as directed by Eng",,,,
"53ecede2-6023-4cd7-8afa-31dd641c673a","checkpoint","5.01.02 - Subgrade Compaction & Trimming",,,,
"1de67f95-6ed6-5062-bdc4-6fd019b8ac81","note","Acceptance / Conformance Criteria - Neatly trim and compact subgrade with appropriate equipment",,,,
"58fee362-3ec7-515c-8792-0bb4969c49f5","note","Standard / Specification - TNZ F/01: 1997 11.0",,,,
