"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
"bfb43fa2-df21-4dc6-b2ef-4adac966beca","checklist-flat","Final Installation Checklist","","Final Installation Checklist",20,"3f15d941-394e-4c54-b4df-ab0c1446abf6"
"b41bd430-4213-4aef-b325-20a5f1a010c6","checkpoint","Fit Off documentation reviewed and circuits ready for testing",,,,
"fc950f81-9bf1-4ffe-bff3-b66bb552ce4d","signoff","Add Signature / Request Sign Off",,,,

"e6c4c1cd-6720-4efc-a9e0-297be9cef5d7","checklist-flat","QA_TEM_003_Earth Electrode","","QA_TEM_003_Earth Electrode",1,"629840d1-2b28-4734-a38c-2f6a1283a16d"
"d338a699-8e23-4ba9-bad1-5fc14f9e0931","checkpoint","Record electrode type and size (AS/NZS 3000 Table 5.2)",,,,
"a1cb0ccc-d83b-5161-80e2-71c501212ec2","textbox","Material",,,,
"f6839b47-984e-5b03-9971-938c7c45e2d5","textbox","Diameter",,,,
"8f263958-0587-4617-8a72-5cc82c47b09b","checkpoint","Earth electrode is driven to the minimum depth (AS/NZS 3000 5.3.6.3)",,,,
"a42106cf-44e7-5be0-be4e-21681f3b458f","tickbox","Vertical type - 1.2 metres",,,,
"19441990-911e-5942-a4bc-f07190ae27a7","tickbox","Strip type - 3 metres",,,,
"2dcdb9d0-f3d6-475a-b6d8-53477d5ae50c","checkpoint","Earth electrode is installed in a correct location (AS/NZS 3000 5.3.6.4)",,,,
"cd183679-30f3-5c78-9389-fd893b5ef494","note","External to the building in ground that is exposed to the weather",,,,
"81d5f693-5edc-52d3-b826-a9a3eaaf77be","note","Separated from conductive enclosures of other buried services",,,,
"3c5ce98e-6fad-5c6b-8114-ecd5b497022d","note","Is in an accessible location",,,,
"90601516-7b7b-46f4-ab29-637ff780ce66","checkpoint","Earth electrode is mechanically protected and labelled in accordance with AS/NZS 3000 5.5.1.3",,,,
"15985882-5cb5-5173-9c9d-e3924f778c6b","note","WARNING MAIN ELECTRICAL EARTHING CONDUCTOR—DO NOT DISCONNECT",,,,
"9863289c-d241-48fc-949f-f5d451c5e3cc","checkpoint","Earth connection point to stake is protected from corrosion (i.e. painted earth clamp) (AS/NZS 3000 5.5.5.3)",,,,
"f0ebf689-3309-4519-839b-4d06ab699b56","checkpoint","Location of the earth electrode has been identified at the main switchboard.",,,,
"828b927a-d989-4b83-a202-047485861648","checkpoint","If measurement of the resistance of the earth electrode is requested, refer to the test procedure detailed in AS/NZS 3017 clause 3.8.",,,,

"ec5efc00-cca5-4ee8-9229-5b6eb31789dd","checklist-flat","QA_TEM_004_Trench and Backfill","","QA_TEM_004_Trench and Backfill",6,"ae639de8-262f-4a74-b345-15971b14f793"
"e11af767-82db-4ac9-892d-c50257b798d4","checkpoint","Prior to excavation:",,,,
"6ba3cba5-7e62-5e10-bcb6-5c514574f874","textbox","Stage / Section location",,,,
"93fd684f-dc57-553f-8966-5b9f19fab77e","tickbox","Mark out route as per electrical services drawings",,,,
"fd6ab775-964e-5428-af40-20ad7c1defd4","tickbox","Potholing/Service Locations - mark-up all documentation identifying any service clashes. Co-ordinate with other trades i.e. civil, hydraulic, comms Route and dimensions agreed with Principal Contractor",,,,
"51189bb0-aaef-4c3a-b4be-833e1a48906e","checkpoint","Obtain excavation permit from Principal Contractor",,,,
"6bc471c8-43f8-4b55-9c79-a5ac3a051785","signoff","Hold Point - All above must be completed before further works proceed",,,,
"f21d9984-a9ad-4fbc-b421-7e71e2fd16f2","checkpoint","During excavation:",,,,
"8b3a33fd-2673-53f3-845e-5112b789f03e","tickbox","Confirm signs / safety barriers in place",,,,
"bbc80c25-6b04-5186-adbf-49c318a97376","tickbox","Confirm trenching is correct - Size / Alignment / Depth (Use Datum Points)",,,,
"d5a45a1e-6c51-48f0-86a0-5bfc7621d7d3","checkpoint","Prior to backfilling:",,,,
"e89bb9b2-5289-5c10-9b05-32adf76777c8","note","Confirm the completion of QA_TEM_005_Underground Conduit Installation has not raised any non-conformances",,,,
"9f4f6384-dd2f-59a6-a61d-162bf9dd9e0e","note","Confirm suitability of proposed backfill",,,,
"0e3118b1-f9af-5c94-a169-e8a8b2f111d4","note","Check compaction and frequency requirements",,,,
"723cbeb8-ae89-597b-b62d-6cefb1ce5d66","note","Confirm layers being replaced i.e., geotextile fabric, road base, general fill",,,,
"17992f0c-4e7b-4ad0-8c64-06595527c5de","signoff","Hold Point - All above must be completed before further works proceed",,,,
"4df9f23f-5f9d-4b41-adde-876f5fd36a15","checkpoint","During and after backfilling, check that:",,,,
"6c354798-25a4-598e-a2f8-88d95cd6e5e0","tickbox","Cable marker tape is correct (Type & Depth)",,,,
"fd4c6b89-73c3-59fe-9ca0-d9dc474456f2","tickbox","Survey points for as built documentation has been completed",,,,
"60a422a2-ca2f-5acc-81cf-f4d9f0194108","tickbox","Route markers installed",,,,
"e9b349c1-08d2-55e2-bc6e-efb7d733f8c4","tickbox","Compaction is correct - refer to specification",,,,
