"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
"7c1a3da3-b409-5585-a0a9-582cbf221025/2","checklist","Concrete Pre-pour Inspection","","Concrete Pre-pour Inspection",105,"29f4e71f-35f0-4034-a2e5-ded8ecbaf6dd"
"afa5d3a5-0b73-50dc-aca6-7cf16f0b26ea","section","Preliminary",,,,
"a62c59e8-596d-5051-a260-fa70b945a0ee","checkpoint","Engineer notified of pour",,,,
"98ffea72-4951-5484-a1cb-4a448e1233c5","textbox","Date",,,,
"7006f770-0251-5e19-ad15-3a83db9ada77","textbox","Drawing Number and Revision",,,,
"b9eafc2c-96c7-5bf6-a5bb-3f77d2a0035b","section","Formwork",,,,
"b1340f06-7037-5580-9cef-d2bf8c5f7e88","checkpoint","Installed as per formwork design",,,,
"21c2f84a-9e2a-5887-81e4-03d7085f1e26","checkpoint","Permit to load issued",,,,
"2e5498ea-d2bb-5b1a-9c01-6a577398eb03","checkpoint","Dimensions correct",,,,
"448ef6dc-09c2-5b2c-8671-11eb6b6059d8","checkpoint","Position and orientation correct",,,,
"e15cc9fb-76f8-5d30-85b8-3a15efa13919","checkpoint","Forms vertical, plumb and true",,,,
"d7b52d60-39fb-5b66-88f7-32a69a8105c3","checkpoint","Forms coated with release agent",,,,
"2c9b6681-a705-5dbc-b6c5-d51dd43c97fb","checkpoint","Forms clean and clear of debris",,,,
"5658db69-ee4b-573e-9a99-02666de42116","checkpoint","Joints sealed",,,,
"fb71f862-345c-5f12-85dd-337aeca9e99b","checkpoint","Pour level marks",,,,
"15f721dd-2cad-5140-b52a-224004dbe0f1","section","Reinforcement",,,,
"98c4424d-05d0-57ac-a17a-d4a1af7888a3","checkpoint","Correct grade reinforcement",,,,
"a963c440-8d37-5368-b076-043b9a2372ed","checkpoint","Correct bar size",,,,
"7ce71365-e057-5c13-97b4-815a1c9c89d9","checkpoint","Correct number of bars",,,,
"b2e5894b-d47e-5155-bae4-76af84c26602","checkpoint","Correct spacing",,,,
"063c4b4a-80b8-51b0-80ef-ffbfece4f7fd","checkpoint","Starters bars included",,,,
"c08acb2d-4498-572a-860f-5804e9367f87","checkpoint","Correct cover (min 75mm against ground, 50mm where protected from soil during casting, 40mm otherwise. max 100mm end cover on hoizontal bars)",,,,
"06ae2c2a-0fff-5e07-b042-21814f8eee30","checkpoint","Correct weld lengths (min 10 x bar diameter)",,,,
"1dfe9c14-bd72-5bdb-a828-516f984ce876","checkpoint","Correct lap length (min 50 x bar diamenter or as per drawing)",,,,
"caf200a6-29f0-5a1e-82de-f81ff9e242aa","checkpoint","Correct lap position (staggered appropriately)",,,,
"de950a43-eb21-5017-a840-73ae72bd0260","checkpoint","Longitudinal bars terminate with 90 or 180 deg hook)",,,,
"68165656-1dc5-5711-a328-d6471d3859e2","checkpoint","Reid bar couplers tightened fully and filled with EPCON C8 Extreme",,,,
"260ed36a-9f96-5fad-9bcf-1c4db6998751","checkpoint","Reinforcing adequately tied",,,,
"02eb21f0-a017-5056-8fa8-ac4ddde0e1ef","checkpoint","Chairs or spacers fixed in place",,,,
"bc2099f6-3c87-5e49-a354-89c7a96b78ed","section","Embedded items",,,,
"8b855fa5-d884-583d-80fa-b37b1616e5ef","checkpoint","Block-outs, ducts & cast in items installed",,,,
"93b8301c-9ace-5abf-a2f4-5b1e275c00d1","checkpoint","Correct position, level & alignment",,,,
"11e272fb-1d06-519a-8d3d-e7389196ff59","checkpoint","Securely fixed in place",,,,
"42fd55de-9d63-5d85-844a-49f359657c2f","section","Construction Joints",,,,
"5c96949b-f291-5b6b-9ace-83913123d316","checkpoint","Correct location",,,,
"39e82156-a651-5628-ae8e-59664bcf904c","checkpoint","Adequately prepped",,,,
"54a2d7fc-4be5-508e-8d6b-e0fd15cd1956","checkpoint","Joint board installed",,,,

"d2378470-cd46-547f-94e7-c7b5caf8949b/5","checklist","ITP - 107 - Pavement Drains","itp","ITP - 107 - Pavement Drains",0,"6a922d6e-460a-401f-a8b8-39505e8a4626"
"8c9335a7-3af5-5e47-a887-39a89ff08c27","section","SECTION 3 – PRE-CONSTRUCTION (P&G / ESTABLISHMENT)",,,,
"9ce14095-414c-5d6d-8ec4-d9fde1bdc783","checkpoint","3.01.01 - Construction Pack",,,,
"eef00716-4e5d-5b03-b172-716ad54d042a","note","Acceptance / Conformance Criteria - Submit a Construction Pack including a Methodology and JESA to the Engineer before works",,,,
"765b1048-c088-5b6f-9623-8c5346ff99e7","note","Standard / Specification - Downer",,,,
"397a1e6d-4464-5f66-b1bb-bdf001298e8b","note","Verifying Document - Construction Pack",,,,
"05d4a935-0ef3-5cde-80aa-4d1301943a80","note","Frequency - Submit 10 days prior to commencement of works",,,,
"eac0916a-6ddb-5a54-949e-98cefbbc2210","note","Activity - H",,,,
"806a65ec-353e-5e0d-935c-204f576001c3","note","By - PE",,,,
"0bf24461-d91f-58f3-b929-a737290bf896","checkpoint","3.01.02 - Survey Setout",,,,
"180417cf-f085-5ace-9953-f519ccf1706c","note","Acceptance / Conformance Criteria - Survey Set out as per contract drawings and specification, capturing pre-construction levels where needed.",,,,
"96347aea-037b-5640-95a4-1d4dfc132a6e","note","Standard / Specification - Downer",,,,
"16eacf5e-a788-546e-a0cd-1aedc5ee8570","note","Verifying Document - Survey Records",,,,
"be32c357-44f6-529a-8363-67b4f3529304","note","Frequency - Prior to Works",,,,
"c4af63f6-c85f-59f1-809e-59bc586c641c","note","Activity - H",,,,
"f104ef54-18ca-50f8-b622-564b36e5dd3e","note","By - SV",,,,
"7b8b4071-ba18-54c4-a07c-9e192aec85d8","checkpoint","3.01.03 - Approved Construction Drawings",,,,
"c494c038-e47d-5ce7-b618-58b9f20e4c67","note","Acceptance / Conformance Criteria - Prior to starting works, Ensure that the construction drawings are both IFC and the Current Version.",,,,
"c6ecdd42-653b-5c87-9072-43a0eadf906c","note","Standard / Specification - Downer",,,,
"4e3ba869-ecd5-51a9-8e80-40f8a3e0199e","note","Verifying Document - IFC Drawings",,,,
"988c6302-1576-5fe0-ad37-e6e63e58da1e","note","Frequency - Prior to works start",,,,
"4d176dba-b452-553e-a533-5a82796a3ab1","note","Activity - H",,,,
"526d4aa1-d98f-5698-8a92-deeccd5de232","note","By - PE",,,,
"f54e7b48-3f2b-51d6-93b0-54755388f0cc","checkpoint","3.01.04 - Topographic surveys for measurement",,,,
