Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
LL1 Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Joinery Items ,dynamic,Joinery Items ,LL1
,,Partitions & Lockers ,dynamic,Partitions & Lockers ,LL1
,,Amenity Mirrors ,dynamic,Amenity Mirrors ,LL1
,Columns,,,,
,,Documents / Drawings,,Documents / Drawings,
,,Loading,,Loading,
,,Joinery,,Joinery,
,,Mirror,,Mirror,
,,,,,
LL2 Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Joinery Items ,dynamic,Joinery Items ,LL2
,,Partitions & Lockers ,dynamic,Partitions & Lockers ,LL2
,,Amenity Mirrors ,dynamic,Amenity Mirrors ,LL2
,Columns,,,,
,,Documents / Drawings,,Documents / Drawings,
,,Loading,,Loading,
,,Joinery,,Joinery,
,,Mirror,,Mirror,
,,,,,
LL3 Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Joinery Items ,dynamic,Joinery Items ,LL3
,,Partitions & Lockers ,dynamic,Partitions & Lockers ,LL3
,,Amenity Mirrors ,dynamic,Amenity Mirrors ,LL3
,,Bumper Rail,dynamic,Bumper Rail,LL3
,Columns,,,,
,,Documents / Drawings,,Documents / Drawings,
,,Loading,,Loading,
,,Joinery,,Joinery,
,,Mirror,,Mirror,
,,,,,
LL4 Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Joinery Items ,dynamic,Joinery Items ,LL4
,,Partitions & Lockers ,dynamic,Partitions & Lockers ,LL4
,,Amenity Mirrors ,dynamic,Amenity Mirrors ,LL4
,,Bumper Rail,dynamic,Bumper Rail,LL4
,Columns,,,,
,,Documents / Drawings,,Documents / Drawings,
,,Loading,,Loading,
,,Joinery,,Joinery,
,,Mirror,,Mirror,
,,,,,
Sanaa Joinery Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Joinery Items ,dynamic,Joinery Items ,Sanaa Joinery
,Columns,,,,
,,Documents / Drawings,,Documents / Drawings,
,,Loading,,Loading,
,,Joinery,,Joinery,
,,,,,
Sanaa Furniture Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Joinery Items ,dynamic,Joinery Items ,Sanaa Furniture
,Columns,,,,
,,Documents / Drawings,,Documents / Drawings,
,,Loading,,Loading,
,,Joinery,,Joinery,
