type,name,values,prefix,postfix,usage count,user addable,template name,
checklist,Micro Piles ITP,,,,,,Micro Piles ITP,
section,Details,,,,,,,
checkpoint,Attach any relevant photos and documents,,,,,,,
textbox,Micropiles No,,,,,,,
textbox,Micropile Type,,,,,,,
textbox,Micropile Dia (mm),,,,,,,
textbox,Micropile Drill Depth,,,,,,,
textbox,Bar Length (m),,,,,,,
textbox,Top of Bar (mRL),,,,,,,
textbox,Bond Length (m),,,,,,,
textbox,Required Embedment to Rock Class,,,,,,,
textbox,Drill Date,,,,,,,
textbox,Installation Date,,,,,,,
textbox,Grout Date,,,,,,,
textbox,Grout Type,,,,,,,
textbox,Test Date,,,,,,,
