type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,ITP - Mangahuini Sheet Pile Wall - F3002G - Precast Dolosse Installation,itp,,,,,ITP - Mangahuini Sheet Pile Wall - F3002G - Precast Dolosse Installation,
checkpoint,Project Site reps.,,,,,,,
textbox,CPS Eng.,,,,,,,
textbox,Site Engineer,,,,,,,
textbox,Quality Eng.,,,,,,,
checkpoint,1 - Survey Setout,,,,,,,
label,"ACTION (Hold, Monitor, Witness) - H",,,,,,,
label,"Detail - Set out design features as per For Construction drawings (Cast in items, Ducting, Penetrations)",,,,,,,
label,Frequency - Prior to commencement ,,,,,,,
label,"Inspection / Test Method submission, visual inspection, testing, measure, review - Survey",,,,,,,
label,Conformance Criteria - Consistency with Construction Drawing,,,,,,,
label,Records - Survey receipt,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,2 - Precast Installation,,,,,,,
label,"ACTION (Hold, Monitor, Witness) - W",,,,,,,
label,Detail - Delivery Dockets are collected and signed before precast materials are removed from the truck,,,,,,,
label,Frequency - Prior to commencement ,,,,,,,
label,"Inspection / Test Method submission, visual inspection, testing, measure, review - Document Review",,,,,,,
label,Records - Delivery Dockets,,,,,,,
checkpoint,3 - ,,,,,,,
label,"ACTION (Hold, Monitor, Witness) - W",,,,,,,
label,"Detail - Any damage to precast materials is to be assessed, returned to the manufacturer if not compliant or remedial work to be done by the manufacturer onsite & an OFI to be completed",,,,,,,
label,Frequency - Prior to unloading ,,,,,,,
label,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection",,,,,,,
label,Records - Photo's,,,,,,,
checkpoint,4 - ,,,,,,,
label,"ACTION (Hold, Monitor, Witness) - H",,,,,,,
label,"Detail - All Steel brackets, bolts/nuts & steel wire ropes must be inspected on delivery. Any damaged items shall be isolated, repaired or replaced ",,,,,,,
label,Frequency - Prior to commencement ,,,,,,,
label,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection, Document review",,,,,,,
label,Conformance Criteria - Comply with AS/NZS 5131. Brackets will be manufactured from 16mm thick 300 grade steel plate. Steel wire ropes shall be 20mm in diametre. Any welding required to be approved in writing by CPS Engineer,,,,,,,
label,"Records - Photo's, CPS COR Report, Manufacturer Test Certificates, Welding tickets ",,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,5 - ,,,,,,,
label,"ACTION (Hold, Monitor, Witness) - W",,,,,,,
label,Detail - Approved methodology for the lift is followed by all site crews and any variation from the original plan is documented at the pre-start/OFI,,,,,,,
label,Frequency - Prior to commencement ,,,,,,,
label,"Inspection / Test Method submission, visual inspection, testing, measure, review - Document Review, Visual inspection",,,,,,,
label,"Records - OFI, Photo's",,,,,,,
checkpoint,6 - ,,,,,,,
label,"ACTION (Hold, Monitor, Witness) - H",,,,,,,
label,Detail - Precast Components are to be installed in accordance with the design/drawing. Each unit is to be butted tightly against the adjacent unit to present a coherent mass,,,,,,,
label,Frequency - Prior to commencement ,,,,,,,
label,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection",,,,,,,
label,Conformance Criteria - The position of the dolos groynes will be set out and agreed to with the CPS Engineer ,,,,,,,
label,"Records - Photo's, CPS COR Report",,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,7 - ,,,,,,,
label,"ACTION (Hold, Monitor, Witness) - H",,,,,,,
label,Detail - Dolosse’s will be secured in position using 20mm diameter steel wire ropes passed through the lifting eyes of the Dolosse’s and secured to brackets welded onto the existing sheet pile wall.,,,,,,,
label,Frequency - Prior to commencement ,,,,,,,
label,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection",,,,,,,
label,Conformance Criteria - As per design/drawings. Welding to be inspected and be approved in writing by CPS Engineer,,,,,,,
label,"Records - Photo's, CPS COR Report, Welding tickets ",,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,8 - As-built Survey,,,,,,,
label,"ACTION (Hold, Monitor, Witness) - H",,,,,,,
label,Detail - Ensure cut/fill slopes comply with design prior to next process taking place,,,,,,,
label,Frequency - Prior to placing topsoil/pavement/ finished surfaces,,,,,,,
label,"Inspection / Test Method submission, visual inspection, testing, measure, review - Survey / Drawings",,,,,,,
label,Conformance Criteria - As-built Survey & Drawing Mark-Ups to be reviewed and accepted by CPS Engineer,,,,,,,
label,"Records - As-builts, CPS COR Report",,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,9 - Quality Assurance deliverables,,,,,,,
label,"ACTION (Hold, Monitor, Witness) - W",,,,,,,
label,Detail - Red line mark up drawings to be reviewed and accepted. All NCRs and RFIs are closed and included with Handover QA file.,,,,,,,
label,Frequency - At completion of Lot,,,,,,,
label,"Inspection / Test Method submission, visual inspection, testing, measure, review - Document Review",,,,,,,
label,Conformance Criteria - Ensure all QA is uploaded into ConQA / Procore,,,,,,,
label,"Records - As-builts, NCR's and RFI's",,,,,,,
checkpoint,10 - Completion Sign Off From Fields Below,,,,,,,
label,Records - Signatures,,,,,,,
