Id,Type,Name,Values,Prompting Name,Postfix,Resource Id
bacf814d-010e-460c-9b04-7b9c489d5198,checklist,Add SF006 Visual Inspection Report,,SF006 Visual Inspection Report,,d2c39577-756c-4b01-9d8e-98b0ac3771a9
4ea5d186-ce00-4439-a4f7-f990f45822b0,section,Details,,,,
99154493-0f29-4002-9d44-0bf319d9f2a2,checkpoint-no-value,VISUAL INSPECTION REPORT AS/NZS ISO 17637 - 2019 Non-destructive testing - Visual inspection of metal products and components.,,,,
22fc0d6a-5bd7-5477-bbf9-a92676459aab,textbox,Client/Job No.:,,,,
cfba4e6c-2b5d-5db9-b09b-8cdb85ebd9e7,textbox,Report No.:,,,,
6c96196c-27cf-5c21-bf60-5c30b8f5c380,note,Welding standard: AS/NZS 1554 Part 1,,,,
5ff8d9f6-d6ba-5e39-9ef9-904ea8fdeec2,textbox,Weld category:,,,,
fca5fa21-5333-5996-a8fe-992552a5b9d1,textbox,Any specific job requirements:,,,,
7fcb5155-354f-53ef-8608-a1321ca3dda3,dropdown,Stage of fabrication/welding:,"Before welding,During welding,After welding",,,
d13e6907-1861-5d7a-b842-88b552bafb45,dropdown,Viewing conditions:,"Daylight,Artificial lighting - (Min. 500 Lux)",,,
e1eb554e-5681-5413-b8f5-972fc6bd06ce,note,Note any access or other restrictions,,,,
35b78593-72e1-5b8d-bd13-aa6148319197,note,Surface condition:,,,,
c3c766ef-3e9c-5b70-964b-2eaaa760a841,tickbox,"Cleaned of slag, spatter",,,,
a080b33f-6249-582d-9c59-db2ba11c7694,tickbox,Other (state),,,,
f5c5df34-f196-5ed4-80ac-dc41076f9f0f,textbox,Other (if applicable):,,,,
f74eb811-ea26-4ac5-8ba9-2201ba0ae28c,checkpoint,Part/Assy. ID,,,,
74ba8a22-80f5-52e0-bf38-6dc51a51c699,textbox,Part/Assy. ID:,,,,
5f0ff957-2ca9-599d-b8d5-5d10e10b1a67,textbox,% inspected (if less than 100%),,,,
7c41a9cf-ba78-5751-abf7-d1436cdc8ea0,textbox,Weld inspection to AS/NZS 1554.1,,,,
3742d1e8-c979-57b1-b534-ded9d812a0f4,textbox,"Dimensions, tolerances to NZS 3404.1 AS/NZS 5131",,,,
aa230ad8-f214-57ea-ab88-2cdc8d560f0b,textbox,"Any special features, comments",,,,
adf480f7-f1fc-58b9-842d-8fd77d140e0d,note,Compliance,,,,
07cbb091-984d-50f0-9f1e-a9d4ca7de8b6,textbox,C,,,,
76188e66-10ac-5f2d-9866-27fb111835b5,textbox,DNC,,,,
416ce402-c467-4cd9-a891-a96ae056c820,checkpoint,"Date, place of inspection:",,,,
c7710de8-16cd-54f6-b590-7db6c63bd26c,date,Date:,,,,
eec226cf-7272-5dd2-a14d-e4117c1734bc,textbox,Place of inspection:,,,,
cc080306-97a1-4310-b451-20ee23c494d1,signoff,Inspector Signed,,,,
