"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-flat",,"","checklist","Deckwork","",,,109,"Yes","Deckwork","009e91a3-ba4b-4847-b44b-ed273af6745a"
"checkpoint-status",,"","checkpoint","The correct drawing has been used. Is it issued for construction and which issue is it"
"checkpoint-status",,"","checkpoint","All workers been inducted and read appropriate SWMS for tasks and prestart signed"
"checkpoint-status",,"","checkpoint","Appropriate materials have been used for application, also sizing is correct"
"checkpoint-status",,"","checkpoint","Invert levels been checked, pipework has correct fall as per drawing"
"checkpoint-status",,"","checkpoint","Fire Collars are secured properly"
"checkpoint-status",,"","checkpoint","Q/A been done to ensure all collars and pipework is in place and in correct postion (Plan attached)"
"checkpoint-status",,"","checkpoint","Fire collars are approved for there application"
"holdpoint",,"","signoff","Signed off by Commodore Plumbing & RCC"

"checklist-sectioned",,"","checklist","Rough In","",,,698,"Yes","Rough In","1ca9a7ad-0ca9-4aa3-a647-d2843a4d6606"
"checkpoint-group",,"","section","Details"
"checkpoint-status",,"","checkpoint","Plans"
"checkpoint-status",,"","checkpoint","Rough In"
"checkpoint-status",,"","checkpoint","Set Out"
"checkpoint-status",,"","checkpoint","Pressure Tested"
"checkpoint-status",,"","checkpoint","Cross Connection Checked"
"checkpoint-status",,"","checkpoint","Meter mark provided by MLP"
"holdpoint",,"","signoff","Signed off by Commodore Plumbing & RCC"

"checklist-flat",,"","checklist","Wall and Ceiling Pressure Services Checklist","",,,10,"Yes","Wall and Ceiling Pressure Services Checklist","64e996a6-d184-42ee-948d-4c6a8d89e3af"
"checkpoint-status",,"","checkpoint","The correct drawings have been used and issued for construction"
"checkpoint-status",,"","checkpoint","All workers been inducted and read appropriate SWMS for tasks and prestart signed"
"checkpoint-status",,"","checkpoint","Appropriate materials have been used for application and sizing is as per drawings"
"checkpoint-status",,"","checkpoint","Meter marks have been issued by RCC and works have been completed off them"
"checkpoint-status",,"","checkpoint","Q/A been done to ensure all pipework/fittings is in place and in correct position"
"checkpoint-status",,"","checkpoint","All pipework is installed and secured as per AS/NZS 3500"
"checkpoint-status",,"","checkpoint","Pipework has been pressure tested for 24 hours - attach photo of pressure gauge"
"checkpoint-status",,"","checkpoint","Stud grommets are installed and pipes through studs are siliconed"
"checkpoint-status",,"","checkpoint","Check for cross connections"
"holdpoint",,"","signoff","Signed off by Commodore Plumbing & RCC"

"checklist-sectioned",,"","checklist","Fit Off","",,,698,"Yes","Fit Off","6e9fbf2d-d988-455d-9d32-578c9d042e8e"
"checkpoint-group",,"","section","Details"
"checkpoint-status",,"","checkpoint","Pipe Work"
"checkpoint-status",,"","checkpoint","Installation"
"checkpoint-status",,"","checkpoint","Test"
"checkpoint-status",,"","checkpoint","Commission"
"checkpoint-status",,"","checkpoint","Final inspection"
"holdpoint",,"","signoff","Signed off by Commodore Plumbing & RCC"

"checklist-flat",,"","checklist","In Ground Sewer Checklist","",,,19,"Yes","In Ground Sewer Checklist","8a7f589c-b816-4781-9817-81c1cbcd6617"
"checkpoint-status",,"","checkpoint","The correct drawing has been used and it is issued for construction"
"checkpoint-status",,"","checkpoint","All workers been inducted and read appropriate SWMS for tasks and prestart signed"
"checkpoint-status",,"","checkpoint","Appropriate materials have been used for application and sizing is as per drawings"
"checkpoint-status",,"","checkpoint","Invert levels been checked, pipework has correct fall as per drawing"
"checkpoint-status",,"","checkpoint","Pipework bedding is correct material and depth"
"checkpoint-status",,"","checkpoint","Q/A been done to ensure all pipework is in place and in correct position"
"checkpoint-status",,"","checkpoint","All pipework is installed as per AS/NZS 3500"
"checkpoint-status",,"","checkpoint","All floor wastes are charged by a fixture"
"checkpoint-status",,"","checkpoint","All open ends are capped off/taped off"
"holdpoint",,"","signoff","Signed off by Commodore Plumbing & RCC"

"checklist-flat",,"","checklist","In Ground Stormwater Checklist","",,,21,"Yes","In Ground Stormwater Checklist","9695a34b-3c88-4eaf-8b78-a7f70936cff6"
"checkpoint-status",,"","checkpoint","The correct drawing has been used. Is it issued for construction and which issue is it"
"checkpoint-status",,"","checkpoint","All workers been inducted and read appropriate SWMS for tasks and prestart signed"
"checkpoint-status",,"","checkpoint","Appropriate materials have been used for application, also sizing is correct"
"checkpoint-status",,"","checkpoint","Invert levels been checked, pipework has correct fall as per drawing"
"checkpoint-status",,"","checkpoint","Pipework is secured properly, penetrations through pits are correct (pits by others)"
"checkpoint-status",,"","checkpoint","Q/A been done to ensure all pipework is in place and in correct position (Plan attached)"
"checkpoint-status",,"","checkpoint","Pipework has been tested and are all open ends capped/taped off"
"holdpoint",,"","signoff","Signed off by Commodore Plumbing & RCC"

"checklist-flat",,"","checklist","Stacks Checklist","",,,97,"Yes","Stacks Checklist","f291bbf8-0cd7-4812-b0e0-5cb5a27f9fab"
"checkpoint-status",,"","checkpoint","Has the correct drawing been used. Is it issued for construction"
"checkpoint-status",,"","checkpoint","All workers been inducted and read appropriate SWMS for tasks and prestart signed"
"checkpoint-status",,"","checkpoint","Pipework is co-ordinated with other trades and finished ceiling heights"
"checkpoint-status",,"","checkpoint","Pipework has correct fall and is sized correctly"
"checkpoint-status",,"","checkpoint","Stackwork has been water tested and visual inspection for leaks"
"checkpoint-status",,"","checkpoint","Stack cap has been removed"
"checkpoint-status",,"","checkpoint","Stackwork has been clipped as per ASNZS3500"
"checkpoint-status",,"","checkpoint","Stackwork is acoustically lagged if applicable"
"holdpoint",,"","signoff","Signed off by Commodore Plumbing & RCC"

"checklist-flat",,"","checklist","Trade Waste Checklist","",,,1,"Yes","Trade Waste Checklist","f7ad42f7-9af8-440e-9a08-a513d1b399a7"
"checkpoint-status",,"","checkpoint","The correct drawing has been used. Is it issued for construction and which issue is it"
"checkpoint-status",,"","checkpoint","All workers been inducted and read appropriate SWMS for tasks and prestart signed"
"checkpoint-status",,"","checkpoint","Appropriate materials have been used for application, also sizing is correct"
"checkpoint-status",,"","checkpoint","Invert levels been checked, pipework has correct fall as per drawing"
"checkpoint-status",,"","checkpoint","Pipework is secured properly"
"checkpoint-status",,"","checkpoint","Q/A been done to ensure all pipework is in place and in correct postion (Plan attached)"
"checkpoint-status",,"","checkpoint","Pipework has been tested and are all open ends capped/taped off"
"holdpoint",,"","signoff","Signed off by Commodore Plumbing & RCC"

"checklist-flat",,"","checklist","In Ground Pressure Services Checklist","",,,2,"Yes","In Ground Pressure Services Checklist","fdf960d3-5bad-4f37-b66c-5c4fef692859"
"checkpoint-status",,"","checkpoint","The correct drawing has been used and it is issued for construction"
"checkpoint-status",,"","checkpoint","All workers been inducted and read appropriate SWMS for tasks and prestart signed"
"checkpoint-status",,"","checkpoint","Appropriate materials have been used for application and sizing is as per drawings"
"checkpoint-status",,"","checkpoint","Pipework bedding is correct material and depth"
"checkpoint-status",,"","checkpoint","Q/A been done to ensure all pipework is in place and in correct position"
"checkpoint-status",,"","checkpoint","All pipework is installed as per AS/NZS 3500"
"checkpoint-status",,"","checkpoint","Pipework has been pressure tested for 24 hours - attach photo of pressure gauge"
"checkpoint-status",,"","checkpoint","All open ends are capped off/taped off"
"holdpoint",,"","signoff","Signed off by Commodore Plumbing & RCC"

